state	power	likelihood
260	0.0206675	-51.5523
270	0.0206675	-62.9785
280	0.0206675	-58.6918
290	0.0206675	-50.1521
300	0.0206675	-48.3479
310	0.0206675	-52.0054
320	0.0206675	-51.3407
330	0.0206675	-52.3242
340	0.0206675	-57.5487
350	0.0206675	-52.7762
360	0.0206675	-60.2265
370	0.0206675	-49.2096
380	0.0206675	-54.3676
390	0.0206675	-53.6931
400	0.0206675	-52.3953
410	0.0206675	-59.8128
420	0.0206675	-55.6624
430	0.0206675	-51.5063
440	0.0206675	-48.0392
450	0.0206675	-50.3096
460	0.0206675	-59.2515
470	0.0206675	-52.5058
480	0.0206675	-51.848
490	0.0206675	-50.7443
500	0.0206675	-54.3048
510	0.0206675	-52.0662
520	0.0206675	-68.7123
530	0.0206675	-52.6587
540	0.0206675	-56.6912
550	0.0206675	-55.3519
560	0.0206675	-51.6172
570	0.0206675	-54.6566
580	0.0206675	-56.8257
590	0.0206675	-53.4531
600	0.0206675	-63.6419
610	0.0206675	-47.9352
620	0.0206675	-58.9574
630	0.0206675	-62.6544
640	0.0206675	-53.1846
650	0.0206675	-52.7256
660	0.0206675	-57.4713
670	0.0206675	-64.3298
680	0.0206675	-54.0802
690	0.0206675	-56.4704
700	0.0206675	-60.1573
710	0.0206675	-48.57
720	0.0206675	-49.7717
730	0.0206675	-56.7163
740	0.0206675	-51.6961
750	0.0206675	-56.9992
760	0.0206675	-51.2977
770	0.0206675	-54.4666
780	0.0206675	-57.1938
790	0.0206675	-53.2898
800	0.0206675	-55.4258
810	0.0206675	-54.3121
820	0.0206675	-56.4202
830	0.0206675	-58.2412
840	0.0206675	-56.9446
850	0.0206675	-58.3309
860	0.0206675	-49.9672
870	0.0206675	-55.374
880	0.0206675	-51.5815
890	0.0206675	-51.2305
900	0.0206675	-53.2747
910	0.0206675	-57.7281
920	0.0206675	-53.9377
930	0.0206675	-63.3299
940	0.0206675	-47.4011
950	0.0206675	-50.9509
960	0.0206675	-57.3157
970	0.0206675	-53.5526
980	0.0206675	-53.7026
990	0.0206675	-51.678
1000	0.0206675	-49.2257
