state	power	likelihood
260	0.314882	-50.0629
270	0.314882	-56.2708
280	0.314882	-55.0383
290	0.314882	-49.4352
300	0.314882	-52.5681
310	0.314882	-46.9444
320	0.314882	-51.821
330	0.314882	-50.8329
340	0.314882	-49.6923
350	0.314882	-49.393
360	0.314882	-50.1048
370	0.314882	-46.2289
380	0.314882	-49.1444
390	0.314882	-51.0885
400	0.314882	-50.0515
410	0.314882	-48.1313
420	0.314882	-47.09
430	0.314882	-51.8831
440	0.314882	-47.9666
450	0.314882	-45.4407
460	0.314882	-48.4413
470	0.314882	-49.5316
480	0.314882	-49.0088
490	0.314882	-47.8493
500	0.314882	-50.1804
510	0.314882	-53.2293
520	0.314882	-46.801
530	0.314882	-54.0778
540	0.314882	-47.6339
550	0.314882	-52.9212
560	0.314882	-51.7967
570	0.314882	-47.6049
580	0.314882	-50.2909
590	0.314882	-48.6133
600	0.314882	-48.1353
610	0.314882	-52.3536
620	0.314882	-48.8934
630	0.314882	-47.4243
640	0.314882	-50.8584
650	0.314882	-51.275
660	0.314882	-48.4066
670	0.314882	-46.9996
680	0.314882	-49.249
690	0.314882	-52.239
700	0.314882	-48.4228
710	0.314882	-48.4236
720	0.314882	-48.9548
730	0.314882	-48.1399
740	0.314882	-50.1566
750	0.314882	-48.2903
760	0.314882	-50.1077
770	0.314882	-51.8879
780	0.314882	-51.005
790	0.314882	-53.259
800	0.314882	-53.0107
810	0.314882	-47.2855
820	0.314882	-55.4981
830	0.314882	-54.4866
840	0.314882	-45.3469
850	0.314882	-60.2898
860	0.314882	-47.3254
870	0.314882	-51.3574
880	0.314882	-50.1732
890	0.314882	-48.7555
900	0.314882	-52.2866
910	0.314882	-57.4105
920	0.314882	-51.0591
930	0.314882	-52.964
940	0.314882	-55.6553
950	0.314882	-49.2518
960	0.314882	-54.4772
970	0.314882	-49.4131
980	0.314882	-53.866
990	0.314882	-49.1258
1000	0.314882	-50.9573
