state	power	likelihood
260	3.22439e-08	-61.0631
270	3.22439e-08	-58.4617
280	3.22439e-08	-53.7792
290	3.22439e-08	-52.7803
300	3.22439e-08	-54.1921
310	3.22439e-08	-52.0432
320	3.22439e-08	-53.5752
330	3.22439e-08	-50.4184
340	3.22439e-08	-64.4345
350	3.22439e-08	-67.6918
360	3.22439e-08	-54.3821
370	3.22439e-08	-51.0662
380	3.22439e-08	-59.4378
390	3.22439e-08	-53.0518
400	3.22439e-08	-62.2933
410	3.22439e-08	-48.6465
420	3.22439e-08	-51.1713
430	3.22439e-08	-67.1446
440	3.22439e-08	-71.9935
450	3.22439e-08	-53.9057
460	3.22439e-08	-55.4673
470	3.22439e-08	-54.4494
480	3.22439e-08	-55.7104
490	3.22439e-08	-57.7658
500	3.22439e-08	-54.5975
510	3.22439e-08	-53.0918
520	3.22439e-08	-59.191
530	3.22439e-08	-57.3851
540	3.22439e-08	-54.6605
550	3.22439e-08	-48.7596
560	3.22439e-08	-55.2681
570	3.22439e-08	-55.7909
580	3.22439e-08	-46.3031
590	3.22439e-08	-60.9548
600	3.22439e-08	-53.723
610	3.22439e-08	-57.742
620	3.22439e-08	-63.1888
630	3.22439e-08	-68.924
640	3.22439e-08	-53.051
650	3.22439e-08	-52.1902
660	3.22439e-08	-57.3341
670	3.22439e-08	-47.4242
680	3.22439e-08	-53.2136
690	3.22439e-08	-54.3568
700	3.22439e-08	-48.7586
710	3.22439e-08	-51.7369
720	3.22439e-08	-71.0629
730	3.22439e-08	-56.8797
740	3.22439e-08	-60.1709
750	3.22439e-08	-50.6526
760	3.22439e-08	-53.4179
770	3.22439e-08	-64.7518
780	3.22439e-08	-56.1712
790	3.22439e-08	-57.5131
800	3.22439e-08	-55.416
810	3.22439e-08	-63.4609
820	3.22439e-08	-62.2542
830	3.22439e-08	-47.0749
840	3.22439e-08	-58.3367
850	3.22439e-08	-54.4321
860	3.22439e-08	-48.8723
870	3.22439e-08	-48.332
880	3.22439e-08	-70.7805
890	3.22439e-08	-58.3738
900	3.22439e-08	-54.8776
910	3.22439e-08	-57.3667
920	3.22439e-08	-61.3512
930	3.22439e-08	-57.7437
940	3.22439e-08	-58.0403
950	3.22439e-08	-71.454
960	3.22439e-08	-59.0407
970	3.22439e-08	-55.5024
980	3.22439e-08	-52.4582
990	3.22439e-08	-53.8338
1000	3.22439e-08	-54.9063
