state	power	likelihood
260	0.256746	-47.9218
270	0.256746	-52.223
280	0.256746	-53.1068
290	0.256746	-63.0936
300	0.256746	-47.623
310	0.256746	-53.9535
320	0.256746	-50.7345
330	0.256746	-46.0874
340	0.256746	-56.1395
350	0.256746	-47.1644
360	0.256746	-54.0145
370	0.256746	-49.3811
380	0.256746	-49.1938
390	0.256746	-46.6485
400	0.256746	-50.9985
410	0.256746	-57.3167
420	0.256746	-51.9378
430	0.256746	-54.7939
440	0.256746	-49.1821
450	0.256746	-59.4082
460	0.256746	-54.3068
470	0.256746	-47.8962
480	0.256746	-55.1108
490	0.256746	-49.4914
500	0.256746	-48.408
510	0.256746	-47.6962
520	0.256746	-46.318
530	0.256746	-54.8356
540	0.256746	-52.8549
550	0.256746	-53.6712
560	0.256746	-50.9432
570	0.256746	-51.8705
580	0.256746	-48.7596
590	0.256746	-53.5252
600	0.256746	-55.7206
610	0.256746	-49.4571
620	0.256746	-55.5597
630	0.256746	-51.6607
640	0.256746	-53.8318
650	0.256746	-45.8618
660	0.256746	-60.6378
670	0.256746	-59.3456
680	0.256746	-48.3814
690	0.256746	-49.4697
700	0.256746	-49.392
710	0.256746	-49.8901
720	0.256746	-50.6922
730	0.256746	-49.0044
740	0.256746	-57.5162
750	0.256746	-46.2469
760	0.256746	-54.6074
770	0.256746	-47.4675
780	0.256746	-47.6036
790	0.256746	-52.4295
800	0.256746	-50.5278
810	0.256746	-50.7344
820	0.256746	-46.5751
830	0.256746	-54.4186
840	0.256746	-53.4465
850	0.256746	-51.1161
860	0.256746	-49.3465
870	0.256746	-48.3679
880	0.256746	-50.0328
890	0.256746	-47.5789
900	0.256746	-58.8064
910	0.256746	-51.8301
920	0.256746	-50.3545
930	0.256746	-48.8677
940	0.256746	-54.3113
950	0.256746	-47.938
960	0.256746	-50.8635
970	0.256746	-49.4021
980	0.256746	-57.3611
990	0.256746	-49.67
1000	0.256746	-47.9049
