state	power	likelihood
260	0.0144583	-51.2492
270	0.0144583	-46.1416
280	0.0144583	-62.5668
290	0.0144583	-48.3782
300	0.0144583	-55.0311
310	0.0144583	-51.6324
320	0.0144583	-52.6454
330	0.0144583	-61.5397
340	0.0144583	-53.4606
350	0.0144583	-52.5564
360	0.0144583	-50.8522
370	0.0144583	-56.0931
380	0.0144583	-55.9997
390	0.0144583	-51.8589
400	0.0144583	-66.1666
410	0.0144583	-48.3594
420	0.0144583	-57.7827
430	0.0144583	-56.8186
440	0.0144583	-60.1406
450	0.0144583	-49.4327
460	0.0144583	-62.8928
470	0.0144583	-56.4381
480	0.0144583	-55.1492
490	0.0144583	-51.6401
500	0.0144583	-59.1326
510	0.0144583	-50.4749
520	0.0144583	-59.8448
530	0.0144583	-53.5994
540	0.0144583	-58.9122
550	0.0144583	-61.832
560	0.0144583	-60.2384
570	0.0144583	-55.0501
580	0.0144583	-57.4534
590	0.0144583	-57.7627
600	0.0144583	-55.9555
610	0.0144583	-67.4026
620	0.0144583	-48.3944
630	0.0144583	-55.8928
640	0.0144583	-57.9866
650	0.0144583	-65.9913
660	0.0144583	-49.3404
670	0.0144583	-51.7079
680	0.0144583	-48.5943
690	0.0144583	-58.3783
700	0.0144583	-52.595
710	0.0144583	-49.9391
720	0.0144583	-48.3378
730	0.0144583	-55.0501
740	0.0144583	-56.9109
750	0.0144583	-47.8004
760	0.0144583	-50.7305
770	0.0144583	-55.3451
780	0.0144583	-56.1886
790	0.0144583	-50.5783
800	0.0144583	-55.2979
810	0.0144583	-51.6708
820	0.0144583	-58.1172
830	0.0144583	-60.8183
840	0.0144583	-51.1215
850	0.0144583	-58.402
860	0.0144583	-47.8697
870	0.0144583	-55.4855
880	0.0144583	-57.7105
890	0.0144583	-53.0341
900	0.0144583	-51.4427
910	0.0144583	-51.0676
920	0.0144583	-53.8055
930	0.0144583	-50.1861
940	0.0144583	-50.1689
950	0.0144583	-54.7772
960	0.0144583	-54.6855
970	0.0144583	-52.7118
980	0.0144583	-51.6332
990	0.0144583	-53.6011
1000	0.0144583	-48.6683
