state	power	likelihood
260	0.00143068	-48.3759
270	0.00143068	-57.6002
280	0.00143068	-49.153
290	0.00143068	-53.3248
300	0.00143068	-59.2463
310	0.00143068	-61.4378
320	0.00143068	-54.7619
330	0.00143068	-57.1259
340	0.00143068	-49.7762
350	0.00143068	-55.363
360	0.00143068	-55.7848
370	0.00143068	-50.8765
380	0.00143068	-53.909
390	0.00143068	-52.3584
400	0.00143068	-48.5763
410	0.00143068	-62.444
420	0.00143068	-54.9979
430	0.00143068	-49.5172
440	0.00143068	-52.1507
450	0.00143068	-58.4714
460	0.00143068	-60.5417
470	0.00143068	-53.1137
480	0.00143068	-56.2007
490	0.00143068	-56.8732
500	0.00143068	-49.328
510	0.00143068	-61.4685
520	0.00143068	-56.7596
530	0.00143068	-63.9744
540	0.00143068	-59.0814
550	0.00143068	-49.3541
560	0.00143068	-50.5242
570	0.00143068	-60.986
580	0.00143068	-60.6006
590	0.00143068	-56.6638
600	0.00143068	-62.4525
610	0.00143068	-51.0921
620	0.00143068	-58.6708
630	0.00143068	-52.9366
640	0.00143068	-55.6429
650	0.00143068	-48.1302
660	0.00143068	-55.9921
670	0.00143068	-49.8854
680	0.00143068	-49.4653
690	0.00143068	-49.7156
700	0.00143068	-58.3429
710	0.00143068	-62.8619
720	0.00143068	-56.4942
730	0.00143068	-63.2756
740	0.00143068	-55.8163
750	0.00143068	-55.9813
760	0.00143068	-69.7172
770	0.00143068	-48.9677
780	0.00143068	-54.6954
790	0.00143068	-57.4605
800	0.00143068	-58.3361
810	0.00143068	-60.9651
820	0.00143068	-53.5198
830	0.00143068	-47.973
840	0.00143068	-60.5225
850	0.00143068	-54.8227
860	0.00143068	-56.6492
870	0.00143068	-60.7834
880	0.00143068	-60.8591
890	0.00143068	-63.1717
900	0.00143068	-65.3696
910	0.00143068	-50.4316
920	0.00143068	-63.4446
930	0.00143068	-48.0449
940	0.00143068	-55.3707
950	0.00143068	-50.3735
960	0.00143068	-52.2018
970	0.00143068	-56.387
980	0.00143068	-54.8091
990	0.00143068	-54.4687
1000	0.00143068	-56.1948
