species,area,wc2.1_5m_bio_2,wc2.1_5m_bio_5,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_18,wc2.1_5m_bio_19,elev
Palicourea_mansoana,E,1.021836823,1.483401848,1.115943159,1.390278436,1.372792374,2.463892989,1.924279286,1.621904928,2.834420704,2.441694426,477
Palicourea_marcgravii,E,1.049046727,1.454425599,1.206731347,1.345362297,1.287906192,2.356025857,1.322219295,1.807890538,2.611723308,2.019111319,723
Palicourea_mediocris,C,0.960304264,1.502891207,1.130751792,1.417853511,1.399434298,2.719331287,1.86923172,1.781879267,2.86569606,2.615950052,333
Palicourea_minutiflora,out,0.845568289,1.444388354,1.051384031,1.360747981,1.32882453,2.181843588,1.897627091,1.278319721,2.562292864,2.501059262,377
Palicourea_nigricans,E,0.985220583,1.490576456,1.053097621,1.397493893,1.407934507,2.498310554,2.141446943,1.373697947,2.812913357,2.804820679,244
Palicourea_nitidella,E,1.001474114,1.520784753,1.09321146,1.415996621,1.427459057,2.539076099,1.84509804,1.705461051,2.58546073,2.943988875,100
Palicourea_officinalis,E,1.050763097,1.449370385,1.221335963,1.33125852,1.283553733,2.421603927,0.903089987,1.901162409,2.627365857,1.672097858,1066
Palicourea_ostreophora,E,0.973993305,1.45954325,1.043460461,1.358575641,1.364844801,2.542202335,2.249196634,1.362767001,2.804820145,2.944975908,773.5
Palicourea_perquadrangularis,A,0.95773096,1.403892284,1.017659312,1.298860353,1.294076575,2.519827994,1.875061263,1.614540605,2.742725131,2.850646235,1456
Palicourea_persearum,C,1.007957473,1.445619755,1.173361121,1.326342675,1.289507205,2.359835482,1.255272505,1.870503635,2.624282096,1.939519253,1133
Palicourea_polycephala,E,0.934475259,1.505800936,1.030882856,1.415996621,1.426871659,2.525044807,1.799340549,1.712744521,2.498972639,2.895974732,121
Palicourea_prunifolia,E,1.050508656,1.492690552,1.219034107,1.380720655,1.350089671,2.445604203,1,1.884569398,2.632457292,1.792391689,572
Palicourea_pubescens,C,1.016573744,1.501606919,1.150695015,1.387247415,1.368410861,2.551449998,1.176091259,1.892077865,2.602059991,2.322219295,450
Palicourea_pyramidalis,A,0.907809818,1.330007684,0.951240291,1.220478552,1.230653232,2.307496038,1.568201724,1.620650885,2.624282096,2.737987326,1923
Palicourea_quadrifolia,E,0.92861323,1.501928351,1.033162177,1.409737329,1.418850735,2.564664452,1.851258349,1.687951167,2.51851394,2.904174368,119
Palicourea_quinquepyrena,A,1.00515546,1.419608824,1.073021466,1.305666578,1.298361774,2.212187604,1.929418926,1.286199068,2.523746467,2.62324929,1472
Palicourea_racemosa,out,0.968957441,1.501130157,1.070942467,1.405112879,1.411044133,2.575186309,1.73239376,1.714760218,2.581464327,2.934498451,183
Palicourea_rhodothamna,E,0.973479777,1.49872398,1.044951137,1.418004213,1.411664605,2.484299839,2.164352856,1.341805797,2.818885415,2.783903579,132
Palicourea_rigida,E,1.058783377,1.456942692,1.224804908,1.355052217,1.287159531,2.42975228,1.176091259,1.87788138,2.661812686,1.826074803,753
Palicourea_rigidifolia,A,0.956396578,1.431202881,1.01069874,1.318824774,1.33102554,2.517195898,1.916382152,1.58792565,2.797959644,2.884795364,1300
Palicourea_sessilis,F,1.035377941,1.427729473,1.250419984,1.323595803,1.194958132,2.372912003,1.544068044,1.79686879,2.764176132,2.136720567,790
Palicourea_sodiroi,A,0.936492811,1.370642587,0.987800267,1.277288264,1.269835845,2.46686762,1.51851394,1.762141833,2.86569606,2.530199698,1507
Palicourea_sopkinii,A,0.893525989,1.394206433,0.941859161,1.306803736,1.314825409,2.558708571,2.170261715,1.426458746,2.894316063,2.942999593,1210
Palicourea_standleyana,A,0.907809818,1.330007684,0.951240291,1.220478552,1.230653232,2.307496038,1.568201724,1.620650885,2.624282096,2.737987326,1923
Palicourea_stenosepala,A,0.996084639,1.370679598,1.058662231,1.23451308,1.236239062,2.206825876,1.755874856,1.461099604,2.572290217,2.372896407,2056
Palicourea_stenostachya,out,0.983487222,1.485380673,1.049101624,1.391661267,1.395353608,2.477121255,2.212187604,1.319152826,2.80140371,2.845718018,389
Palicourea_stipularis,A,0.907809818,1.330007684,0.951240291,1.220478552,1.230653232,2.307496038,1.568201724,1.620650885,2.624282096,2.737987326,1923
Palicourea_subfusca,out,0.998128496,1.491725775,1.077438981,1.400523589,1.38310591,2.491361694,2.041392685,1.416266611,2.828015064,2.64738297,281
Palicourea_sucllii,A,1.107173216,1.384514704,1.204418449,1.248034588,1.194190466,2.29666519,1.431363764,1.794467618,2.615950052,2.064457989,2357
Palicourea_sulphurea,A,0.991407563,1.332094924,1.082534068,1.191827564,1.17627942,2.270677275,1.633468456,1.639284127,2.569958425,2.399673721,2370.5
Palicourea_tetragona,C,0.977597852,1.502672862,1.139312233,1.410411672,1.398241026,2.64738297,1.770852012,1.781494425,2.78604121,2.574606476,216.5
Palicourea_thermydri,A,0.949459136,1.412981061,1.001993153,1.309729509,1.313958579,2.517195898,2.045322979,1.517820483,2.877946952,2.882524538,1475
