,Palicourea_suerrensis,Palicourea_justiciifolia,Palicourea_ostreophora,Palicourea_quadrifolia,Palicourea_corymbifera,Palicourea_winkleri,Palicourea_dichotoma,Palicourea_gracilenta,Palicourea_obliquinervia,Palicourea_prunifolia,Palicourea_callithrix,Palicourea_glabra,Palicourea_acuminata,Palicourea_andina,Palicourea_didymocarpos,Palicourea_rhodothamna,Palicourea_triphylla,Palicourea_croceoides,Palicourea_crocea,Palicourea_lasiantha,Palicourea_nitidella,Palicourea_macrobotrys,Palicourea_guianensis,Palicourea_marcgravii,Palicourea_grandiflora,Palicourea_rigida,Palicourea_egensis,Palicourea_polycephala,Palicourea_deflexa,Palicourea_woronovii,Palicourea_bangii,Palicourea_flavifolia,Palicourea_reticulata,Palicourea_stipularis,Palicourea_flavescens,Palicourea_stenosepala,Palicourea_lineata,Palicourea_padifolia,Palicourea_lehmannii,Palicourea_thyrsiflora,Palicourea_demissa,Palicourea_amethystina,Palicourea_standleyana,Palicourea_seemannii,Palicourea_pyramidalis,Palicourea_luteonivea,Palicourea_sulphurea,Palicourea_apicata,Palicourea_loxensis,Palicourea_angustifolia,Palicourea_tetragona,Palicourea_domingensis,Palicourea_pubescens,Palicourea_correae,Palicourea_elata,Palicourea_berteroana,Palicourea_petiolaris,Palicourea_timbiquensis,Palicourea_acanthacea,Palicourea_brachiata,Palicourea_glomerulata,Palicourea_conephoroides,Palicourea_tinctoria,Palicourea_jelskii,Palicourea_allenii,Palicourea_cyanococca,Palicourea_hazenii,Palicourea_tomentosa,Psychotria_rosea,Psychotria_suterella,Palicourea_brachypoda,Palicourea_sessilis,Palicourea_divaricata,Palicourea_racemosa,Palicourea_subfusca,Palicourea_topoensis,Palicourea_brevicollis
Palicourea_brachiata,96.649,55.6729,78.2213,71.5268,84.4587,55.6036,52.9727,66.2305,62.9655,27.2943,78.8515,89.6067,99.5694,91.2848,51.3151,92.1169,64.4986,41.1278,32.1296,59.9391,68.9967,16.8021,69.7776,10.6106,72.3729,13.6704,96.8391,84.6488,46.1342,98.1478,30.6635,4.7027,3.1846,2.2076,2.3717,13.3979,2.1074,8.9158,54.5407,6.3046,10.0634,57.5631,47.5974,34.9501,40.1358,39.4377,8.1225,86.1748,13.1487,78.5126,72.0344,44.9309,35.5986,88.8462,44.4225,96.8907,9.8107,60.4735,37.9225,100,61.3576,84.7394,88.6069,14.6062,49.4377,82.2831,80.7099,98.1632,81.1271,3.6097,1.1634,9.0608,18.7089,93.188,98.6795,24.1378,5.5588
Palicourea_glomerulata,89.7433,29.8425,40.548,47.607,63.6449,24.1108,93.9438,31.8057,37.2862,9.9479,46.2558,75.2756,97.7991,89.5291,71.5788,67.2917,34.5595,81.3057,88.1476,32.2151,41.9553,6.9515,39.8031,3.4992,39.7521,4.4767,60.1962,63.5627,90.1308,79.4315,14.8198,22.7215,0.5207,0.3857,7.8178,2.1431,0.3964,0.5638,27.0862,1.1862,79.1104,36.0599,13.6783,15.0085,11.0009,11.2742,1.9735,77.2464,1.3675,60.3078,46.1373,39.0365,14.0684,34.0678,79.6392,90.5531,2.3222,80.0983,55.3399,91.4633,100,5.7297,75.7367,6.7005,19.7472,59.4116,56.8343,96.9865,87.0618,0.1673,0.4161,2.2725,16.8333,92.0903,95.3453,20.5682,0.4051
Palicourea_conephoroides,83.4097,79.164,72.2543,93.2934,84.6537,79.2239,73.4296,76.9592,88.8273,78.253,6.2526,82.9261,45.5571,72.0317,85.6616,77.1977,81.426,75.6309,65.6582,79.8606,68.5924,74.3069,72.6239,79.4221,77.7322,83.6085,91.887,87.7767,82.6664,94.6405,80.3197,63.1121,53.938,39.889,10.9744,47.5108,32.5531,56.8459,95.0219,50.5427,34.1795,92.8054,43.1826,43.372,49.0406,80.8116,42.9698,85.91,56.7594,47.9988,81.7975,74.5574,67.3163,85.8872,66.245,68.7626,56.9505,31.4466,7.3386,19.5048,68.7893,100,76.3487,59.3956,66.7184,12.2697,62.5243,32.0597,14.5124,36.0211,79.5408,58.153,7.9794,41.4902,71.8502,4.575,39.1521
Palicourea_tinctoria,6.1379,37.8281,46.4256,11.3072,11.0519,81.0625,41.9885,51.9403,27.0368,21.9718,5.457,16.3458,62.6106,90.6842,24.8408,14.3549,81.9019,66.653,59.4324,48.4295,7.0192,67.1075,53.9795,47.7039,38.267,58.1805,4.132,3.9196,59.1672,96.4793,68.8448,78.3456,90.3147,95.6848,29.4723,77.3583,90.7718,76.0275,4.3432,97.546,82.8591,93.5874,11.8935,61.5307,28.423,82.3016,98.0928,92.0647,21.1856,72.6873,19.3268,24.6798,46.4009,10.7434,48.9901,80.4782,67.905,1.8887,16.5655,28.3467,6.827,86.4889,100,30.7918,80.9306,85.3888,69.301,41.7177,17.6018,28.4528,76.1791,41.4274,61.5948,79.4769,50.3502,7.7194,32.3089
Palicourea_jelskii,8.1313,28.4859,21.745,10.2884,0.3251,15.6962,7.6251,4.5907,18.7116,27.5375,0.1548,0.5008,7.0296,30.133,2.4093,20.9177,16.7637,15.3405,11.3991,16.8473,5.145,29.387,6.287,52.0883,2.9884,49.6928,0.0746,25.1253,13.385,12.6278,64.2139,62.9509,53.8629,36.793,5.4866,32.7595,36.7265,21.8339,59.7394,35.4802,27.6443,94.0063,12.8466,12.6586,17.902,41.6827,32.2218,56.5125,47.7976,17.965,8.7755,2.6267,20.1042,0.2984,1.9954,15.1157,44.5187,3.1528,1.869,1.5986,0.2521,57.3781,52.9518,100,25.2322,11.7596,26.6756,3.0219,0.8938,11.3988,4.2995,29.6325,34.6291,6.784,18.7087,0.4699,12.3356
Palicourea_allenii,90.8581,66.7901,86.702,76.7893,84.0021,74.6793,60.8497,75.8798,71.4765,50.3036,73.3124,83.4043,81.4406,76.0833,73.1772,96.7425,73.8618,59.8365,52.0138,84.1212,56.9494,39.9712,77.6336,37.0312,74.5556,40.5406,83.4924,84.3317,58.4957,96.7478,17.8151,20.2402,19.5597,19.2634,25.1821,60.4369,16.1423,39.7396,77.3956,30.9201,47.9212,11.8502,79.3049,70.1687,87.9754,66.2557,36.8283,22.3744,47.4517,50.5501,64.1684,51.2154,39.4622,90.6848,66.2139,74.2881,49.065,69.6466,35.2565,90.7026,91.8857,50.1428,75.2879,14.1507,100,35.5815,75.5166,64.0975,36.5885,11.5613,1.5935,20.0118,12.6541,54.8418,79.4108,9.8425,8.2619
Palicourea_cyanococca,97.0345,36.0545,67.9324,50.9048,49.5312,39.9535,43.7141,45.2823,42.9209,9.553,33.1502,82.0049,98.4175,87.9986,30.1647,75.4712,42.7162,85.0797,81.6306,38.8848,53.9662,8.3364,54.4946,4.0039,46.8452,5.7922,86.7104,83.8963,31.375,86.9898,26.8905,2.8959,2.3337,1.5229,2.7622,12.2255,1.4856,9.3181,61.2494,4.4685,8.4147,52.3264,58.5598,25.9277,41.2132,33.7176,5.8714,80.8066,19.8984,79.6178,49.5765,25.5401,19.7691,61.4356,39.6093,95.9944,6.1183,61.0261,39.2332,91.2742,87.5527,80.0774,18.4691,0.9466,85.152,100,82.6398,97.1036,69.9673,2.9678,1.0562,7.6369,13.6554,87.2854,96.7315,35.9105,1.391
Palicourea_hazenii,76.5007,69.4723,79.1685,85.2538,5.0986,77.3667,25.2996,32.8534,78.9872,41.6567,4.538,13.7471,51.3566,79.8144,9.2734,63.4195,67.9996,38.5517,29.9301,63.9268,61.3093,33.2548,36.443,42.1375,18.3483,39.891,2.1904,89.3991,29.1885,88.5916,33.4754,43.6566,28.2063,30.5146,32.9364,82.2397,27.7315,63.4508,92.2429,47.7661,92.8231,88.6805,95.5683,64.849,88.5547,88.2968,57.8498,93.8282,81.2668,86.429,70.3098,8.7247,53.1116,14.4063,51.1941,69.7599,67.2879,26.1659,17.6837,20.1565,3.6864,52.6562,80.7386,20.3497,60.8167,17.9951,100,32.5235,8.4922,10.1805,37.8219,17.9777,50.7649,23.7896,54.5749,10.1144,11.4679
Palicourea_tomentosa,36.4546,69.9373,80.9558,48.769,52.258,78.9881,87.3294,86.178,60.9814,29.8873,31.9868,63.5834,96.3456,82.1477,60.4013,39.5896,86.2738,87.0963,87.7037,84.0152,41.4076,78.8764,95.8605,26.892,82.6568,42.4092,34.3779,25.1416,88.3636,99.8607,27.7529,36.8782,54.7086,63.7322,13.1646,62.8755,56.9229,35.7061,7.3822,80.5152,78.3905,53.0239,23.4435,76.1961,36.9311,81.4406,90.0515,78.1953,10.0738,66.4767,64.5865,47.5579,64.4692,34.2673,78.8735,92.7712,34.7094,12.0391,27.6237,76.1637,45.4099,76.8365,79.4722,12.5234,78.9101,61.8508,72.8259,100,71.6744,3.4871,21.9812,6.6809,53.9822,83.4096,45.3337,14.6579,7.4361
Psychotria_rosea,38.2727,91.9996,79.8442,70.6393,78.9612,94.3391,94.2553,93.1497,81.152,56.4618,45.944,67.8798,96.5055,80.4301,83.581,46.5588,97.106,95.9519,97.1567,88.1854,73.5087,92.7755,98.1382,47.614,92.5424,63.0028,54.5191,45.9247,96.0211,44.7301,20.4691,39.2795,55.4054,69.6083,10.8988,46.3262,66.8892,16.266,6.0921,86.1797,75.1094,56.4847,18.6782,67.4496,27.1337,82.0855,92.9175,79.4921,3.7562,64.0818,81.155,69.4851,77.8169,30.3299,75.4343,94.4156,45.1221,12.7674,26.8974,78.6897,54.6826,78.9489,81.718,11.4451,78.01,60.4527,69.2362,94.884,100,0.8464,10.5474,1.3039,40.7248,71.9045,30.1929,17.4146,2.8968
Psychotria_suterella,0.1254,6.8972,3.6994,0.2092,0.1834,28.2655,5.4864,22.3768,6.6991,9.5778,0.0571,0.3254,10.5459,25.7302,3.6755,0.6717,11.4944,35.7313,34.6291,8.0837,0.1294,61.4757,8.5455,45.9112,7.2827,51.2892,0.0065,0.0187,22.8086,0.1788,76.0941,44.4965,76.9728,86.5809,1.9103,36.6875,76.2441,85.8651,0.0571,88.2222,15.851,73.2777,0.1344,5.5201,0.4603,18.0622,61.863,38.0522,1.9574,6.3624,2.4771,7.0384,20.8868,0.181,29.4309,33.4061,17.5157,0.0054,0.1564,1.2827,0.04,58.007,44.0225,17.5345,18.5404,0.7834,21.3508,3.4678,0.3956,100,85.1277,66.6376,0.3096,8.2502,9.9525,10.113,56.0788
Palicourea_brachypoda,0.4693,4.9652,0.6212,4.4006,4.2899,5.4938,3.4941,9.36,9.9761,19.8394,3.4161,0.3342,41.8735,43.0108,6.9158,0.6523,7.1981,6.7438,7.8303,3.485,7.3549,9.5875,2.9518,8.2371,8.1182,9.7964,1.3124,0.1564,8.8813,0.6579,83.9478,2.5792,2.4783,1.4939,0.0569,1.5735,1.3847,12.3035,0.0022,2.4562,0.1903,74.7769,0.0021,0.0806,6e-04,2.54,1.4671,39.5307,0.2948,3.2747,14.2726,18.447,18.6486,0.0801,6.2761,80.1679,0.5893,2e-04,3e-04,4.6307,0.291,7.5067,6.1283,0.2773,34.3683,0.4229,0.8243,1.9032,3.0179,28.2752,100,74.8425,0.0122,57.2264,85.7436,0.0264,85.6394
Palicourea_sessilis,3.2423,16.0402,8.8809,0.1963,0.1631,16.9417,13.1248,18.2924,7.5733,14.526,0.0486,0.5164,13.9954,31.6126,6.7942,1.6455,16.2284,40.1992,37.7576,11.0185,0.0946,61.6772,14.1779,48.6242,9.7757,56.9805,0.006,0.1836,29.0529,3.5836,78.5208,63.2199,83.9901,23.8492,4.0804,18.8909,83.7733,62.0337,0.6076,32.2329,21.6556,85.3742,6.9659,7.1944,1.4115,23.7376,17.3892,47.4345,3.4515,12.6733,7.7722,9.0625,20.9869,0.2666,13.5513,34.7833,26.4572,3.5674,0.9094,2.7407,0.2051,65.5957,47.1854,38.7423,18.1579,1.5526,22.0823,9.5161,5.2181,94.5936,11.2529,100,51.0667,22.4434,53.0465,1.016,55.0778
Palicourea_divaricata,10.4327,30.0513,17.1794,9.7723,11.4745,8.3305,95.989,13.589,18.8618,9.6776,1.7066,13.7464,58.1995,61.6209,30.4808,32.0394,17.8919,62.4634,82.5017,12.5797,13.9482,10.6289,22.9401,22.0516,20.6514,10.8064,16.1859,36.1176,90.9299,21.3923,22.6198,2.5528,0.9594,3.1208,1.4422,0.8272,0.696,0.7891,41.61,3.5176,74.9143,83.035,4.0691,5.4329,6.2991,8.403,2.8597,66.2058,0.952,61.9856,13.3611,20.523,11.5435,4.2171,1.7621,58.5274,14.4425,25.4337,31.8626,23.8399,26.6335,56.2737,9.914,3.8829,48.5975,19.1308,4.1401,19.1264,25.3597,0.1166,0.009,3.6893,100,76.8089,40.8644,0.2706,2.009
Palicourea_racemosa,96.2077,84.3245,66.8193,52.3804,53.7901,76.8273,85.7059,81.4694,69.4477,51.7705,32.5788,45.9143,88.3241,76.6472,72.7293,93.1851,93.2088,91.6042,93.3359,78.1342,47.8426,88.605,91.0808,55.311,79.9468,60.4053,30.0477,24.3452,94.0165,99.5572,36.2415,52.26,7.4364,7.3359,11.3755,13.4824,69.8728,37.1228,4.829,12.5963,67.7593,64.7476,28.3917,38.5358,18.044,80.5307,13.7824,74.491,7.9821,58.4693,96.7241,65.846,77.2592,20.9128,65.5512,91.2343,48.7384,59.3172,14.736,59.5103,33.6448,80.1142,46.2608,21.297,65.2848,40.9968,69.3118,89.5733,97.5289,9.3448,6.6181,16.7144,22.2972,100,92.3575,6.6217,22.3723
Palicourea_subfusca,97.9349,43.89,32.5703,26.9121,24.0249,94.6856,34.8864,47.2029,38.5424,24.4433,13.6572,23.444,53.9707,50.1123,36.9995,13.5517,97.3483,67.9925,64.2457,53.8271,18.5834,63.4645,47.817,27.476,39.2405,42.1049,12.4963,8.5379,51.5076,99.9817,29.3133,37.7911,54.3916,60.5793,4.594,36.27,62.73,25.6112,1.9669,37.173,47.3839,56.0853,6.1499,42.8318,10.5061,43.3726,28.9939,66.2264,3.5889,33.4837,94.0049,27.289,34.0086,9.8985,39.8486,64.5093,22.241,66.1056,8.0578,27.3605,12.0781,62.1678,66.9299,15.2942,41.432,17.7754,45.8661,96.0278,97.3517,46.8463,3.2501,16.9044,5.4657,49.9444,100,3.6486,41.5002
Palicourea_topoensis,31.9509,12.2491,94.6413,8.1485,7.9469,12.4195,50.1082,66.7524,12.3467,2.3144,4.6898,54.0741,87.6493,96.9669,10.208,24.7578,7.6068,53.719,40.5567,74.3452,2.8461,33.0255,79.3763,4.8644,44.9427,14.9731,3.5698,3.1003,43.9167,28.195,31.0509,40.8504,61.8798,73.1544,39.802,92.4364,62.2322,80.483,9.7302,86.398,91.9279,71.5749,75.3716,89.6489,83.4457,85.6448,94.9818,88.9585,30.6779,91.7047,16.1169,9.0757,45.8011,61.7313,90.104,95.4844,31.0895,4.7242,31.4868,66.1618,14.6951,62.9049,85.9058,17.4898,84.5512,80.6011,91.6009,78.8617,6.9828,0.3977,0.0304,17.5949,0.8077,41.8662,85.3925,100,0.4572
Palicourea_brevicollis,3.6665,25.3382,11.0907,5.0867,3.4938,11.2829,24.6138,15.7008,18.0213,50.89,4.3253,1.6147,11.8139,18.7974,24.02,8.0057,15.9718,26.9575,31.9693,9.7344,4.3922,45.1556,12.373,50.9676,15.7312,57.4987,0.4559,5.7284,33.8302,2.4358,52.7073,32.2831,13.7572,9.744,1.2561,4.9698,8.6539,24.5198,27.0748,13.6855,3.6064,48.8733,2.5247,1.7363,1.9038,19.0561,7.651,20.7258,7.2737,6.2573,14.2666,34.8761,45.1139,1.4471,7.1301,28.4069,15.2914,1.954,0.4759,2.7875,2.2588,32.6522,26.1017,8.8232,11.4303,4.0256,6.8488,7.1279,6.2665,54.3789,14.1458,47.4867,22.8043,21.9598,9.2256,5.5863,100
