"species","PC1","PC2","elev","Principal_pollinator"
"Palicourea_grandistipula",1.93405274251152,3.08992405147007,97,"Insect"
"Palicourea_guianensis",1.32798354402937,0.336478597248976,218,"Hummingbird"
"Palicourea_harlingii",-1.11511501681782,0.534700555394379,1519,"Hummingbird"
"Palicourea_hazenii",-0.741566265247692,0.399183419790346,1485,"Insect"
"Palicourea_heterochroma",-2.33770736541373,1.02340258818012,2297,"Hummingbird"
"Palicourea_huampamiensis",1.42776846445482,0.767274637106677,238,"Insect"
"Palicourea_hypochlorina",1.37144265149947,0.627855425602733,146,"Insect"
"Palicourea_jambosioides",1.25815846336067,-1.47432358811606,50,"Hummingbird"
"Palicourea_jelskii",-3.12949662212927,-1.59792419833625,2877,"Insect"
"Palicourea_lachnantha",1.40183986836397,0.795999949933614,132,"Hummingbird"
"Palicourea_lasiantha",1.0674196999564,0.509876316510934,281,"Hummingbird"
"Palicourea_lasiorrhachis",-0.757651986706042,0.516541674943155,1721,"Hummingbird"
"Palicourea_lehmannii",-1.15250455318948,0.880782553858015,1446,"Hummingbird"
"Palicourea_lineata",-2.64781224507384,-0.842576250897262,2296,"Hummingbird"
"Palicourea_lobbii",-3.07267109034394,-0.712054777865284,2506,"Hummingbird"
"Palicourea_locuples",-1.50416560452405,1.04206730230573,1739,"Hummingbird"
"Palicourea_longiflora",1.33206665095412,0.391530992293868,123,"Insect"
"Palicourea_loxensis",-2.15680136451336,-0.366850342634266,2056,"Insect"
"Palicourea_lupulina",1.51178508471187,-0.291638588737,171,"Hummingbird"
"Palicourea_luteonivea",-0.825457493513802,0.126321356910295,1365,"Hummingbird"
"Palicourea_macarthurorum",1.21338879768157,1.10250223991562,281,"Hummingbird"
"Palicourea_macbridei",-2.6520246635026,-1.51504144202583,2441,"Hummingbird"
"Palicourea_macrobotrys",0.97002345999359,-1.84875917932118,440.5,"Hummingbird"
"Palicourea_mansoana",0.8014109417105,0.406474402674139,477,"Hummingbird"
"Palicourea_marcgravii",0.239825074289369,-2.00347110999729,723,"Hummingbird"
"Palicourea_mediocris",1.8492210466746,-0.589977275202306,333,"Insect"
"Palicourea_minutiflora",0.448434054959089,-2.09276476604866,377,"Insect"
"Palicourea_nigricans",1.22527793648465,0.696694941659398,244,"Hummingbird"
"Palicourea_nitidella",1.48678985988052,0.246621523590186,100,"Hummingbird"
"Palicourea_officinalis",0.0319898757175641,-1.58845112643396,1066,"Hummingbird"
"Palicourea_ostreophora",0.699701000826576,1.00466312795326,773.5,"Insect"
"Palicourea_padifolia",-0.231476568896243,-1.46638873379542,1399,"Hummingbird"
"Palicourea_palenquensis",0.539616236625196,0.176636382096083,365,"Insect"
"Palicourea_perquadrangularis",-0.650406378731325,0.628747863044928,1456,"Hummingbird"
"Palicourea_persearum",-0.118280258802904,-1.99286393163433,1133,"Insect"
"Palicourea_petiolaris",-0.920180813102653,-1.09389483895363,1249,"Insect"
"Palicourea_polycephala",1.23553644254522,-0.0260392238453486,121,"Insect"
"Palicourea_prunifolia",0.841959482469028,-1.42195072190306,572,"Insect"
"Palicourea_pubescens",1.00615306977631,-0.890718684414787,450,"Insect"
"Palicourea_pyramidalis",-2.42030899394967,0.56671221612795,1923,"Hummingbird"
"Palicourea_quadrifolia",1.35657243985677,0.476187437456728,119,"Hummingbird"
"Palicourea_quinquepyrena",-1.23604958314184,-0.0935321951098403,1472,"Hummingbird"
"Palicourea_racemosa",1.52459513783442,0.268567570362674,183,"Insect"
"Palicourea_reticulata",-2.06437782579306,-1.7746733665327,2321,"Hummingbird"
"Palicourea_rhodothamna",1.37304101963741,0.816688294183981,132,"Insect"
"Palicourea_rigida",0.361234345560782,-1.68768045193032,753,"Hummingbird"
"Palicourea_rigidifolia",-0.245226674237147,0.994265822393302,1300,"Hummingbird"
"Palicourea_salicifolia",-1.59520176338289,0.617822748378984,2109,"Insect"
"Palicourea_seemannii",-0.0509390945559973,1.14930032042493,833,"Hummingbird"
"Palicourea_sessilis",0.360884680458478,-2.41755859693613,790,"Insect"
"Palicourea_skotakii",-2.70094478475165,0.561753217512351,2507,"Insect"
"Palicourea_sodiroi",-1.49509335827473,0.861309379474188,1507,"Hummingbird"
"Palicourea_solitudinum",1.84076696884036,0.446831549689101,182,"Insect"
"Palicourea_sopkinii",-0.49799293311986,1.69487572719314,1210,"Hummingbird"
"Palicourea_spathacea",-1.04809899543297,0.957647197152846,1942,"Hummingbird"
"Palicourea_standleyana",-2.42030899394967,0.56671221612795,1923,"Hummingbird"
"Palicourea_stenosepala",-2.26278198874095,-0.0930467819810635,2056,"Hummingbird"
"Palicourea_stenostachya",0.97215653700906,0.636688268380235,389,"Hummingbird"
"Palicourea_stipularis",-2.42030899394967,0.56671221612795,1923,"Hummingbird"
"Palicourea_subfusca",1.0947931415811,0.449265182091974,281,"Insect"
"Palicourea_subspicata",1.28185163537886,0.923986039821653,262,"Insect"
"Palicourea_sucllii",-1.993661847493,-1.22830145914758,2357,"Insect"
"Palicourea_suerrensis",1.67331196893448,0.472938094963588,233,"Insect"
"Palicourea_sulphurea",-2.62686023372135,-0.342846980186858,2370.5,"Hummingbird"
"Palicourea_tetragona",1.91405565852442,-0.710843458368466,216.5,"Insect"
"Palicourea_thermydri",-0.458564576710412,1.03484955180295,1475,"Hummingbird"
"Palicourea_thyrsiflora",-1.38778536791546,0.541095196249982,1682,"Hummingbird"
"Palicourea_timbiquensis",1.25369689377742,2.25540615793908,247,"Insect"
"Palicourea_tinctoria",-1.0872287229237,-0.724048505252847,1555,"Insect"
"Palicourea_tomentosa",1.39362181500898,0.657607833336187,262,"Insect"
"Palicourea_topoensis",-0.321853136829814,1.68198076527678,1389,"Insect"
"Palicourea_trianae",0.555288101689708,2.03291292451568,627,"Insect"
"Palicourea_triphylla",1.37624609292562,0.191202532935655,258,"Hummingbird"
"Palicourea_ulloana",-1.72513444993223,0.459642218707337,2056,"Hummingbird"
"Palicourea_umbelliformis",1.10620578017195,0.479102331840646,524,"Insect"
"Palicourea_valerioana",0.471599018108488,0.176066557119357,890,"Insect"
"Palicourea_winkleri",0.944900903001268,0.354628885055603,524,"Insect"
"Palicourea_woronovii",1.24223178371455,0.845433873194418,316,"Insect"
"Palicourea_yneziae",0.816069022082323,0.324259911024896,414,"Insect"
"Psychotria_berteroana",0.651873584411467,-0.39045329856263,610,"Insect"
"Psychotria_bertieroides",1.13976344711165,0.973093751813858,401,"Insect"
"Psychotria_bolivarensis",1.20893053600196,1.06942443643119,251.5,"Insect"
"Psychotria_brachypoda",1.21876166873783,-2.55442219077571,238,"Insect"
"Psychotria_bremekampiana",1.32597131664983,0.383820991216126,108,"Insect"
"Psychotria_everardii",-0.11412080500727,0.183290905765383,1216,"Insect"
"Psychotria_hebeclada",1.28093978185439,0.0360760797996033,201.5,"Insect"
"Psychotria_hemicephaelis",0.211881591624845,0.182226829198633,832,"Insect"
"Psychotria_limitanea",1.45791521165442,0.977610238799069,107,"Insect"
"Psychotria_lindenii",0.346710159182848,0.908862543498371,871,"Insect"
"Psychotria_luxurians",1.16995214893719,0.635213494175722,506,"Insect"
"Psychotria_muscosa",1.01019960383307,0.00716321137476988,284,"Insect"
"Psychotria_oblonga",1.32269481662663,0.793425134728155,140,"Insect"
"Psychotria_oinochrophylla",-0.178470752406108,0.141717027029658,1059.5,"Insect"
"Psychotria_paniculata",-2.73531795609716,-0.194260214900846,2393.5,"Insect"
"Psychotria_patentinervia",1.46911851111605,-1.72461614728956,321,"Insect"
"Psychotria_phyllocalymma",0.790929741691855,-1.82572681528622,321,"Insect"
"Psychotria_prancei",1.3093749150071,0.357595579425211,86,"Insect"
"Psychotria_pseudinundata",1.55481041549907,1.1352825841395,26.5,"Insect"
"Psychotria_rhombibractea",1.3093749150071,0.357595579425211,86,"Insect"
"Psychotria_rhytidocarpa",0.566060083974473,-2.69963926987301,607,"Insect"
"Psychotria_ruelliifolia",0.319938600235476,-2.45362092493087,787,"Insect"
"Psychotria_spathicalyx",0.411387245457736,-2.20488487767728,635.5,"Insect"
"Psychotria_stachyoides",0.269562216082344,-2.28186164183148,874,"Insect"
"Psychotria_stipulosa",1.16966118013194,-0.0208300479112297,300,"Insect"
"Psychotria_suterella",0.592275934348232,-2.5661338810871,689,"Insect"
"Psychotria_ulviformis",1.33623104775244,0.508488371372693,207,"Insect"
"Psychotria_urceolata",1.41638076889838,0.737574333638477,166,"Insect"
"Psychotria_variegata",1.40578459727923,0.575839784027515,168.5,"Insect"
"Psychotria_venulosa",1.16393440645266,0.602758581709229,361,"Insect"
