"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev","pollinator"
"Carapichea_urniformis",0.345592999513945,0.0216110151430116,0.0162619407069145,0.0226237655137751,0.0197430196483078,0.0190004847081416,0.0127016205476972,0.0477171337773876,0.0359827238765347,0.0856418236997459,0.0505856115468338,233.794766081405,NA
"Palicourea_acanthacea",0.412826074565678,0.0306685901304791,0.0533531818338322,0.0328726217287988,0.0725358305155868,0.0765108945943529,0.159164621148061,0.323584477263654,0.178293650470489,0.149901910136685,0.356213085063481,613.663780755802,NA
"Palicourea_acetosoides",0.424381045936117,0.0343467829077966,0.0719642271794329,0.0403862461081692,0.0848251780805253,0.0859936023277483,0.0741556015001887,0.18941686867501,0.0902428303071769,0.108066616756408,0.18565807257652,536.2153512697,NA
"Palicourea_acuminata",0.429889730637646,0.0647759188998495,0.0535530644882487,0.0736665550129977,0.0627172528106861,0.064880228320301,0.130527103425184,0.306551675449426,0.161942310317292,0.166544389488758,0.265743968013252,617.36664267806,NA
"Palicourea_aeneofusca",0.365350842469382,0.0914611248071902,0.0371627268858745,0.093708494031835,0.0402391272722702,0.0359488201467919,0.133190225362221,0.400724179920837,0.0641556480374695,0.182356406329933,0.389591009821797,218.087380224316,NA
"Palicourea_aetantha",0.342727636711465,0.00914422859620433,0.0134251063582419,0.00773998256831663,0.0192744985907238,0.0220543670188299,0.0224424055447935,0.149223059126013,0.0562390767507013,0.0307246825050958,0.119914130367274,185.819939726607,NA
"Palicourea_albaniana",0.365350842469382,0.014448621809326,0.0254879196006391,0.0111817485830444,0.0326785059847079,0.0320050090694928,0.00435456367465357,0.0610010788293072,0.0892497704800083,0.0134840970846009,0.0580761567360241,260.407570097535,NA
"Palicourea_albiflora",0.377628253640816,0.0488369106156253,0.139784398183704,0.0651279557383321,0.171590079757254,0.177027944474933,0.106411278461207,0.225719394479173,0.0944614344532805,0.13262534954997,0.193690548837378,981.122080933658,NA
"Palicourea_albocaerulea",0.394050476011983,0.017738552370772,0.0267269422233249,0.0241111979105485,0.0317859738414391,0.0309567777294918,0.0538929318444035,0.249977294039704,0.0872830450643877,0.0350634486021234,0.167531598859321,280.30477049101,NA
"Palicourea_allenii",0.423847449063062,0.0510864609516102,0.0504857650144329,0.0601599608382747,0.0579435253848739,0.0534830325967469,0.0960804984565149,0.177650804147054,0.0813498462872726,0.0910050217264859,0.226016866167543,516.744657794078,NA
"Palicourea_amapaensis",0.416629017084429,0.0415897037929619,0.0110593350260441,0.0543892026309697,0.00982458449698388,0.0104831627240012,0.0847201500347992,0.283118230500995,0.0689820694100568,0.142877995666236,0.231556604694694,104.705434358168,NA
"Palicourea_amethystina",0.427381173547625,0.0646217786996439,0.101343346299824,0.0848616098184476,0.128413432820623,0.129698744572897,0.1478291303715,0.35015449785013,0.202553501140702,0.145650818564896,0.362635174960974,845.573176412965,NA
"Palicourea_amorimii",0.352956658486791,0.012933066374059,0.00464281188719033,0.011767788946449,0.00481416189237787,0.00505808671715385,0.011982421969884,0.0523886250140826,0.0924031564134138,0.0503575532238751,0.0621132701238562,40.3230050571892,NA
"Palicourea_amplissima",0.387284403432216,0.0328629739022301,0.0728958944315265,0.057974950110155,0.0814570443446259,0.0864096741297831,0.139713113703028,0.467923291585479,0.215342768362545,0.214676432381765,0.155587196341642,796.901466437133,NA
"Palicourea_anceps",0.423425453670265,0.0429837197939664,0.0858545678509557,0.0523428580394016,0.106821990116538,0.105897235558878,0.128033939991367,0.189637310853012,0.147271409033358,0.171734871147025,0.238651242110664,563.05209996044,NA
"Palicourea_andaluciana",0.416261702322605,0.0257638826318935,0.108081452788864,0.0335023992651214,0.136624906416335,0.134857027963932,0.110988605105662,0.16167893545777,0.0726185155410625,0.148328640182366,0.159155161926706,777.005821260617,NA
"Palicourea_anderssoniana",0.393673380634146,0.0271343994976924,0.0758716470494756,0.0276611677789738,0.11413413760776,0.1145862054858,0.155817271678902,0.187451052275933,0.165740939603442,0.169580323710891,0.239665351788377,744.641467990345,NA
"Palicourea_andina",0.415227812270258,0.0560421894164499,0.058387864752077,0.0671895601795523,0.0669763020283028,0.0676050100409736,0.170504637621158,0.257660834339051,0.138059439657183,0.17670983230404,0.325314824450595,555.293936651706,NA
"Palicourea_andrei",0.412987430381647,0.0400941665252419,0.0645429453633575,0.0502387702456925,0.0811809089776934,0.0823165743226608,0.158869237774018,0.260609351152685,0.130552872701396,0.174734754290753,0.259773509128891,578.20741587081,NA
"Palicourea_angustifolia",0.429360070862509,0.0344328049106057,0.0930680344498635,0.048995579664679,0.112269225932145,0.11869633518482,0.163006933271453,0.272407299132748,0.147994652752071,0.15462236424038,0.243886949922366,767.792537224739,NA
"Palicourea_antioquiana",0.368076366762421,0.0245070247870499,0.0659309513587461,0.0328630454662449,0.0775563173037996,0.0782341013085431,0.0427418419307823,0.187300283099319,0.0966964926513703,0.117258115185934,0.0698512471078076,625.635712164016,NA
"Palicourea_antisanana",0.348235520031377,0.0128222385824071,0.0327181451824119,0.0151932095995262,0.0441680431694172,0.0428572021414784,0.0873452682988173,0.0944074441135827,0.0853002163044885,0.0737470284169198,0.088090217858707,372.632763549568,NA
"Palicourea_apicata",0.426254432173431,0.0408079717506157,0.0934770664585223,0.0436403253763633,0.122279695847687,0.123590016311649,0.165633449351845,0.316653347315701,0.1193741772571,0.172797239591322,0.305308598987235,720.815734232312,NA
"Palicourea_aschersoniana",0.40954825365317,0.0416143850620738,0.0792753865636012,0.0498805863413241,0.0977619300537142,0.101159212564331,0.115910303915459,0.252940409271922,0.11307559874988,0.124741164346427,0.279015344254341,620.03155676928,NA
"Palicourea_atlantica",0.365350842469382,0.0521628384480387,0.0210915290908338,0.0387986711653259,0.0341821183238839,0.029900774715676,0.0899331756245385,0.144549064946823,0.195562811874913,0.0711290521235778,0.109600396108887,163.343388841002,NA
"Palicourea_azulina",0.411326149423011,0.0182341214890276,0.0383231679698266,0.0277443330293545,0.05756973554649,0.061198159599152,0.0872441063310544,0.174595829364598,0.0434326305115143,0.116429438472947,0.167074140245643,621.759450012017,NA
"Palicourea_bangii",0.415587812632661,0.0276791482864618,0.0562945747254303,0.0358321982230881,0.0825317899220629,0.100211095963551,0.0981586987118191,0.199283532106302,0.0645953965997082,0.128127821696045,0.186152568863605,659.60963955972,NA
"Palicourea_beachiana",0.413224119942261,0.0506926105742079,0.0282575355901802,0.048012924092106,0.0342600466150954,0.0326753220285466,0.0562504957883245,0.249089298469022,0.103204447270818,0.0487239279952055,0.0523414110987301,321.722819539539,NA
"Palicourea_bella",0.365350842469382,0.0195210740867042,0.0603652897073892,0.0183596214493425,0.0727244704438586,0.081320735383504,0.0333316735875663,0.177132770480175,0.0633163102481243,0.207048920487656,0.193369820441805,623.759180829842,NA
"Palicourea_berteroana",0.423892005252878,0.0663176098813782,0.0388695787508512,0.065622900181461,0.0511437088695172,0.0563844233361381,0.140381493231155,0.264489308158483,0.141762604698569,0.140048552673089,0.318898575307795,482.941267258622,NA
"Palicourea_boqueronensis",0.421435741794141,0.0222089503066286,0.0323592571775847,0.0220629397028971,0.0397101846332539,0.0387865722986036,0.0590023255074266,0.0883590420820656,0.0467924936227038,0.0569437335368155,0.0918514394564171,208.199331380402,NA
"Palicourea_boraginoides",0.370543494671557,0.0415602386342018,0.015273254852651,0.0437525342079291,0.0159407496814563,0.0166344839849139,0.0396744566968249,0.183695327692144,0.0630238994550535,0.148594645504516,0.0754113001874435,165.809568189613,NA
"Palicourea_botryocephala",0.345592999513945,0.0228586690853613,0.0179535760845949,0.0216495870880786,0.0172872630798609,0.0214149825746164,0.0229203529425535,0.108132957720617,0.029957045441129,0.0341788796913627,0.102020192503354,151.292252241267,NA
"Palicourea_brachiata",0.423741735245061,0.0583218240944207,0.0312123992615953,0.0510307363706542,0.0355996355151636,0.043760281086696,0.121621853575771,0.225439113835328,0.12092283434166,0.110610192697433,0.254848568009525,357.643615484506,NA
"Palicourea_brachypoda",0.418588808239717,0.0487158067844645,0.0219278272404349,0.0328254308508544,0.0303186448454941,0.0415919476822687,0.0925917378852342,0.149273780023012,0.166901824678628,0.102612343594909,0.135288250833677,248.440126909858,NA
"Palicourea_bracteocardia",0.423292645210659,0.060369765781416,0.0256580199741805,0.0578788305914882,0.0508309688457564,0.0407380157657494,0.139720877085027,0.317968932998158,0.121639758777199,0.149835172916723,0.259992687912135,235.703099378709,NA
"Palicourea_breedlovei",0.328255648094339,0.0637591131086866,0.061694185312421,0.0688850761345676,0.0596219800580847,0.0479122993826248,0.127875813361042,0.544151838031534,0.0933994732025028,0.137440309820825,0.541544187139408,401.605065690012,NA
"Palicourea_brevicollis",0.420875144824632,0.0427970638640495,0.0265667974069392,0.0487229060900251,0.0414323005175178,0.0419058439713898,0.066949174887982,0.340787017269734,0.256392508071153,0.0671761051921165,0.283483789386093,254.641228840334,NA
"Palicourea_caerulea",0.423787344769742,0.042821056594486,0.032933050533703,0.0716235575792496,0.0410347510252302,0.0473808209510851,0.162773672558483,0.222260451214615,0.15478732257107,0.187363116659557,0.28071107028008,443.224097401382,NA
"Palicourea_calidicola",0.418549909409132,0.0453686871789394,0.025230257633824,0.0408386495221267,0.0335074305868123,0.0355455635995377,0.0680666462775109,0.266493702578316,0.135450330579821,0.0554253417680485,0.0727985407761179,292.787631216507,NA
"Palicourea_callithrix",0.398277162796213,0.0395754645757466,0.00776634975515773,0.0472368996882899,0.00938368280968792,0.0152743592236836,0.0673343635671373,0.210028467682402,0.111909908827363,0.144991507176977,0.232299472173211,109.812587759235,NA
"Palicourea_calophylla",0.421507984770967,0.0425211594574139,0.00981080690239583,0.0461697467647151,0.0103049631464503,0.0139618100265309,0.0928325288809957,0.24306201528638,0.0877700742909563,0.0968124588279981,0.235042915557338,139.294236871207,NA
"Palicourea_calothyrsus",0.408838221253058,0.0330362968300676,0.0907429846991491,0.0311844803879054,0.138657776043313,0.159591005107094,0.177452331004505,0.477199417999677,0.192579348781775,0.181401578232889,0.487769378941356,763.571783044491,NA
"Palicourea_canarina",0.40711646756601,0.0260386937667214,0.0382572704691126,0.0270530031802959,0.0508120479018951,0.0519198040548428,0.131628451475248,0.155161906805122,0.106028565209888,0.132114268473217,0.228348860635797,413.286109224142,NA
"Palicourea_candida",0.378484750459332,0.0350000706409969,0.041804055727141,0.0411096900424663,0.0546484871184146,0.054722559435938,0.164612214752506,0.199315116957367,0.0677072303966563,0.133903551538133,0.285056042930971,428.972310196101,NA
"Palicourea_caprifoliacea",0.423680200179324,0.0493697625784292,0.0688748656205276,0.0644947598325547,0.084281433294554,0.0853189562401585,0.142920701131634,0.254011547779025,0.147733931221873,0.186609218825576,0.304474411581768,550.455714382423,NA
"Palicourea_cenepensis",0.401783795787494,0.0276233771347939,0.0345797124151376,0.0319744187604826,0.0414367463140814,0.0369632222784418,0.160535557381005,0.163133997591801,0.0888772127059805,0.134628883278499,0.211908417901251,368.650579274784,NA
"Palicourea_chignul",0.380104237565675,0.0232288358961099,0.0956687368923973,0.0287843165919421,0.149104772353404,0.141606950526756,0.173955517186563,0.308827859276278,0.127759887117031,0.205018814657058,0.181955536115995,859.18260005886,NA
"Palicourea_colorata",0.423741735245061,0.0534344643733935,0.0274282635377399,0.0670642527357895,0.0313430821355528,0.0417384553193271,0.0955969489225208,0.479666743892886,0.175884733744598,0.243003476332643,0.44330116560275,347.959418546322,NA
"Palicourea_conephoroides",0.42057264775473,0.0276673731819176,0.04645668188111,0.0454836334582727,0.0659000706613906,0.0780048933773641,0.154030296915013,0.31457421455499,0.192609561471946,0.162215811379164,0.275591765707325,621.524681026792,NA
