"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev"
"Palicourea_acanthacea",0,0.916725813578406,1.3792692486435,0.959756662085661,1.29562573067195,1.28584600279712,2.38738982633873,1.88081359228079,1.4996235937875,2.8555191556678,2.7664128471124,1370
"Palicourea_acanthacea",0.301029995663981,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",0.477121254719662,0.939448541869075,1.46299662571981,0.985920294735901,1.38679316690752,1.37402699103109,2.47275644931721,2.11058971029925,1.4518107175302,2.90902085421116,2.64836001098093,346
"Palicourea_acanthacea",0.602059991327962,0.929325263227139,1.47677367765397,0.982180726264185,1.40148670045959,1.39318022661446,2.50379068305718,2.12057393120585,1.44889320991039,2.93550726582471,2.6954816764902,161
"Palicourea_acanthacea",0.698970004336019,0.94511557921107,1.47199541248008,0.997692139926712,1.39358397198746,1.38490271697274,2.56110138364906,2.19312459835446,1.43916635922509,2.9795483747041,2.75966784468963,223
"Palicourea_acanthacea",0.778151250383644,0.945021105252682,1.46408697335374,1.00104106525813,1.38435043165347,1.37483691810584,2.54654266347813,2.19589965240923,1.42286316349661,2.95904139232109,2.75511226639507,338
"Palicourea_acanthacea",0.845098040014257,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",0.903089986991944,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",0.954242509439325,0.94511557921107,1.47199541248008,0.997692139926712,1.39358397198746,1.38490271697274,2.56110138364906,2.19312459835446,1.43916635922509,2.9795483747041,2.75966784468963,223
"Palicourea_acanthacea",1,0.929325263227139,1.47677367765397,0.982180726264185,1.40148670045959,1.39318022661446,2.50379068305718,2.12057393120585,1.44889320991039,2.93550726582471,2.6954816764902,161
"Palicourea_acanthacea",1.04139268515823,0.929325263227139,1.47677367765397,0.982180726264185,1.40148670045959,1.39318022661446,2.50379068305718,2.12057393120585,1.44889320991039,2.93550726582471,2.6954816764902,161
"Palicourea_acanthacea",1.07918124604762,0.919914479862557,1.38131368797846,0.957032343416036,1.29862023488848,1.29152423247718,2.3747483460101,1.83250891270624,1.48994721477763,2.83632411570675,2.78031731214015,1343
"Palicourea_acanthacea",1.11394335230684,0.927644045808327,1.42360626022701,0.968669652574888,1.34493235990231,1.33444033625972,2.44247976906445,1.96848294855394,1.45737354598503,2.87563993700417,2.71432975974523,833
"Palicourea_acanthacea",1.14612803567824,0.919914479862557,1.38131368797846,0.957032343416036,1.29862023488848,1.29152423247718,2.3747483460101,1.83250891270624,1.48994721477763,2.83632411570675,2.78031731214015,1343
"Palicourea_acanthacea",1.17609125905568,0.97966596725678,1.12323078118923,1.01949014779114,0.920410350618644,0.882135408919707,2.07188200730613,1.63346845557959,1.4652587626309,2.48995847942483,2.17897694729317,3561
"Palicourea_acanthacea",1.20411998265592,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.23044892137827,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.25527250510331,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.27875360095283,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.30102999566398,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.32221929473392,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.34242268082221,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.36172783601759,0.920992407864543,1.46658590663175,0.974465675094674,1.39427360230141,1.38119634449887,2.42975228000241,2.01283722470517,1.52604430401089,2.89097959698969,2.56702636615906,266
"Palicourea_acanthacea",1.38021124171161,0.912886007905974,1.48521020640528,0.964023879229699,1.41505130154594,1.4058385041227,2.51587384371168,1.9731278535997,1.58379494167626,2.96142109406645,2.6730209071289,40
"Palicourea_acanthacea",1.39794000867204,0.915562481613234,1.4355258551451,0.987934257737311,1.35710863891059,1.33803792151502,2.59879050676312,1.69019608002851,1.86737318273026,3.01072386539177,2.30749603791321,653
"Palicourea_acanthacea",1.41497334797082,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.43136376415899,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.44715803134222,0.918541438610337,1.44731311237238,0.975661529676665,1.37260520118481,1.3584361676631,2.42160392686983,1.92941892571429,1.64049039140914,2.8668778143375,2.46389298898591,504
"Palicourea_acanthacea",1.46239799789896,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.47712125471966,0.918689851425374,1.47304879505468,0.97451161894996,1.40183978507647,1.38781973812635,2.4456042032736,1.97772360528885,1.57011694079817,2.89597473235906,2.53402610605613,178
"Palicourea_acanthacea",1.49136169383427,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.50514997831991,0.929325263227139,1.47677367765397,0.982180726264185,1.40148670045959,1.39318022661446,2.50379068305718,2.12057393120585,1.44889320991039,2.93550726582471,2.6954816764902,161
"Palicourea_acanthacea",1.51851393987789,0.96693917231738,1.37162193984947,1.03027584646231,1.24629335484589,1.25577888446066,2.49554433754645,2.13033376849501,1.45198123286174,2.65224634100332,2.89652621748956,1640
"Palicourea_acanthacea",1.53147891704226,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.54406804435028,0.888207570144266,1.46667489693965,0.9702073538387,1.39748809039914,1.37860985161814,2.54530711646582,1.81291335664286,1.77649440163339,2.95616843047536,2.35218251811136,247
