Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
50	0	-46.94702	-49.82723	2.880206	0.02007839	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784
51	1	-47.70217	-50.39969	2.697513	0.02476926	0.0247693	0.0247693	0.0247693	0.0247693	0.0247693	0.0247693
52	0	-46.86558	-49.7784	2.912821	0.01924096	0.019241	0.019241	0.019241	0.019241	0.019241	0.019241
53	1	-46.80667	-49.88012	3.073455	0.01511648	0.0151165	0.0151165	0.0151165	0.0151165	0.0151165	0.0151165
54	0	-47.15816	-50.32907	3.170908	0.01261428	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143
55	1	-46.9012	-49.79879	2.897592	0.01963198	0.019632	0.019632	0.019632	0.019632	0.019632	0.019632
56	0	-47.56102	-50.78859	3.227572	0.01115936	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594
57	1	-46.90423	-49.8006	2.896376	0.01966322	0.0196632	0.0196632	0.0196632	0.0196632	0.0196632	0.0196632
58	0	-46.83699	-49.92518	3.088191	0.01473813	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381
59	1	-47.82507	-50.49978	2.674714	0.02535464	0.0253546	0.0253546	0.0253546	0.0253546	0.0253546	0.0253546
60	0	-47.09727	-50.25686	3.159588	0.01290494	0.0129049	0.0129049	0.0129049	0.0129049	0.0129049	0.0129049
61	1	-49.3081	-51.7532	2.445097	0.03125036	0.0312504	0.0312504	0.0312504	0.0312504	0.0312504	0.0312504
62	0	-46.81036	-49.88581	3.075454	0.01506518	0.0150652	0.0150652	0.0150652	0.0150652	0.0150652	0.0150652
63	1	-50.34579	-52.65428	2.308484	0.03475806	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581
64	0	-47.02613	-49.88006	2.853936	0.02075292	0.0207529	0.0207529	0.0207529	0.0207529	0.0207529	0.0207529
65	1	-50.34579	-52.65428	2.308484	0.03475806	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581
66	0	-46.78764	-49.8494	3.06176	0.01541677	0.0154168	0.0154168	0.0154168	0.0154168	0.0154168	0.0154168
67	1	-50.34579	-52.65428	2.308484	0.03475806	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581
68	0	-46.76552	-49.80807	3.042549	0.01591005	0.01591	0.01591	0.01591	0.01591	0.01591	0.01591
69	1	-50.34579	-52.65428	2.308484	0.03475806	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581
70	0	-46.75369	-49.7538	3.000113	0.01699965	0.0169997	0.0169997	0.0169997	0.0169997	0.0169997	0.0169997
71	1	-50.34579	-52.65428	2.308484	0.03475806	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581	0.0347581
72	0	-46.75295	-49.77186	3.018911	0.01651699	0.016517	0.016517	0.016517	0.016517	0.016517	0.016517
