Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
3329	1	-47.05093	-49.89733	2.846392	0.02094662	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466
3330	0	-46.75222	-49.76075	3.00853	0.01678353	0.0167835	0.0167835	0.0167835	0.0167835	0.0167835	0.0167835
3331	1	-47.05093	-49.89733	2.846392	0.02094662	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466
3332	0	-46.75222	-49.76075	3.00853	0.01678353	0.0167835	0.0167835	0.0167835	0.0167835	0.0167835	0.0167835
3333	1	-47.05093	-49.89733	2.846392	0.02094662	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466
3334	0	-47.30494	-50.08515	2.780208	0.02264596	0.022646	0.022646	0.022646	0.022646	0.022646	0.022646
3335	1	-47.05093	-49.89733	2.846392	0.02094662	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466
3336	0	-47.30494	-50.08515	2.780208	0.02264596	0.022646	0.022646	0.022646	0.022646	0.022646	0.022646
3337	1	-46.75841	-49.79115	3.03274	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619
3338	0	-47.01846	-50.16145	3.142996	0.01333093	0.0133309	0.0133309	0.0133309	0.0133309	0.0133309	0.0133309
3339	1	-46.75841	-49.79115	3.03274	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619
3340	0	-46.95342	-49.83135	2.877929	0.02013686	0.0201369	0.0201369	0.0201369	0.0201369	0.0201369	0.0201369
3341	1	-46.75841	-49.79115	3.03274	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619
3342	0	-48.54381	-51.09959	2.555781	0.02840841	0.0284084	0.0284084	0.0284084	0.0284084	0.0284084	0.0284084
3343	1	-46.75841	-49.79115	3.03274	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619	0.0161619
3344	0	-48.54381	-51.09959	2.555781	0.02840841	0.0284084	0.0284084	0.0284084	0.0284084	0.0284084	0.0284084
3345	1	-46.96441	-49.8385	2.874087	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355
3346	0	-46.83473	-49.92194	3.087207	0.01476339	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634
3347	1	-46.96441	-49.8385	2.874087	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355
3348	0	-46.83473	-49.92194	3.087207	0.01476339	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634
3349	1	-46.96441	-49.8385	2.874087	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355
3350	0	-46.83473	-49.92194	3.087207	0.01476339	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634	0.0147634
3351	1	-46.96441	-49.8385	2.874087	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355	0.0202355
3352	0	-47.42424	-50.17776	2.753521	0.02333119	0.0233312	0.0233312	0.0233312	0.0233312	0.0233312	0.0233312
3353	1	-46.75787	-49.74773	2.989862	0.01726285	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629
3354	0	-47.43821	-50.18873	2.750519	0.02340826	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083
3355	1	-46.75787	-49.74773	2.989862	0.01726285	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629
3356	0	-47.94709	-50.60007	2.652973	0.02591289	0.0259129	0.0259129	0.0259129	0.0259129	0.0259129	0.0259129
3357	1	-46.75787	-49.74773	2.989862	0.01726285	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629	0.0172629
3358	0	-47.94709	-50.60007	2.652973	0.02591289	0.0259129	0.0259129	0.0259129	0.0259129	0.0259129	0.0259129
3359	1	-47.05098	-49.89736	2.846378	0.02094697	0.020947	0.020947	0.020947	0.020947	0.020947	0.020947
3360	0	-47.07168	-49.91196	2.840283	0.02110348	0.0211035	0.0211035	0.0211035	0.0211035	0.0211035	0.0211035
3361	1	-46.95451	-49.83205	2.877543	0.02014676	0.0201468	0.0201468	0.0201468	0.0201468	0.0201468	0.0201468
3362	0	-46.82889	-49.91348	3.084584	0.01483074	0.0148307	0.0148307	0.0148307	0.0148307	0.0148307	0.0148307
3363	1	-46.96269	-49.83737	2.874684	0.02022019	0.0202202	0.0202202	0.0202202	0.0202202	0.0202202	0.0202202
3364	0	-47.29705	-50.0791	2.78205	0.02259867	0.0225987	0.0225987	0.0225987	0.0225987	0.0225987	0.0225987
3365	1	-46.80155	-49.74891	2.947361	0.0183541	0.0183541	0.0183541	0.0183541	0.0183541	0.0183541	0.0183541
3366	0	-46.79041	-49.85405	3.063641	0.01536849	0.0153685	0.0153685	0.0153685	0.0153685	0.0153685	0.0153685
3367	1	-47.06221	-49.90526	2.843049	0.02103246	0.0210325	0.0210325	0.0210325	0.0210325	0.0210325	0.0210325
3368	0	-47.40197	-50.60996	3.207991	0.01166211	0.0116621	0.0116621	0.0116621	0.0116621	0.0116621	0.0116621
3369	1	-46.84677	-49.76851	2.921736	0.01901207	0.0190121	0.0190121	0.0190121	0.0190121	0.0190121	0.0190121
3370	0	-47.40197	-50.60996	3.207991	0.01166211	0.0116621	0.0116621	0.0116621	0.0116621	0.0116621	0.0116621
3371	1	-46.84677	-49.76851	2.921736	0.01901207	0.0190121	0.0190121	0.0190121	0.0190121	0.0190121	0.0190121
3372	0	-46.94346	-49.82495	2.881486	0.02004552	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455
3373	1	-47.00966	-50.15063	3.140973	0.01338289	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829
3374	0	-46.94346	-49.82495	2.881486	0.02004552	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455
3375	1	-47.00966	-50.15063	3.140973	0.01338289	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829
3376	0	-46.94346	-49.82495	2.881486	0.02004552	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455
3377	1	-47.00966	-50.15063	3.140973	0.01338289	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829	0.0133829
3378	0	-46.94346	-49.82495	2.881486	0.02004552	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455	0.0200455
3379	1	-46.81597	-49.89433	3.078365	0.01499042	0.0149904	0.0149904	0.0149904	0.0149904	0.0149904	0.0149904
3380	0	-47.28543	-50.07021	2.784779	0.02252861	0.0225286	0.0225286	0.0225286	0.0225286	0.0225286	0.0225286
3381	1	-47.46485	-50.68091	3.216067	0.01145477	0.0114548	0.0114548	0.0114548	0.0114548	0.0114548	0.0114548
3382	0	-47.28543	-50.07021	2.784779	0.02252861	0.0225286	0.0225286	0.0225286	0.0225286	0.0225286	0.0225286
3383	1	-47.46485	-50.68091	3.216067	0.01145477	0.0114548	0.0114548	0.0114548	0.0114548	0.0114548	0.0114548
3384	0	-47.19738	-50.37504	3.177662	0.01244086	0.0124409	0.0124409	0.0124409	0.0124409	0.0124409	0.0124409
3385	1	-47.82661	-50.50105	2.674434	0.02536184	0.0253618	0.0253618	0.0253618	0.0253618	0.0253618	0.0253618
3386	0	-47.78828	-51.03985	3.251567	0.01054326	0.0105433	0.0105433	0.0105433	0.0105433	0.0105433	0.0105433
3387	1	-47.02243	-49.87751	2.855085	0.02072341	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234
3388	0	-46.88643	-49.9934	3.106966	0.01425606	0.0142561	0.0142561	0.0142561	0.0142561	0.0142561	0.0142561
3389	1	-47.02243	-49.87751	2.855085	0.02072341	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234
3390	0	-47.24482	-50.03933	2.794509	0.02227878	0.0222788	0.0222788	0.0222788	0.0222788	0.0222788	0.0222788
3391	1	-47.02243	-49.87751	2.855085	0.02072341	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234	0.0207234
3392	0	-46.80288	-49.74936	2.946482	0.01837668	0.0183767	0.0183767	0.0183767	0.0183767	0.0183767	0.0183767
3393	1	-46.92923	-49.81595	2.886717	0.01991121	0.0199112	0.0199112	0.0199112	0.0199112	0.0199112	0.0199112
3394	0	-47.38982	-50.59619	3.206374	0.01170365	0.0117036	0.0117036	0.0117036	0.0117036	0.0117036	0.0117036
3395	1	-48.89392	-51.39756	2.503641	0.02974715	0.0297472	0.0297472	0.0297472	0.0297472	0.0297472	0.0297472
3396	0	-47.77004	-50.45484	2.6848	0.02509567	0.0250957	0.0250957	0.0250957	0.0250957	0.0250957	0.0250957
3397	1	-47.02993	-50.17551	3.145578	0.01326466	0.0132647	0.0132647	0.0132647	0.0132647	0.0132647	0.0132647
3398	0	-46.9279	-49.81512	2.887216	0.01989842	0.0198984	0.0198984	0.0198984	0.0198984	0.0198984	0.0198984
3399	1	-47.02993	-50.17551	3.145578	0.01326466	0.0132647	0.0132647	0.0132647	0.0132647	0.0132647	0.0132647
3400	0	-46.85179	-49.77108	2.919283	0.01907504	0.019075	0.019075	0.019075	0.019075	0.019075	0.019075
3401	1	-47.06277	-50.2154	3.152633	0.0130835	0.0130835	0.0130835	0.0130835	0.0130835	0.0130835	0.0130835
3402	0	-47.59214	-50.82324	3.231102	0.01106872	0.0110687	0.0110687	0.0110687	0.0110687	0.0110687	0.0110687
3403	1	-46.76624	-49.80961	3.04337	0.01588896	0.015889	0.015889	0.015889	0.015889	0.015889	0.015889
3404	0	-46.75257	-49.7579	3.005335	0.01686555	0.0168656	0.0168656	0.0168656	0.0168656	0.0168656	0.0168656
3405	1	-46.7715	-49.82029	3.048793	0.01574971	0.0157497	0.0157497	0.0157497	0.0157497	0.0157497	0.0157497
3406	0	-46.81642	-49.89502	3.078594	0.01498454	0.0149845	0.0149845	0.0149845	0.0149845	0.0149845	0.0149845
3407	1	-46.87328	-49.97569	3.10241	0.01437303	0.014373	0.014373	0.014373	0.014373	0.014373	0.014373
3408	0	-47.60721	-50.32307	2.715866	0.02429802	0.024298	0.024298	0.024298	0.024298	0.024298	0.024298
3409	1	-46.87328	-49.97569	3.10241	0.01437303	0.014373	0.014373	0.014373	0.014373	0.014373	0.014373
3410	0	-46.869	-49.96986	3.100868	0.01441264	0.0144126	0.0144126	0.0144126	0.0144126	0.0144126	0.0144126
3411	1	-46.87328	-49.97569	3.10241	0.01437303	0.014373	0.014373	0.014373	0.014373	0.014373	0.014373
3412	0	-46.78195	-49.74391	2.961967	0.01797908	0.0179791	0.0179791	0.0179791	0.0179791	0.0179791	0.0179791
3413	1	-46.87328	-49.97569	3.10241	0.01437303	0.014373	0.014373	0.014373	0.014373	0.014373	0.014373
3414	0	-48.92259	-52.25746	3.33487	0.008404349	0.00840435	0.00840435	0.00840435	0.00840435	0.00840435	0.00840435
3415	1	-47.50505	-50.72604	3.220991	0.01132832	0.0113283	0.0113283	0.0113283	0.0113283	0.0113283	0.0113283
3416	0	-46.81863	-49.89833	3.079699	0.01495619	0.0149562	0.0149562	0.0149562	0.0149562	0.0149562	0.0149562
3417	1	-47.50505	-50.72604	3.220991	0.01132832	0.0113283	0.0113283	0.0113283	0.0113283	0.0113283	0.0113283
3418	0	-47.42752	-50.18033	2.752813	0.02334935	0.0233494	0.0233494	0.0233494	0.0233494	0.0233494	0.0233494
3419	1	-48.00988	-50.65197	2.642086	0.02619241	0.0261924	0.0261924	0.0261924	0.0261924	0.0261924	0.0261924
3420	0	-47.67227	-50.37549	2.703216	0.02462282	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228
3421	1	-46.81733	-49.89638	3.079051	0.0149728	0.0149728	0.0149728	0.0149728	0.0149728	0.0149728	0.0149728
3422	0	-47.63944	-50.87575	3.236307	0.01093506	0.0109351	0.0109351	0.0109351	0.0109351	0.0109351	0.0109351
3423	1	-47.78117	-51.03204	3.250872	0.01056109	0.0105611	0.0105611	0.0105611	0.0105611	0.0105611	0.0105611
3424	0	-46.7883	-49.74514	2.956841	0.01811069	0.0181107	0.0181107	0.0181107	0.0181107	0.0181107	0.0181107
3425	1	-47.5044	-50.72531	3.220913	0.01133033	0.0113303	0.0113303	0.0113303	0.0113303	0.0113303	0.0113303
3426	0	-47.74191	-50.43194	2.690032	0.02496135	0.0249613	0.0249613	0.0249613	0.0249613	0.0249613	0.0249613
3427	1	-47.09014	-50.24832	3.158185	0.01294096	0.012941	0.012941	0.012941	0.012941	0.012941	0.012941
3428	0	-46.76231	-49.80088	3.038571	0.01601218	0.0160122	0.0160122	0.0160122	0.0160122	0.0160122	0.0160122
3429	1	-47.09014	-50.24832	3.158185	0.01294096	0.012941	0.012941	0.012941	0.012941	0.012941	0.012941
3430	0	-47.09277	-50.25148	3.158704	0.01292762	0.0129276	0.0129276	0.0129276	0.0129276	0.0129276	0.0129276
3431	1	-49.04967	-51.53095	2.481277	0.03032139	0.0303214	0.0303214	0.0303214	0.0303214	0.0303214	0.0303214
3432	0	-47.54367	-50.27224	2.728565	0.02397196	0.023972	0.023972	0.023972	0.023972	0.023972	0.023972
3433	1	-48.04252	-50.67902	2.6365	0.02633583	0.0263358	0.0263358	0.0263358	0.0263358	0.0263358	0.0263358
3434	0	-47.54367	-50.27224	2.728565	0.02397196	0.023972	0.023972	0.023972	0.023972	0.023972	0.023972
3435	1	-47.20822	-50.01177	2.803557	0.02204646	0.0220465	0.0220465	0.0220465	0.0220465	0.0220465	0.0220465
3436	0	-47.54367	-50.27224	2.728565	0.02397196	0.023972	0.023972	0.023972	0.023972	0.023972	0.023972
3437	1	-46.92851	-50.04856	3.120053	0.01392003	0.01392	0.01392	0.01392	0.01392	0.01392	0.01392
3438	0	-47.51937	-50.25289	2.733521	0.02384471	0.0238447	0.0238447	0.0238447	0.0238447	0.0238447	0.0238447
3439	1	-47.17733	-50.35159	3.174257	0.01252829	0.0125283	0.0125283	0.0125283	0.0125283	0.0125283	0.0125283
3440	0	-47.51937	-50.25289	2.733521	0.02384471	0.0238447	0.0238447	0.0238447	0.0238447	0.0238447	0.0238447
3441	1	-47.57435	-50.29674	2.722388	0.02413057	0.0241306	0.0241306	0.0241306	0.0241306	0.0241306	0.0241306
3442	0	-46.82932	-49.76008	2.930764	0.01878026	0.0187803	0.0187803	0.0187803	0.0187803	0.0187803	0.0187803
3443	1	-46.75801	-49.79007	3.032059	0.0161794	0.0161794	0.0161794	0.0161794	0.0161794	0.0161794	0.0161794
3444	0	-46.75515	-49.7509	2.995745	0.01711178	0.0171118	0.0171118	0.0171118	0.0171118	0.0171118	0.0171118
3445	1	-47.0573	-49.9018	2.844499	0.02099523	0.0209952	0.0209952	0.0209952	0.0209952	0.0209952	0.0209952
3446	0	-46.75515	-49.7509	2.995745	0.01711178	0.0171118	0.0171118	0.0171118	0.0171118	0.0171118	0.0171118
3447	1	-46.90653	-50.02	3.113469	0.01408909	0.0140891	0.0140891	0.0140891	0.0140891	0.0140891	0.0140891
3448	0	-46.76973	-49.74331	2.973579	0.01768093	0.0176809	0.0176809	0.0176809	0.0176809	0.0176809	0.0176809
3449	1	-47.18786	-49.99657	2.808715	0.02191402	0.021914	0.021914	0.021914	0.021914	0.021914	0.021914
3450	0	-46.76973	-49.74331	2.973579	0.01768093	0.0176809	0.0176809	0.0176809	0.0176809	0.0176809	0.0176809
3451	1	-47.18786	-49.99657	2.808715	0.02191402	0.021914	0.021914	0.021914	0.021914	0.021914	0.021914
3452	0	-47.99566	-50.6402	2.644535	0.02612953	0.0261295	0.0261295	0.0261295	0.0261295	0.0261295	0.0261295
3453	1	-46.98508	-49.85217	2.86709	0.02041515	0.0204152	0.0204152	0.0204152	0.0204152	0.0204152	0.0204152
3454	0	-46.90214	-50.01423	3.11209	0.0141245	0.0141245	0.0141245	0.0141245	0.0141245	0.0141245	0.0141245
3455	1	-48.19796	-50.80849	2.610522	0.02700285	0.0270028	0.0270028	0.0270028	0.0270028	0.0270028	0.0270028
3456	0	-47.71877	-50.41314	2.694375	0.02484983	0.0248498	0.0248498	0.0248498	0.0248498	0.0248498	0.0248498
3457	1	-46.78324	-49.74412	2.960888	0.01800678	0.0180068	0.0180068	0.0180068	0.0180068	0.0180068	0.0180068
3458	0	-48.05794	-50.69182	2.633879	0.02640315	0.0264031	0.0264031	0.0264031	0.0264031	0.0264031	0.0264031
3459	1	-46.78324	-49.74412	2.960888	0.01800678	0.0180068	0.0180068	0.0180068	0.0180068	0.0180068	0.0180068
3460	0	-48.98654	-51.47682	2.490288	0.03009002	0.03009	0.03009	0.03009	0.03009	0.03009	0.03009
3461	1	-47.02052	-49.8762	2.855682	0.02070809	0.0207081	0.0207081	0.0207081	0.0207081	0.0207081	0.0207081
3462	0	-48.29925	-51.59387	3.294616	0.009437923	0.00943792	0.00943792	0.00943792	0.00943792	0.00943792	0.00943792
3463	1	-46.98442	-50.11936	3.134937	0.01353788	0.0135379	0.0135379	0.0135379	0.0135379	0.0135379	0.0135379
3464	0	-47.73824	-50.42895	2.690719	0.0249437	0.0249437	0.0249437	0.0249437	0.0249437	0.0249437	0.0249437
3465	1	-46.7897	-49.74547	2.955769	0.01813822	0.0181382	0.0181382	0.0181382	0.0181382	0.0181382	0.0181382
3466	0	-47.17451	-50.34828	3.173769	0.01254081	0.0125408	0.0125408	0.0125408	0.0125408	0.0125408	0.0125408
3467	1	-47.92174	-50.57917	2.657423	0.02579861	0.0257986	0.0257986	0.0257986	0.0257986	0.0257986	0.0257986
3468	0	-47.17451	-50.34828	3.173769	0.01254081	0.0125408	0.0125408	0.0125408	0.0125408	0.0125408	0.0125408
3469	1	-47.11446	-50.27736	3.162897	0.01281997	0.01282	0.01282	0.01282	0.01282	0.01282	0.01282
3470	0	-47.41491	-50.62461	3.209693	0.01161842	0.0116184	0.0116184	0.0116184	0.0116184	0.0116184	0.0116184
3471	1	-46.77335	-49.74317	2.969818	0.01777749	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775
3472	0	-46.94596	-49.82654	2.880589	0.02006857	0.0200686	0.0200686	0.0200686	0.0200686	0.0200686	0.0200686
3473	1	-46.77335	-49.74317	2.969818	0.01777749	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775
3474	0	-46.94596	-49.82654	2.880589	0.02006857	0.0200686	0.0200686	0.0200686	0.0200686	0.0200686	0.0200686
3475	1	-46.77335	-49.74317	2.969818	0.01777749	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775	0.0177775
3476	0	-46.76752	-49.81229	3.044773	0.01585295	0.0158529	0.0158529	0.0158529	0.0158529	0.0158529	0.0158529
3477	1	-46.89282	-49.79383	2.901013	0.01954416	0.0195442	0.0195442	0.0195442	0.0195442	0.0195442	0.0195442
3478	0	-47.24082	-50.0363	2.795485	0.02225371	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537
3479	1	-46.89282	-49.79383	2.901013	0.01954416	0.0195442	0.0195442	0.0195442	0.0195442	0.0195442	0.0195442
3480	0	-47.24082	-50.0363	2.795485	0.02225371	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537
3481	1	-46.96698	-49.84018	2.873201	0.02025826	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583
3482	0	-47.24082	-50.0363	2.795485	0.02225371	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537	0.0222537
3483	1	-46.96698	-49.84018	2.873201	0.02025826	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583
3484	0	-46.826	-49.75858	2.932585	0.0187335	0.0187335	0.0187335	0.0187335	0.0187335	0.0187335	0.0187335
3485	1	-46.96698	-49.84018	2.873201	0.02025826	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583	0.0202583
3486	0	-46.82816	-49.91241	3.084249	0.01483935	0.0148393	0.0148393	0.0148393	0.0148393	0.0148393	0.0148393
3487	1	-46.91912	-49.80967	2.890545	0.01981294	0.0198129	0.0198129	0.0198129	0.0198129	0.0198129	0.0198129
3488	0	-48.22159	-51.51039	3.288798	0.009587302	0.0095873	0.0095873	0.0095873	0.0095873	0.0095873	0.0095873
3489	1	-46.75527	-49.7817	3.026435	0.0163238	0.0163238	0.0163238	0.0163238	0.0163238	0.0163238	0.0163238
3490	0	-48.22159	-51.51039	3.288798	0.009587302	0.0095873	0.0095873	0.0095873	0.0095873	0.0095873	0.0095873
3491	1	-46.88812	-49.99565	3.107531	0.01424155	0.0142416	0.0142416	0.0142416	0.0142416	0.0142416	0.0142416
3492	0	-46.98458	-50.11956	3.134976	0.01353687	0.0135369	0.0135369	0.0135369	0.0135369	0.0135369	0.0135369
3493	1	-46.88812	-49.99565	3.107531	0.01424155	0.0142416	0.0142416	0.0142416	0.0142416	0.0142416	0.0142416
3494	0	-48.637	-51.17862	2.541621	0.02877197	0.028772	0.028772	0.028772	0.028772	0.028772	0.028772
3495	1	-46.79328	-49.74639	2.953113	0.01820643	0.0182064	0.0182064	0.0182064	0.0182064	0.0182064	0.0182064
3496	0	-48.22928	-50.83469	2.605403	0.0271343	0.0271343	0.0271343	0.0271343	0.0271343	0.0271343	0.0271343
3497	1	-51.42999	-53.60544	2.175442	0.03817407	0.0381741	0.0381741	0.0381741	0.0381741	0.0381741	0.0381741
3498	0	-47.26169	-50.05212	2.790431	0.02238348	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835
3499	1	-46.7553	-49.75067	2.995371	0.01712141	0.0171214	0.0171214	0.0171214	0.0171214	0.0171214	0.0171214
3500	0	-47.26169	-50.05212	2.790431	0.02238348	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835
3501	1	-46.7553	-49.75067	2.995371	0.01712141	0.0171214	0.0171214	0.0171214	0.0171214	0.0171214	0.0171214
3502	0	-47.26169	-50.05212	2.790431	0.02238348	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835
3503	1	-46.85917	-49.95638	3.097207	0.01450662	0.0145066	0.0145066	0.0145066	0.0145066	0.0145066	0.0145066
3504	0	-47.26169	-50.05212	2.790431	0.02238348	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835
3505	1	-46.91541	-50.03159	3.116188	0.01401928	0.0140193	0.0140193	0.0140193	0.0140193	0.0140193	0.0140193
3506	0	-47.26169	-50.05212	2.790431	0.02238348	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835	0.0223835
3507	1	-48.72351	-51.25218	2.528669	0.02910454	0.0291045	0.0291045	0.0291045	0.0291045	0.0291045	0.0291045
3508	0	-47.76467	-50.45047	2.685795	0.02507012	0.0250701	0.0250701	0.0250701	0.0250701	0.0250701	0.0250701
3509	1	-48.72351	-51.25218	2.528669	0.02910454	0.0291045	0.0291045	0.0291045	0.0291045	0.0291045	0.0291045
3510	0	-47.96648	-50.61607	2.64959	0.02599974	0.0259997	0.0259997	0.0259997	0.0259997	0.0259997	0.0259997
3511	1	-46.8214	-49.75657	2.935165	0.01866727	0.0186673	0.0186673	0.0186673	0.0186673	0.0186673	0.0186673
3512	0	-49.99089	-52.34481	2.35392	0.03359143	0.0335914	0.0335914	0.0335914	0.0335914	0.0335914	0.0335914
3513	1	-46.8214	-49.75657	2.935165	0.01866727	0.0186673	0.0186673	0.0186673	0.0186673	0.0186673	0.0186673
3514	0	-47.31233	-50.09082	2.778495	0.02268995	0.0226899	0.0226899	0.0226899	0.0226899	0.0226899	0.0226899
3515	1	-47.69072	-50.39041	2.699691	0.02471335	0.0247133	0.0247133	0.0247133	0.0247133	0.0247133	0.0247133
3516	0	-46.88137	-49.78721	2.905839	0.01942025	0.0194203	0.0194203	0.0194203	0.0194203	0.0194203	0.0194203
3517	1	-47.69072	-50.39041	2.699691	0.02471335	0.0247133	0.0247133	0.0247133	0.0247133	0.0247133	0.0247133
3518	0	-46.88137	-49.78721	2.905839	0.01942025	0.0194203	0.0194203	0.0194203	0.0194203	0.0194203	0.0194203
3519	1	-47.48519	-50.22578	2.740593	0.02366312	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631
3520	0	-48.03135	-51.30491	3.273554	0.009978723	0.00997872	0.00997872	0.00997872	0.00997872	0.00997872	0.00997872
3521	1	-47.48519	-50.22578	2.740593	0.02366312	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631
3522	0	-46.82369	-49.75756	2.933874	0.01870041	0.0187004	0.0187004	0.0187004	0.0187004	0.0187004	0.0187004
3523	1	-47.48519	-50.22578	2.740593	0.02366312	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631	0.0236631
3524	0	-46.82369	-49.75756	2.933874	0.01870041	0.0187004	0.0187004	0.0187004	0.0187004	0.0187004	0.0187004
3525	1	-47.58182	-50.30272	2.720897	0.02416884	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688
3526	0	-46.98513	-49.8522	2.867072	0.02041563	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156
3527	1	-47.40326	-50.16133	2.758072	0.02321433	0.0232143	0.0232143	0.0232143	0.0232143	0.0232143	0.0232143
3528	0	-46.98513	-49.8522	2.867072	0.02041563	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156
3529	1	-47.17647	-49.98811	2.811642	0.02183885	0.0218389	0.0218389	0.0218389	0.0218389	0.0218389	0.0218389
3530	0	-46.98513	-49.8522	2.867072	0.02041563	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156	0.0204156
3531	1	-47.23797	-50.03415	2.796181	0.02223583	0.0222358	0.0222358	0.0222358	0.0222358	0.0222358	0.0222358
3532	0	-46.9584	-50.0867	3.1283	0.01370828	0.0137083	0.0137083	0.0137083	0.0137083	0.0137083	0.0137083
3533	1	-47.23797	-50.03415	2.796181	0.02223583	0.0222358	0.0222358	0.0222358	0.0222358	0.0222358	0.0222358
3534	0	-46.9584	-50.0867	3.1283	0.01370828	0.0137083	0.0137083	0.0137083	0.0137083	0.0137083	0.0137083
3535	1	-48.37596	-50.95784	2.58188	0.02773826	0.0277383	0.0277383	0.0277383	0.0277383	0.0277383	0.0277383
3536	0	-47.39187	-50.59852	3.206648	0.01169661	0.0116966	0.0116966	0.0116966	0.0116966	0.0116966	0.0116966
3537	1	-47.19606	-50.00268	2.806626	0.02196765	0.0219677	0.0219677	0.0219677	0.0219677	0.0219677	0.0219677
3538	0	-46.75456	-49.75191	2.997353	0.0170705	0.0170705	0.0170705	0.0170705	0.0170705	0.0170705	0.0170705
3539	1	-47.06051	-50.21268	3.152163	0.01309556	0.0130956	0.0130956	0.0130956	0.0130956	0.0130956	0.0130956
3540	0	-46.85535	-49.95109	3.095734	0.01454447	0.0145445	0.0145445	0.0145445	0.0145445	0.0145445	0.0145445
3541	1	-47.63412	-50.86985	3.235731	0.01094987	0.0109499	0.0109499	0.0109499	0.0109499	0.0109499	0.0109499
3542	0	-47.82036	-51.07502	3.254659	0.01046386	0.0104639	0.0104639	0.0104639	0.0104639	0.0104639	0.0104639
3543	1	-47.32058	-50.09717	2.776591	0.02273885	0.0227388	0.0227388	0.0227388	0.0227388	0.0227388	0.0227388
3544	0	-48.2081	-50.81696	2.608862	0.02704548	0.0270455	0.0270455	0.0270455	0.0270455	0.0270455	0.0270455
3545	1	-47.32058	-50.09717	2.776591	0.02273885	0.0227388	0.0227388	0.0227388	0.0227388	0.0227388	0.0227388
3546	0	-49.23704	-51.69198	2.454939	0.03099765	0.0309977	0.0309977	0.0309977	0.0309977	0.0309977	0.0309977
3547	1	-49.33705	-51.77816	2.441109	0.03135273	0.0313527	0.0313527	0.0313527	0.0313527	0.0313527	0.0313527
