Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
52	-46.88097	-49.78698	2.90601	0.01941585	0.0194159	0.0194159	0.0194159	0.0194159	0.0194159	0.0194159
53	-46.83849	-49.92733	3.088841	0.01472144	0.0147214	0.0147214	0.0147214	0.0147214	0.0147214	0.0147214
54	-48.46534	-51.03323	2.567881	0.02809772	0.0280977	0.0280977	0.0280977	0.0280977	0.0280977	0.0280977
55	-48.47765	-51.04362	2.565972	0.02814673	0.0281467	0.0281467	0.0281467	0.0281467	0.0281467	0.0281467
56	-46.83516	-49.76281	2.927649	0.01886023	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602
57	-47.17433	-49.98652	2.812197	0.02182461	0.0218246	0.0218246	0.0218246	0.0218246	0.0218246	0.0218246
58	-47.67347	-50.37645	2.702987	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287
59	-46.8043	-49.74985	2.945552	0.01840057	0.0184006	0.0184006	0.0184006	0.0184006	0.0184006	0.0184006
60	-47.02018	-50.16357	3.143389	0.01332085	0.0133209	0.0133209	0.0133209	0.0133209	0.0133209	0.0133209
61	-47.39892	-50.60651	3.207587	0.01167249	0.0116725	0.0116725	0.0116725	0.0116725	0.0116725	0.0116725
62	-47.29137	-50.48386	3.192487	0.01206021	0.0120602	0.0120602	0.0120602	0.0120602	0.0120602	0.0120602
63	-46.76388	-49.80448	3.040595	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602
64	-46.91403	-49.80654	2.892511	0.01976246	0.0197625	0.0197625	0.0197625	0.0197625	0.0197625	0.0197625
65	-46.76734	-49.81193	3.044583	0.01585781	0.0158578	0.0158578	0.0158578	0.0158578	0.0158578	0.0158578
66	-47.07049	-49.91112	2.840629	0.02109458	0.0210946	0.0210946	0.0210946	0.0210946	0.0210946	0.0210946
67	-47.47638	-50.21881	2.742436	0.02361581	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158
68	-47.47638	-50.21881	2.742436	0.02361581	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158
69	-46.80026	-49.87006	3.069804	0.01521024	0.0152102	0.0152102	0.0152102	0.0152102	0.0152102	0.0152102
70	-46.76522	-49.80743	3.042203	0.01591894	0.0159189	0.0159189	0.0159189	0.0159189	0.0159189	0.0159189
71	-46.75258	-49.76944	3.016867	0.01656947	0.0165695	0.0165695	0.0165695	0.0165695	0.0165695	0.0165695
72	-46.7892	-49.74535	2.956152	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284
73	-46.99683	-49.86006	2.863231	0.02051425	0.0205143	0.0205143	0.0205143	0.0205143	0.0205143	0.0205143
74	-47.12186	-49.94801	2.826152	0.02146629	0.0214663	0.0214663	0.0214663	0.0214663	0.0214663	0.0214663
75	-46.97046	-49.84247	2.872009	0.02028887	0.0202889	0.0202889	0.0202889	0.0202889	0.0202889	0.0202889
76	-47.28292	-50.06829	2.785372	0.02251337	0.0225134	0.0225134	0.0225134	0.0225134	0.0225134	0.0225134
77	-47.32217	-50.0984	2.776225	0.02274824	0.0227482	0.0227482	0.0227482	0.0227482	0.0227482	0.0227482
78	-46.75902	-49.79278	3.033763	0.01613564	0.0161356	0.0161356	0.0161356	0.0161356	0.0161356	0.0161356
79	-49.10434	-52.44925	3.344916	0.008146404	0.0081464	0.0081464	0.0081464	0.0081464	0.0081464	0.0081464
