Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
26	0	-131.4364	-172.0605	40.62412	0.004102832	0.01149917	0.01142181	0.001203254	0.01481668	0.01044202	0.02979205	0.01850348	0.0235449	0.01227965	0.00354827	0.02203432	0.0578832	0.232955	0.695383	0.0137792
27	1	-132.8765	-165.288	32.41145	0.0005059257	0.02551431	0.01633359	0.007576585	0.01241245	0.003735814	0.04601372	0.01509415	0.02706714	0.00460524	0.01904287	0.06542417	0.0817358	0.00422235	0.876985	0.0370567
28	0	-133.4579	-171.8144	38.35654	0.003131627	0.007442336	0.02131461	0.0009515189	0.01481668	0.01044202	0.03432925	0.01666467	0.02428086	0.01081179	0.006096576	0.0350331	0.137342	0.552743	0.276352	0.0335637
29	1	-130.6487	-165.7968	35.14808	0.0003530593	0.02551431	0.01258555	0.01231747	0.01241245	0.003330931	0.03428931	0.01509415	0.02693783	0.006574066	0.03122583	0.03598751	0.0580764	0.00300014	0.623131	0.315792
30	0	-130.9582	-169.5755	38.61735	0.002991002	0.009142455	0.01317138	0.0007675159	0.01480535	0.00403917	0.03432925	0.02384081	0.01798207	0.007782299	0.008508626	0.04541014	0.144008	0.579569	0.24123	0.0351927
31	1	-132.297	-165.277	32.98002	0.000354436	0.02551431	0.0154128	0.02149653	0.01202846	0.002427396	0.02824774	0.01819004	0.01967315	0.01309176	0.03504447	0.04629689	0.0580764	0.00300014	0.623131	0.315792
32	0	-129.4783	-169.1001	39.62183	0.00340853	0.01286548	0.01196782	0.001635004	0.01160402	0.00403917	0.03045287	0.02384081	0.01555059	0.003685537	0.008508626	0.04541014	0.317476	0.0731301	0.531809	0.0775848
33	1	-130.7573	-164.9924	34.23517	0.0001705592	0.01894944	0.01420573	0.01424779	0.006651027	0.004194585	0.02835969	0.01819004	0.01967315	0.01954713	0.03504447	0.04629689	0.0789662	0.00407927	0.487573	0.429382
34	0	-125.5364	-165.5032	39.96676	0.002840881	0.01110784	0.008851857	0.0009961056	0.01236264	0.003558137	0.03708767	0.01167816	0.01325652	0.004144273	0.01380785	0.04991091	0.346366	0.078957	0.474788	0.0998898
35	1	-130.8387	-166.3751	35.53639	0.0001630159	0.01894944	0.01376206	0.01305167	0.002423425	0.006010841	0.01827019	0.01819004	0.01781825	0.02653781	0.03504447	0.04261228	0.0916168	0.0187587	0.565683	0.323941
