Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
27	-129.8996	-167.7212	37.8216	0.001119465	0.02263068	0.008091316	0.01136546	0.002253732	0.007508046	0.01891352	0.007777108	0.04337044	0.01556257	0.02919971	0.02274284	0.314393	0.219584	0.387498	0.0785241
28	-131.0779	-170.4585	39.38056	0.00121444	0.02263068	0.008091316	0.01281153	0.003414253	0.006511505	0.01283569	0.004488882	0.04521227	0.01111732	0.03136801	0.01562693	0.342465	0.239191	0.367796	0.0505488
29	-131.0802	-173.5895	42.50925	0.001530599	0.01460109	0.005266217	0.01938617	0.005313485	0.007656579	0.01086543	0.006795789	0.03207535	0.01014554	0.01906746	0.01208998	0.522198	0.0606732	0.371737	0.045392
30	-135.081	-173.4167	38.33572	0.001595493	0.01236726	0.005266217	0.01938617	0.004457028	0.01556609	0.008977323	0.006795789	0.05976666	0.01103428	0.0289636	0.01134223	0.448898	0.126708	0.319557	0.104837
31	-134.3542	-170.0776	35.72333	0.001486853	0.01883359	0.008241295	0.01668671	0.01064472	0.01192905	0.01395833	0.02071282	0.05976666	0.00941921	0.02084312	0.01848694	0.416789	0.114509	0.296699	0.172003
32	-133.2216	-168.9153	35.69366	0.00126889	0.02897469	0.005174723	0.01728309	0.01064472	0.008375491	0.01827537	0.01782965	0.05976666	0.003769349	0.01566279	0.02427345	0.456899	0.0456819	0.428801	0.0686181
33	-129.1154	-168.2617	39.14631	0.0009724964	0.01790025	0.006850439	0.01377563	0.01064472	0.007335679	0.02641687	0.01632183	0.04713939	0.003867457	0.01474462	0.01163925	0.456899	0.0456819	0.428801	0.0686181
34	-128.3903	-169.0093	40.61902	0.001203651	0.01022219	0.00863641	0.01240675	0.01064472	0.007816672	0.02152208	0.01513986	0.04793373	0.004473664	0.01159917	0.01163925	0.246238	0.0634013	0.595127	0.0952342
35	-128.6317	-169.6769	41.04521	0.002677687	0.01420262	0.00768229	0.01421115	0.01284286	0.00864926	0.02152208	0.01513986	0.03755094	0.005274842	0.007686689	0.01163925	0.254094	0.033521	0.614113	0.0982724
36	-129.0775	-169.6819	40.60448	0.001725759	0.009075977	0.0118928	0.01451361	0.01166303	0.01142572	0.0253118	0.01513986	0.03755094	0.006000534	0.008674762	0.0104053	0.254094	0.033521	0.614113	0.0982724
37	-128.2217	-170.5508	42.32913	0.001725759	0.0132772	0.0118928	0.00775363	0.006493283	0.005279894	0.0188657	0.02147805	0.03489665	0.009402865	0.008434004	0.00705146	0.238819	0.0354202	0.648907	0.0768541
38	-127.744	-170.2733	42.52922	0.001725759	0.01964701	0.01101424	0.00775363	0.004051217	0.00981558	0.0188657	0.01472207	0.03489665	0.007201696	0.008056388	0.006848927	0.242007	0.0225429	0.65757	0.0778801
39	-129.2393	-169.7998	40.56049	0.001573281	0.02385301	0.004274596	0.008635745	0.00255718	0.01104507	0.0188657	0.01530483	0.05191586	0.007201696	0.005318305	0.01326406	0.19227	0.0179098	0.522426	0.267395
40	-129.4412	-169.501	40.05973	0.00300519	0.02797204	0.005695128	0.007152037	0.001956494	0.01104507	0.01659648	0.01140681	0.05191586	0.007458663	0.01464646	0.009845359	0.104108	0.00969767	0.741407	0.144787
41	-134.229	-169.288	35.05902	0.003281818	0.04086552	0.003979769	0.007152037	0.001288891	0.02596549	0.02457181	0.01341623	0.05465719	0.006720155	0.01976043	0.01583218	0.0843382	0.00785607	0.549248	0.358558
42	-133.5537	-171.3625	37.80874	0.002397342	0.04086552	0.005488272	0.007152037	0.000833275	0.01870115	0.02716507	0.009552886	0.0303403	0.01460436	0.02358217	0.009977952	0.0516088	0.00480734	0.637366	0.306218
43	-133.6339	-169.7247	36.09081	0.003434506	0.04086552	0.005488272	0.00848168	0.0005065996	0.01870115	0.02744265	0.01827328	0.03791591	0.007437995	0.02980705	0.009068924	0.0552272	0.0051444	0.682054	0.257575
44	-132.4598	-171.5481	39.08824	0.003572153	0.03227749	0.006573694	0.01465192	0.0008018585	0.0124652	0.02746758	0.01827328	0.03791591	0.007437995	0.01229415	0.004443968	0.127686	0.0118939	0.264905	0.595515
45	-133.4629	-171.6319	38.16901	0.003282035	0.03227749	0.004693014	0.02251348	0.0008018585	0.0162668	0.01601085	0.01438536	0.04742126	0.009328297	0.01352544	0.006639008	0.114591	0.0106741	0.340293	0.534442
46	-133.0807	-170.969	37.88836	0.002870892	0.03752821	0.00344235	0.01963366	0.0005670075	0.0162668	0.01967978	0.01998661	0.03632579	0.006149401	0.01894031	0.008492566	0.22073	0.103314	0.420066	0.25589
