Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
32	-172.7241	-175.5325	2.808474	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104
33	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
34	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
35	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
36	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
37	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
38	-172.7287	-175.5898	2.861132	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721
39	-172.7287	-175.5898	2.861132	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721
40	-172.7265	-175.5818	2.855287	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425
41	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
42	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
43	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
44	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
45	-172.7348	-175.5159	2.781095	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382
46	-172.7348	-175.5159	2.781095	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382
47	-172.8645	-175.8408	2.976301	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342
48	-173.6198	-176.0301	2.410311	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623
49	-173.1562	-176.237	3.080764	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409
50	-172.8176	-175.7678	2.950157	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852
51	-172.996	-176.0271	3.031106	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864
52	-174.4747	-177.7826	3.307864	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981
53	-172.8592	-175.5316	2.672359	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922
54	-176.0275	-177.992	1.964499	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637
55	-175.4765	-177.5269	2.050426	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791
56	-173.0084	-175.6085	2.600134	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398
