Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
44	-37.78087	-55.1058	17.32493	0.00919146	0.00757006	0.0192728	0.028312	0.0720272	0.000772338	0.422063	0.136698	0.441239
45	-44.47565	-56.53098	12.05533	0.0433269	0.0411246	0.0192728	0.0637937	0.0720272	0.032904	0.0343818	0.0111356	0.954483
46	-41.74737	-57.16907	15.42169	0.00830933	0.0651351	0.0192728	0.0155502	0.0720272	0.00571914	0.0316986	0.0883081	0.879993
47	-45.94061	-60.16378	14.22317	0.0668877	0.0651351	0.00720685	0.0443067	0.012096	0.0211548	0.0316986	0.0883081	0.879993
48	-44.63241	-63.77767	19.14526	0.00771758	0.000359872	0.0548792	0.0115015	0.012096	0.00385264	0.0190219	0.452908	0.52807
49	-30.31747	-51.07219	20.75472	0.00771758	0.0100505	0.00386376	0.0115015	0.012096	0.00385264	0.841372	0.136346	0.0222824
50	-32.88889	-50.38018	17.49129	0.0348675	0.0100505	0.0400569	0.0115015	0.0277721	0.00862594	0.565281	0.419748	0.0149706
51	-31.35824	-49.24049	17.88225	0.0348675	0.0241155	0.0127699	0.0238124	0.0186448	0.00862594	0.23727	0.232874	0.529856
52	-32.72314	-48.59502	15.87188	0.0242763	0.0241155	0.00354852	0.0238124	0.0186448	0.0800571	0.305454	0.220043	0.474503
53	-49.10334	-59.55986	10.45652	0.0416298	0.0241155	0.0311149	0.102573	0.0340105	0.0800571	0.130562	0.51917	0.350267
54	-40.8479	-53.96912	13.12121	0.0809974	0.0118651	0.0311149	0.00703635	0.0340105	0.0800571	0.382609	0.368665	0.248726
55	-40.37972	-58.67844	18.29872	0.00383074	0.0118651	0.0311149	0.0197011	0.0340105	0.0116202	0.302078	0.416753	0.28117
56	-45.86124	-60.76516	14.90391	0.00801477	0.0887551	0.0372066	0.0197011	0.0340105	0.0116202	0.356042	0.312559	0.331399
57	-56.77824	-69.94229	13.16405	0.00291842	0.0887551	0.0372066	0.0694705	0.0340105	0.0116202	0.477574	0.0863614	0.436064
58	-39.07553	-57.95154	18.87602	0.00519722	0.00539699	0.0386872	0.00240775	0.0340105	0.0116202	0.361204	0.226987	0.411808
59	-31.26799	-50.43233	19.16434	0.0120511	0.0109269	0.0209833	0.000324775	0.0340105	0.0116202	0.256105	0.301909	0.441986
60	-31.8227	-49.68411	17.8614	0.0367272	0.00527296	0.0120267	0.000324775	0.0340105	0.0350091	0.274938	0.719716	0.00534544
61	-33.77107	-49.17964	15.40858	0.0367272	0.0238109	0.030356	0.0023349	0.0213647	0.0717569	0.247677	0.747508	0.00481541
62	-38.01613	-52.6972	14.68107	0.0235613	0.0102845	0.0396761	0.00919403	0.0249645	0.0973498	0.22778	0.392972	0.379248
63	-35.24607	-50.47256	15.22649	0.0235613	0.0102845	0.0189263	0.000568303	0.0403357	0.0973498	0.124097	0.619326	0.256577
64	-32.53895	-50.86666	18.32771	0.0235613	0.00716687	0.0189263	0.00974907	0.0403357	0.0116589	0.124097	0.619326	0.256577
65	-42.05787	-61.45288	19.39501	0.00196587	0.00716687	0.0189263	0.00974907	0.0345269	0.0116589	0.313197	0.665117	0.0216853
66	-38.61351	-57.71816	19.10465	0.00196587	0.0544356	0.00133092	0.00974907	0.0123091	0.0116589	0.610215	0.336351	0.0534339
67	-39.72409	-57.62137	17.89729	0.00470756	0.0544356	0.0182712	0.0238704	0.0123091	0.00885604	0.912191	0.00793264	0.0798766
68	-42.00855	-58.22248	16.21394	0.00470756	0.0967552	0.0182712	0.00296364	0.0123091	0.0306651	0.602557	0.00523999	0.392203
69	-42.42325	-57.32063	14.89737	0.00470756	0.0967552	0.0182712	0.00296364	0.0123091	0.0644695	0.139146	0.141736	0.719117
70	-39.90565	-59.1189	19.21325	0.00470756	0.00243867	0.000876256	0.0109859	0.00518305	0.0644695	0.532024	0.224727	0.243249
71	-43.0011	-60.71314	17.71205	0.000240848	0.011884	0.000876256	0.0109859	0.0387496	0.0644695	0.301937	0.484817	0.213247
72	-48.98232	-67.54774	18.56542	0.000787772	0.00278055	0.00671272	0.0109859	0.0103362	0.0736917	0.501229	0.314695	0.184076
73	-42.99247	-62.16305	19.17057	0.00594222	0.00278055	0.00185595	0.0654131	0.0103362	0.00342868	0.636822	0.266143	0.0970354
74	-35.34191	-56.23001	20.8881	0.0058383	0.00278055	0.00185595	0.00756913	0.0103362	0.017277	0.647732	0.341406	0.0108618
75	-29.13694	-49.13633	19.99938	0.0328417	0.0044296	0.00436613	0.00756913	0.0019925	0.017277	0.974587	0.00906983	0.0163429
76	-28.6816	-47.17296	18.49136	0.0328417	0.0221416	0.00436613	0.0161369	0.0019925	0.0297176	0.509285	0.185888	0.304827
77	-30.01744	-47.71169	17.69424	0.0328417	0.0221416	0.0107043	0.0161369	0.0161212	0.0297176	0.432317	0.0752157	0.492468
78	-40.2879	-55.33108	15.04318	0.0294516	0.0936009	0.0107043	0.0161369	0.0161212	0.0297176	0.552344	0.0960983	0.351558
79	-42.84996	-58.48608	15.63612	0.0294516	0.00366338	0.0927909	0.00912205	0.0157624	0.0297176	0.365477	0.136213	0.49831
