Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
32	-173.2256	-176.3246	3.099028	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588
33	-173.2256	-176.3246	3.099028	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588
34	-173.6165	-176.0276	2.411145	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809
35	-173.0958	-176.1592	3.06345	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304
36	-173.7386	-176.1198	2.381235	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995
37	-172.9953	-176.0262	3.030864	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101
38	-173.1511	-175.6974	2.546292	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936
39	-173.1511	-175.6974	2.546292	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936
40	-172.7369	-175.5143	2.777386	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439
41	-172.7369	-175.5143	2.777386	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439
42	-173.6379	-176.0437	2.405774	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005
43	-172.7376	-175.6159	2.878252	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016
44	-172.8519	-175.8217	2.969784	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701
45	-172.7287	-175.5899	2.861201	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654
46	-172.7804	-175.5078	2.727435	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618
47	-172.7802	-175.5078	2.727587	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032
48	-172.7802	-175.5078	2.727587	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032
49	-172.722	-175.5551	2.833083	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091
50	-172.722	-175.5551	2.833083	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091
51	-172.7223	-175.5585	2.836246	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004
52	-172.7223	-175.5585	2.836246	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004
53	-172.7342	-175.6067	2.87249	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639
54	-173.7258	-176.927	3.20126	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831
55	-172.7265	-175.5819	2.85535	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363
56	-172.7228	-175.5633	2.840441	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912
57	-172.7224	-175.56	2.837546	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736
58	-172.7951	-175.7303	2.935204	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443
