Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-43.44422	-58.33818	14.89396	0.0370835	0.0795756	0.0507034	0.014051	0.0150969	0.00305346	0.160333	0.329687	0.50998
1	-39.62648	-53.86322	14.23674	0.0941662	0.0169557	0.0507034	0.00454454	0.0477762	0.00229279	0.573373	0.400895	0.0257321
2	-35.52935	-50.57784	15.04849	0.0556023	0.0169557	0.0106657	0.00454188	0.0252559	0.0825748	0.0837605	0.0709939	0.845246
3	-40.31349	-55.96956	15.65607	0.0879417	0.00824973	0.0372302	0.00107515	0.010938	0.0345611	0.125964	0.0521964	0.821839
4	-34.53765	-53.33936	18.80171	0.0162978	0.00824973	0.0372302	0.00107515	0.00181384	0.0345611	0.120564	0.54289	0.336545
5	-39.50848	-57.62204	18.11356	0.00762984	0.00824973	0.0433336	0.0213088	0.00181384	0.0345611	0.689422	0.191725	0.118853
6	-34.46216	-50.55689	16.09473	0.0301566	0.0104715	0.0303348	0.0130016	0.0502071	0.0345611	0.300462	0.431836	0.267701
7	-44.02864	-58.77322	14.74458	0.00902781	0.0360002	0.0462918	0.0461557	0.0313629	0.0345611	0.13591	0.527851	0.336239
8	-40.98818	-58.51084	17.52266	0.00902781	0.00612105	0.0221765	0.0461557	0.0313629	0.0172249	0.228893	0.204829	0.566278
9	-35.67606	-54.21949	18.54343	0.0196547	0.00910483	0.0168896	0.0461557	0.00279581	0.0112589	0.254084	0.117315	0.6286
10	-34.97188	-52.41426	17.44238	0.0196547	0.0289206	0.0168896	0.0434741	0.0139325	0.0112589	0.393117	0.535849	0.0710345
11	-35.27609	-53.10842	17.83233	0.0196547	0.0289206	0.0160096	0.0434741	0.0139325	0.00212641	0.198078	0.76613	0.0357918
12	-50.44949	-60.10141	9.651926	0.0347371	0.0554536	0.103976	0.0434741	0.0656986	0.0308197	0.14995	0.822955	0.0270953
13	-32.58008	-50.0604	17.48031	0.0187894	0.0554536	0.0131124	0.0056295	0.00935162	0.0308197	0.316252	0.57982	0.103928
14	-31.56538	-51.19193	19.62655	0.0187894	0.00548979	0.0131124	0.00633932	0.00349845	0.0308197	0.316252	0.57982	0.103928
15	-42.82074	-57.23959	14.41885	0.0344185	0.00548979	0.010392	0.0906133	0.0400296	0.0308197	0.163232	0.241558	0.59521
16	-44.18111	-57.97009	13.78898	0.0344185	0.0400716	0.0151557	0.0906133	0.0400296	0.00764682	0.273433	0.404639	0.321928
17	-53.33095	-65.34304	12.01209	0.0168563	0.0400716	0.0798404	0.0891146	0.0400296	0.00764682	0.180874	0.521471	0.297656
18	-45.55196	-59.67288	14.12092	0.00427952	0.0400716	0.0798404	0.0408943	0.0400296	0.0142971	0.209499	0.226424	0.564077
19	-39.86832	-54.01722	14.1489	0.0260178	0.0184844	0.0798404	0.013117	0.0400296	0.041205	0.54616	0.0666234	0.387217
20	-43.39294	-58.14153	14.74859	0.0260178	0.00308676	0.0798404	0.013117	0.0400296	0.041205	0.249502	0.573605	0.176892
21	-35.17938	-51.86001	16.68062	0.0513381	0.00308676	0.00491282	0.013117	0.0400296	0.041205	0.402582	0.456606	0.140811
22	-41.79499	-56.80301	15.00802	0.0499429	0.00308676	0.0329739	0.0488465	0.0400296	0.0217556	0.106893	0.757612	0.135495
23	-38.45131	-54.6159	16.16459	0.0499429	0.00386684	0.0024976	0.0488465	0.0400296	0.0217556	0.0583217	0.607014	0.334664
24	-39.6049	-57.02046	17.41556	0.0340119	0.00186888	0.0269851	0.0488465	0.00135095	0.0217556	0.32969	0.662338	0.00797232
25	-40.48208	-56.32064	15.83856	0.0340119	0.00781568	0.0269851	0.0752517	0.00200229	0.0292436	0.643693	0.351838	0.00446834
26	-50.4603	-68.27319	17.8129	0.00767309	0.000926541	0.0269851	0.0856574	0.000774174	0.0026005	0.540459	0.453778	0.00576297
27	-39.27285	-56.03697	16.76412	0.0340091	0.00241214	0.00267259	0.0856574	0.0166301	0.010164	0.540459	0.453778	0.00576297
28	-32.1136	-53.4674	21.35381	0.0059337	0.00675531	0.00382042	0.00649533	0.000530849	0.010164	0.859464	0.131371	0.00916456
