Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-38.02464	-54.03236	16.00772	0.0275611	0.0295518	0.0533057	0.0338462	0.000611618	0.0260904	0.618413	0.04822	0.333367
1	-36.65291	-51.92896	15.27605	0.0275611	0.0295518	0.0649009	0.00236556	0.00265613	0.0627179	0.413658	0.423595	0.162748
2	-31.67734	-49.10803	17.43069	0.0323033	0.0109026	0.0363362	0.00236556	0.0397644	0.0127583	0.501358	0.165681	0.332961
3	-34.38194	-50.26296	15.88102	0.0296603	0.0549391	0.0363362	0.00076164	0.0397644	0.0127583	0.501358	0.165681	0.332961
4	-36.42735	-53.61859	17.19123	0.0296603	0.0743471	0.0234197	0.000256088	0.00786719	0.00502839	0.158879	0.0648261	0.776295
5	-31.1816	-49.34799	18.16639	0.0182529	0.0139707	0.0234197	0.000256088	0.0309017	0.0287391	0.158879	0.0648261	0.776295
6	-32.63576	-50.4234	17.78764	0.0182529	0.0139707	0.0234197	0.00998111	0.0309017	0.0287391	0.158879	0.0648261	0.776295
7	-30.49981	-49.6358	19.13599	0.0148338	0.0154776	0.0124047	0.0150946	0.0309017	0.00193234	0.287847	0.0641173	0.648035
8	-30.1642	-48.95405	18.78985	0.0119262	0.0154776	0.0124047	0.00233726	0.0390906	0.0182959	0.287847	0.0641173	0.648035
9	-34.61725	-52.3203	17.70305	0.0120257	0.0138827	0.041805	0.00233726	0.0390906	0.0182959	0.294143	0.0436491	0.662208
10	-30.26541	-49.93945	19.67404	0.0072462	0.0424759	0.00479061	0.00118097	0.00284001	0.0182959	0.725973	0.10773	0.166296
11	-37.16363	-53.80864	16.645	0.0106567	0.0549734	0.0343834	0.00118097	0.00141504	0.0519943	0.106493	0.381744	0.511763
12	-29.87172	-48.52444	18.65272	0.0106567	0.0353384	0.0026574	0.000991321	0.00141504	0.0519943	0.192869	0.716589	0.0905418
13	-29.31902	-47.82102	18.50201	0.0141476	0.0351972	0.0026574	0.00151145	0.00141504	0.0519943	0.192869	0.716589	0.0905418
14	-26.77852	-47.31315	20.53463	0.0141476	0.0215004	0.00854903	0.002908	0.00141504	0.00621288	0.562651	0.16883	0.268519
15	-35.22966	-52.65657	17.42691	0.0141476	0.00550622	0.00621864	0.00316903	0.00141504	0.104071	0.248941	0.289931	0.461128
16	-30.04612	-49.31125	19.26513	0.0135313	0.00989537	0.00621864	0.00316903	0.0150593	0.0394553	0.248941	0.289931	0.461128
17	-34.15285	-51.51105	17.3582	0.0135313	0.0324974	0.0046209	0.027273	0.0150593	0.0433099	0.091384	0.348007	0.560609
18	-30.59533	-48.85444	18.25911	0.0371268	0.0324974	0.000411693	0.017832	0.0150593	0.0102325	0.0942302	0.3277	0.578069
19	-29.05848	-46.93781	17.87933	0.0371268	0.0324974	0.000411693	0.0191198	0.0247446	0.00901056	0.65299	0.287504	0.0595058
20	-28.33284	-46.83825	18.50541	0.0325331	0.0251478	0.000411693	0.0149879	0.0247446	0.00901056	0.26851	0.604712	0.126778
21	-31.36029	-48.04318	16.68289	0.0325331	0.022591	0.0127137	0.014835	0.0434738	0.0274843	0.26851	0.604712	0.126778
22	-35.47707	-51.89834	16.42127	0.0439542	0.0185988	0.0127137	0.0409247	0.0166728	0.0274843	0.166818	0.682431	0.150751
23	-34.65873	-51.38481	16.72608	0.0535603	0.0185988	0.00132242	0.0409247	0.0166728	0.0214431	0.199262	0.10183	0.698909
24	-31.83815	-49.73468	17.89653	0.0252194	0.0166954	0.00151412	0.0409247	0.0166728	0.0214431	0.426649	0.0726341	0.500717
25	-37.65914	-56.01129	18.35214	0.00548847	0.0166954	0.00954654	0.0409247	0.0166728	0.0214431	0.569127	0.0545844	0.376288
26	-40.85371	-54.19427	13.34057	0.0121764	0.076068	0.00473764	0.0409247	0.00387016	0.101672	0.59304	0.0148619	0.392098
27	-36.94969	-50.73213	13.78244	0.0070773	0.0518473	0.010425	0.0180756	0.0390061	0.101672	0.420508	0.00571514	0.573777
28	-44.83136	-55.75179	10.92043	0.0192674	0.0518473	0.0717205	0.0180756	0.0390061	0.101672	0.248149	0.0244749	0.727376
29	-40.12946	-56.02304	15.89358	0.0192674	0.031346	0.0717205	0.0180756	0.010613	0.0228751	0.148421	0.0139069	0.837672
30	-32.04843	-49.31821	17.26978	0.0192674	0.031346	0.00328533	0.0329897	0.0287984	0.0228751	0.536447	0.00757015	0.455983
31	-27.94343	-48.34492	20.40148	0.0141023	0.031346	0.00328533	0.00594905	0.00157573	0.00189323	0.234907	0.56542	0.199672
32	-31.96487	-47.05374	15.08888	0.0455588	0.031346	0.00685806	0.00345721	0.0910303	0.0163089	0.192584	0.643719	0.163697
33	-28.53087	-46.54415	18.01328	0.0200429	0.031346	0.00685806	0.00345721	0.0414586	0.0163089	0.330427	0.388708	0.280865
34	-30.76075	-47.67527	16.91452	0.0200429	0.031346	0.0246694	0.00345721	0.0414586	0.0267097	0.695103	0.290173	0.0147234
35	-36.15914	-52.29527	16.13613	0.0152584	0.031346	0.00358696	0.0515673	0.0414586	0.0244524	0.401071	0.57984	0.0190888
36	-30.93675	-47.21856	16.2818	0.051717	0.031346	0.0140852	0.00266793	0.0396607	0.0244524	0.645379	0.320327	0.0342939
37	-26.99316	-45.69237	18.6992	0.0188061	0.0145319	0.00247645	0.00193214	0.0396607	0.0244524	0.65657	0.310219	0.0332117
38	-29.54351	-46.20682	16.66331	0.0406437	0.0145319	0.00540018	0.0031813	0.0303122	0.0600646	0.891948	0.097603	0.0104493
39	-36.60458	-53.90986	17.30528	0.0748642	0.00463469	0.00540018	0.0383478	0.00685786	0.00754562	0.666187	0.0728987	0.260915
40	-35.45109	-52.76087	17.30978	0.0748642	0.00851468	0.0015368	0.0383478	0.008405	0.00586619	0.666187	0.0728987	0.260915
41	-34.92379	-54.01014	19.08635	0.0145615	0.00851468	0.0251156	0.0315576	0.0101682	0.00200165	0.386906	0.245458	0.367636
42	-30.67096	-50.87234	20.20138	0.0145615	0.00851468	0.00284264	0.0259558	0.0101682	0.00124677	0.412997	0.174944	0.412059
43	-25.045	-45.62639	20.5814	0.0188926	0.0125877	0.00284264	0.00143242	0.0165301	0.00124677	0.768096	0.164435	0.0674683
