Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-33.21229	-48.77667	15.56438	0.0536253	0.0203924	0.00401934	0.0207889	0.0485549	0.0349693	0.40936	0.113394	0.477246
1	-40.68303	-55.59743	14.9144	0.0536253	0.00374848	0.0344999	0.0533091	0.0485549	0.00530143	0.40936	0.113394	0.477246
2	-48.1025	-60.85056	12.74806	0.0536253	0.00374848	0.0344999	0.108932	0.0485549	0.00530143	0.220215	0.219291	0.560493
3	-38.26567	-57.55083	19.28517	0.0536253	0.000362069	0.0100682	0.00709424	0.0103632	0.00530143	0.262247	0.207471	0.530282
4	-32.25907	-51.37096	19.11189	0.0521207	0.00380161	0.00377901	0.00270189	0.0103632	0.018497	0.214824	0.00492341	0.780253
5	-37.85685	-56.63361	18.77676	0.0160432	0.00380161	0.06514	0.00270189	0.0103632	0.00181847	0.645981	0.0148048	0.339215
6	-40.36465	-55.42324	15.05858	0.0441004	0.0573396	0.0850865	0.00270189	0.00429025	0.00181847	0.788649	0.0180745	0.193276
7	-32.78735	-49.50281	16.71546	0.0451825	0.0573396	0.00197295	0.000456224	0.00429025	0.0435533	0.274428	0.0284992	0.697073
8	-27.57455	-46.12863	18.55408	0.0356819	0.0107564	0.000884089	0.00230163	0.0124085	0.0435533	0.710079	0.192047	0.097874
9	-27.18375	-45.89381	18.71006	0.0286645	0.0107564	0.000366982	0.00230163	0.015938	0.0435533	0.709798	0.192367	0.0978352
10	-40.909	-53.00647	12.09746	0.0440321	0.0107564	0.0276869	0.0406832	0.104655	0.0435533	0.291224	0.134072	0.574704
11	-34.4793	-49.30262	14.82332	0.0085516	0.0314058	0.0081509	0.00506085	0.104655	0.0435533	0.162901	0.00769579	0.829404
12	-31.2165	-49.4709	18.2544	0.0085516	0.0155935	0.0081509	0.00506085	0.0706646	0.00525911	0.740676	0.0704337	0.188891
13	-31.28248	-47.17282	15.89034	0.0479382	0.0310202	0.00184578	0.0185345	0.0706646	0.00397745	0.641922	0.158806	0.199272
14	-33.06968	-50.0706	17.00092	0.0479382	0.0192773	0.0385501	0.0185345	0.0174157	0.00374963	0.889357	0.0418926	0.06875
15	-33.9856	-55.16813	21.18253	0.00635847	0.00507039	0.00195167	0.0185345	0.00243269	0.00374963	0.810913	0.0715939	0.117493
16	-29.96745	-48.91156	18.94411	0.0245414	0.0594913	0.00195167	0.00543778	0.00350412	0.000645125	0.625317	0.284081	0.0906018
17	-30.39676	-49.25222	18.85546	0.0245414	0.0594913	0.00195167	0.00747026	0.00350412	0.00088901	0.572812	0.344193	0.0829944
18	-40.92881	-57.41264	16.48384	0.0235489	0.0244184	0.00195167	0.10443	0.00350412	0.00088901	0.616645	0.20977	0.173585
19	-41.05675	-57.6757	16.61894	0.0235489	0.0174884	0.00195167	0.10443	0.000924601	0.00692951	0.38992	0.289356	0.320724
20	-44.58954	-57.56218	12.97263	0.0394739	0.0138871	0.00880871	0.10443	0.00733411	0.0749625	0.209189	0.743824	0.0469879
21	-42.47547	-57.7865	15.31102	0.0232722	0.0313415	0.00880871	0.10443	0.00998687	0.0110162	0.961017	0.00840272	0.0305807
22	-42.28898	-56.87887	14.58989	0.0381796	0.0195388	0.00530048	0.10443	0.0207217	0.0192009	0.40153	0.332097	0.266373
23	-37.40313	-53.15781	15.75467	0.0427687	0.0195388	0.00944955	0.0550488	0.0207217	0.0299366	0.139196	0.243944	0.61686
24	-29.21284	-47.39181	18.17897	0.030214	0.0423356	0.00944955	0.00418382	0.0207217	0.00831257	0.35202	0.358427	0.289553
25	-34.83138	-52.37492	17.54353	0.015893	0.057333	0.00944955	0.0198231	0.0207217	0.00831257	0.280023	0.341078	0.378899
26	-36.40785	-53.55332	17.14546	0.015893	0.057333	0.00944955	0.0198231	0.0207217	0.0185335	0.0627125	0.444026	0.493262
27	-31.74593	-49.43888	17.69295	0.015893	0.057333	0.00944955	0.00576575	0.0207217	0.0185335	0.701745	0.160557	0.137698
28	-33.26064	-51.68464	18.424	0.0112866	0.057333	0.00913747	0.00576575	0.00686962	0.0185335	0.280579	0.219088	0.500333
29	-34.9723	-52.64057	17.66827	0.0275816	0.0764306	0.00913747	0.00180818	0.0133134	5.89769e-05	0.16861	0.336836	0.494554
30	-35.14621	-52.41172	17.26551	0.0275816	0.0764306	0.00913747	0.00974788	0.0133134	0.00246056	0.549336	0.116642	0.334022
31	-30.70448	-49.1359	18.43142	0.0275816	0.053067	0.00256499	0.00974788	0.0133134	0.00246056	0.257547	0.720406	0.0220475
32	-27.12007	-46.96888	19.84881	0.0277169	0.0165384	0.00256499	0.00974788	0.0133134	0.00246056	0.184185	0.467229	0.348585
33	-31.33642	-50.22857	18.89215	0.0277169	0.0205324	0.00256499	0.0110934	0.0325373	0.00246056	0.00355116	0.119871	0.876577
34	-33.97142	-51.14586	17.17445	0.0277169	0.0205324	0.00273668	0.0356353	0.0325373	0.0218512	0.0457208	0.529128	0.425151
35	-34.05742	-52.44912	18.3917	0.0073097	0.0209836	0.00514006	0.00754018	0.0469305	0.0218512	0.0346741	0.642897	0.322429
36	-41.81598	-56.0447	14.22872	0.0456538	0.00751353	0.0854281	0.00926761	0.0469305	0.0218512	0.213175	0.100737	0.686087
37	-31.93028	-49.95149	18.02121	0.0114194	0.0145287	0.00900406	0.00926761	0.0469305	0.0281177	0.213175	0.100737	0.686087
38	-31.02583	-48.81467	17.78884	0.012627	0.0145287	0.00900406	0.0140263	0.0469305	0.0281177	0.7966	0.0684318	0.134968
39	-30.01351	-47.31554	17.30203	0.0173109	0.0223444	0.00900406	0.0140263	0.0469305	0.0281177	0.7966	0.0684318	0.134968
40	-30.19894	-47.56512	17.36618	0.0282788	0.0455006	0.00900406	0.00452217	0.0469305	0.00185063	0.28969	0.238977	0.471333
41	-34.00791	-49.13201	15.1241	0.0427172	0.0455006	0.00900406	0.0114195	0.0469305	0.0380829	0.237175	0.393555	0.36927
42	-30.86552	-49.27935	18.41382	0.0397187	0.00902788	0.00900406	0.00916642	0.00418728	0.0380829	0.252191	0.512845	0.234965
43	-28.27709	-46.66033	18.38325	0.0397187	0.027719	0.00900406	0.00916642	0.00418728	0.0201769	0.761287	0.0807747	0.157939
44	-31.69117	-47.97532	16.28415	0.0397187	0.027719	0.00900406	0.00916642	0.0479237	0.0303373	0.149643	0.69044	0.159917
45	-42.26024	-60.25106	17.99083	0.00276851	0.021463	0.00900406	0.0328882	0.0479237	0.00600077	0.149643	0.69044	0.159917
46	-39.55563	-57.36611	17.81048	0.00728133	0.021463	0.0332333	0.0328882	0.0238121	0.00600077	0.213978	0.461896	0.324126
47	-32.07827	-50.21918	18.14091	0.0243457	0.00921206	0.0332333	0.0103369	0.0238121	0.0152545	0.611008	0.228586	0.160406
48	-29.68727	-48.1094	18.42213	0.0243457	0.0551284	0.00693218	0.00326628	0.0122847	0.00701675	0.716772	0.268153	0.0150746
49	-37.51579	-51.24137	13.72558	0.0520592	0.0609787	0.00693218	0.0069618	0.0122847	0.090347	0.520383	0.454089	0.0255273
50	-36.14906	-52.10792	15.95885	0.0175344	0.0202773	0.0434427	0.0172148	0.0122847	0.0614676	0.486541	0.489591	0.0238672
51	-36.21935	-51.75111	15.53175	0.0150303	0.054765	0.0434427	0.00173086	0.00675133	0.0614676	0.800894	0.19568	0.00342625
52	-36.38249	-52.36961	15.98712	0.0117935	0.054765	0.0128742	0.0238441	0.00675133	0.0614676	0.362743	0.249267	0.387991
53	-33.04981	-49.28153	16.23172	0.019979	0.0279598	0.0128742	0.0238441	0.0190906	0.0614676	0.458382	0.211857	0.329761
54	-34.27273	-50.22241	15.94969	0.019979	0.0456208	0.0106293	0.0168091	0.0179511	0.0614676	0.170038	0.324644	0.505318
55	-30.20955	-49.41086	19.20132	0.019979	0.0195942	0.0106872	0.0168091	0.0179511	0.00394674	0.127715	0.492744	0.379542
