Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-34.11683	-51.1413	17.02447	0.0194505	0.0099602	0.0395037	0.00113239	0.0116454	0.0631685	0.543169	0.167057	0.289774
1	-37.61648	-55.42078	17.8043	0.0194505	0.0192473	0.0395037	0.0296203	0.0116454	0.00537026	0.0284436	0.863537	0.10802
2	-38.71777	-56.49296	17.77519	0.0194505	0.0192473	0.0395037	0.0296203	0.0116454	0.00611774	0.0046554	0.873922	0.121423
3	-35.36458	-53.67595	18.31137	0.0347733	0.0192473	0.011346	0.0296203	0.0107131	0.00611774	0.0046554	0.873922	0.121423
4	-40.65718	-57.2755	16.61832	0.0709743	0.0192473	0.0245029	0.0296203	0.00482635	0.00611774	0.00427961	0.884099	0.111621
5	-37.62042	-56.32738	18.70696	0.0102856	0.0192473	0.0245029	0.0366808	0.00482635	0.00611774	0.0949268	0.264016	0.641057
6	-42.03068	-57.11548	15.0848	0.0651753	0.0192473	0.0290149	0.0702823	0.00482635	0.00611774	0.392887	0.0413678	0.565745
7	-42.23403	-57.43331	15.19929	0.0346696	0.0526546	0.0169434	0.0702823	0.0110567	0.00611774	0.418271	0.098248	0.483481
8	-40.63403	-60.21817	19.58415	0.00188412	0.0225533	0.0258165	0.0117094	0.0110567	0.00611774	0.20418	0.214436	0.581385
9	-39.81288	-58.42286	18.60998	0.00188412	0.0225533	0.0258165	0.0117094	0.0153839	0.0268034	0.440101	0.143838	0.416061
10	-41.68417	-60.4852	18.80102	0.000906971	0.0109878	0.00931479	0.0117094	0.0153839	0.0509426	0.47372	0.0663162	0.459964
11	-33.20505	-50.65047	17.44543	0.0108549	0.0136937	0.00491996	0.0117094	0.0419314	0.0509426	0.12916	0.0422312	0.828609
12	-30.20589	-49.60201	19.39611	0.0108549	0.0136937	0.00926582	0.0117094	0.0246648	0.0137772	0.603129	0.0190631	0.377808
13	-36.03506	-52.57599	16.54093	0.0108549	0.0547421	0.0126772	0.0117094	0.0506683	0.016624	0.127555	0.155598	0.716847
14	-43.48338	-61.28093	17.79755	0.00236463	0.00213858	0.0408883	0.0117094	0.0512858	0.016624	0.255632	0.311831	0.432536
15	-47.12126	-64.25819	17.13693	0.00015116	0.0638856	0.00366592	0.0117094	0.0512858	0.0112752	0.255632	0.311831	0.432536
16	-45.03055	-64.8256	19.79505	0.000312188	0.0121157	0.000609454	0.0117094	0.0286069	0.0203689	0.338827	0.413316	0.247857
17	-52.56495	-70.52898	17.96403	0.000312188	0.0121157	0.000486142	0.0588463	0.0286069	0.0203689	0.322894	0.39388	0.283226
18	-49.08743	-66.65239	17.56496	0.000514005	0.0177932	0.000450111	0.0588463	0.0286069	0.0247723	0.322894	0.39388	0.283226
19	-42.49604	-57.98319	15.48716	0.00498585	0.0177932	0.00191048	0.0679097	0.0669614	0.0247723	0.775133	0.204996	0.0198711
20	-37.88933	-55.78088	17.89155	0.00221519	0.0177932	0.00191048	0.0187719	0.0571343	0.0247723	0.857738	0.12969	0.0125714
21	-35.66622	-54.96321	19.29699	0.00388062	0.0177932	0.0127028	0.0187719	0.00859019	0.0247723	0.857738	0.12969	0.0125714
22	-36.97028	-54.20947	17.23919	0.0822023	0.00541856	0.0127028	0.0225554	0.00859019	0.00787809	0.491024	0.499009	0.00996647
23	-37.41497	-54.12745	16.71248	0.0822023	0.0119688	0.0127028	0.0262042	0.00759646	0.0121965	0.218616	0.766083	0.0153006
24	-33.25651	-50.8533	17.59679	0.0520271	0.0119688	0.0127028	0.0262042	0.00759646	0.0196662	0.288348	0.474956	0.236696
25	-34.61716	-54.41178	19.79463	0.00641713	0.0119688	0.00674145	0.0262042	0.00759646	0.0148054	0.421166	0.386314	0.19252
26	-35.53749	-52.3869	16.84941	0.0244369	0.0119688	0.00340689	0.0527227	0.00759646	0.0492237	0.267624	0.555197	0.177179
27	-41.8689	-54.3711	12.5022	0.0228155	0.0012436	0.00340689	0.0527227	0.131563	0.0492237	0.518063	0.365345	0.116592
28	-46.06708	-54.27396	8.206886	0.0434032	0.00622253	0.0145736	0.0527227	0.163479	0.0908615	0.182244	0.565969	0.251787
29	-42.25332	-53.64628	11.39296	0.0434032	0.00735918	0.0145736	0.0527227	0.0816209	0.0897769	0.414178	0.374536	0.211286
30	-48.9996	-58.13312	9.133514	0.0434032	0.102383	0.0157481	0.0375561	0.058603	0.0897769	0.414178	0.374536	0.211286
31	-47.7579	-61.83841	14.08052	0.0434032	0.102383	0.0157481	0.0375561	0.00374095	0.0176187	0.343252	0.310398	0.34635
32	-47.74556	-62.35759	14.61203	0.0214598	0.102383	0.0248428	0.0375561	0.00803672	0.0125245	0.343252	0.310398	0.34635
33	-34.30226	-52.90095	18.59869	0.0214598	0.0133452	0.0248428	0.0375561	0.00240485	0.0048318	0.315107	0.0650762	0.619816
34	-36.04168	-52.10945	16.06777	0.0240558	0.0118851	0.0248428	0.0375561	0.0167633	0.0543218	0.594923	0.167646	0.237431
35	-63.83439	-78.94432	15.10994	6.15149e-05	0.0565267	0.00301225	0.118106	0.00597267	0.0103394	0.653458	0.184141	0.162401
36	-52.04113	-71.87009	19.82896	6.15149e-05	0.0187015	0.00676949	0.0310073	0.00597267	0.0103394	0.770384	0.217091	0.0125251
37	-48.37463	-66.28044	17.90581	6.15149e-05	0.00967823	0.00676949	0.0310073	0.0086778	0.0660366	0.603094	0.387101	0.00980524
38	-41.43321	-60.94741	19.5142	0.00123511	0.00967823	0.0222272	0.00582767	0.0086778	0.0332876	0.358032	0.626109	0.0158593
39	-30.11586	-49.12478	19.00892	0.033133	0.00967823	0.0222272	0.00582767	0.0086778	0.0143635	0.305475	0.0862732	0.608251
40	-34.36141	-52.09355	17.73214	0.0301688	0.00967823	0.000655423	0.0631465	0.0086778	0.0143635	0.729937	0.114573	0.15549
41	-35.57184	-52.66514	17.0933	0.0301688	0.0216306	0.000655423	0.0631465	0.0131285	0.0143635	0.216477	0.732517	0.0510051
42	-32.25818	-51.87119	19.61301	0.00675701	0.0216306	0.00901583	0.0135013	0.0131285	0.0143635	0.434601	0.509602	0.0557972
43	-27.7546	-46.98054	19.22594	0.0208142	0.0216306	0.00901583	0.0135013	0.00900986	0.0143635	0.842399	0.0494474	0.108153
44	-45.90918	-60.77729	14.86811	0.0208142	0.0648815	0.00901583	0.0859937	0.00515897	0.0143635	0.362831	0.381994	0.255175
45	-34.64515	-52.24083	17.59568	0.0069604	0.0648815	0.0043956	0.00107982	0.0391735	0.0137034	0.455271	0.232844	0.311885
46	-42.76119	-57.12678	14.36559	0.00705453	0.0648815	0.119804	0.00107982	0.006607	0.0137034	0.680264	0.231546	0.0881904
47	-44.99073	-60.94141	15.95067	0.0132942	0.0648815	0.0128897	0.0614375	0.00799731	0.0119312	0.0778813	0.619488	0.302631
48	-38.06642	-54.56466	16.49824	0.0132942	0.0648815	0.0128897	0.0155451	0.0469065	0.00485501	0.078713	0.541871	0.379416
49	-35.98665	-52.96831	16.98167	0.0132942	0.0648815	0.00453521	0.0159453	0.0469065	0.000396927	0.211847	0.129562	0.658591
50	-53.48983	-71.02498	17.53515	0.000488364	0.0648815	0.00266651	0.0164085	0.0469065	0.000396927	0.76851	0.0217388	0.209751
51	-38.28143	-52.4815	14.20008	0.000488364	0.0648815	0.00266651	0.0164085	0.0531464	0.079789	0.768373	0.021735	0.209892
52	-38.39399	-56.56339	18.1694	0.00815702	0.0648815	0.00595487	0.0265079	0.00610347	0.00385838	0.496458	0.0472505	0.456292
53	-38.30492	-54.62175	16.31683	0.0412858	0.0648815	0.020393	0.0265079	0.00610347	0.00385838	0.375295	0.247298	0.377406
54	-36.76133	-53.44016	16.67883	0.0412858	0.0191487	0.0710023	0.0156889	0.00610347	0.000506068	0.330988	0.604446	0.0645665
55	-37.08269	-54.04665	16.96396	0.0412858	0.00944245	0.0710023	0.0156889	0.000884304	0.00811052	0.686078	0.283625	0.0302967
56	-36.00115	-52.5526	16.55146	0.0412858	0.0275345	0.0710023	0.000250846	0.0046664	0.0122659	0.110314	0.861334	0.0283522
57	-30.89837	-48.7182	17.81983	0.0412858	0.0275345	0.0323935	4.70104e-05	0.0109119	0.0122659	0.243887	0.693431	0.0626823
58	-36.29167	-51.63344	15.34177	0.0412858	0.0275345	0.023527	0.030802	0.027556	0.0373604	0.190184	0.760936	0.0488799
59	-50.03585	-62.25283	12.21698	0.111724	0.0275345	0.00510584	0.059018	0.027556	0.0373604	0.0548855	0.17704	0.768075
60	-49.35816	-60.10247	10.74432	0.0888854	0.0275345	0.00235969	0.059018	0.027556	0.100757	0.0233219	0.650308	0.32637
