Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-34.10625	-50.22166	16.11541	0.0438631	0.0358796	0.037314	0.00597968	0.00859502	0.0365705	0.40018	0.465275	0.134544
1	-31.36493	-48.92292	17.55799	0.0438631	0.0138664	0.0268256	0.00144131	0.00859502	0.0365705	0.342577	0.509958	0.147465
2	-31.60572	-48.58102	16.9753	0.0438631	0.043577	0.0117037	0.00181373	0.00859502	0.0365705	0.286058	0.143744	0.570198
3	-33.39535	-50.29073	16.89538	0.00748308	0.0276756	0.0112942	0.00181373	0.0861069	0.0138016	0.286058	0.143744	0.570198
4	-37.85541	-53.56458	15.70917	0.00748308	0.0276756	0.049656	0.000688446	0.0861069	0.00702239	0.679886	0.0101032	0.310011
5	-32.48935	-48.29457	15.80522	0.0621938	0.0276756	0.00555451	0.00280409	0.0145998	0.0633385	0.676987	0.119754	0.203259
6	-37.13084	-53.28073	16.14989	0.0621938	0.0551375	0.00555451	0.0166507	0.0150412	0.0127386	0.145949	0.316632	0.537419
7	-43.25386	-57.02704	13.77319	0.0376169	0.0551375	0.020738	0.0569427	0.0137687	0.0441374	0.145949	0.316632	0.537419
8	-30.857	-49.70977	18.85277	0.00828924	0.0191263	0.0154506	0.00102342	0.0137687	0.0402583	0.577866	0.137181	0.284953
9	-34.04511	-53.03572	18.99062	0.00828924	0.0225464	0.0154506	0.0262962	0.0137687	0.00802623	0.577866	0.137181	0.284953
10	-36.32183	-52.27391	15.95207	0.00828924	0.0225464	0.00233288	0.0381602	0.0658686	0.0351983	0.479365	0.113798	0.406837
11	-43.74392	-55.71344	11.96952	0.0912283	0.0225464	0.00233288	0.0381602	0.0851865	0.0351983	0.088136	0.178449	0.733415
12	-38.02759	-52.10919	14.08159	0.0912283	0.0225464	0.00233288	0.0136849	0.0851865	0.00544348	0.320119	0.573042	0.106839
13	-30.48629	-47.01736	16.53107	0.0186568	0.0225464	0.00236682	0.0136849	0.049865	0.0504092	0.470884	0.371959	0.157157
14	-34.19318	-50.41028	16.2171	0.0126906	0.0225464	0.00236682	0.0277127	0.049865	0.0504092	0.193606	0.572428	0.233966
15	-34.06301	-51.69281	17.6298	0.0155579	0.0452368	0.00236682	0.030322	0.0174067	0.0184276	0.20508	0.606355	0.188565
16	-31.76734	-51.561	19.79366	0.0185661	0.00310197	0.00906201	0.00719388	0.0174067	0.0184276	0.5131	0.0151208	0.471779
17	-43.85552	-58.85134	14.99581	0.0185661	0.0111573	0.129996	0.0142224	0.0174067	0.00560052	0.812413	0.0418103	0.145777
