Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	-45.79565	-77.92687	32.13122	0.058612	0.00672007	0.0124452	0.00253425	0.0230114	0.000372139	0.0877897	0.0177993	0.0129489	0.0425424	0.0662884	0.0183078	0.0738049	0.0616735	0.59701	0.267511
1	-48.69844	-79.55244	30.85399	0.0809941	0.0101708	0.0128861	0.00253425	0.0230114	0.000369348	0.063531	0.0179212	0.0129489	0.0544054	0.0943838	0.00900958	0.10247	0.308772	0.217347	0.371411
2	-46.69478	-78.65476	31.95997	0.0493575	0.00584791	0.011427	0.00253425	0.0312297	0.000564579	0.063531	0.0174555	0.0129489	0.0348388	0.0943838	0.0296497	0.172483	0.169059	0.13527	0.523188
3	-46.22809	-78.40696	32.17887	0.0659861	0.00705876	0.00970623	0.00253425	0.0176028	0.000506249	0.0655822	0.0162389	0.0109159	0.0617589	0.0654444	0.0248133	0.228466	0.0935539	0.363007	0.314973
4	-44.72268	-77.09025	32.36757	0.0403794	0.00705876	0.00626731	0.00197943	0.0125648	0.000558322	0.0583806	0.010128	0.00774236	0.0861254	0.0658966	0.0462221	0.228466	0.0935539	0.363007	0.314973
5	-45.11609	-77.9824	32.86631	0.0357639	0.00507368	0.00862258	0.0059583	0.0167048	0.000558322	0.0675576	0.0101867	0.00774236	0.0861254	0.0399815	0.0462221	0.46006	0.0753971	0.248727	0.215815
6	-47.16815	-78.70708	31.53893	0.0307683	0.0022647	0.0108353	0.0077323	0.016214	0.000448003	0.0724554	0.0237539	0.00816005	0.0861254	0.0583363	0.047486	0.456162	0.0747583	0.24662	0.22246
7	-49.76018	-79.29852	29.53835	0.0304051	0.00327786	0.0123754	0.0109568	0.0191992	0.000523429	0.0647807	0.0266861	0.022333	0.0861254	0.0917979	0.047486	0.339119	0.33686	0.183341	0.14068
8	-50.23609	-80.12239	29.88629	0.0446153	0.00652173	0.00468974	0.0109568	0.0308408	0.00119608	0.0527931	0.0266861	0.0148469	0.0615763	0.0917979	0.0604921	0.485414	0.0507824	0.262434	0.201369
9	-49.69588	-80.0191	30.32322	0.0446153	0.00652173	0.00468974	0.0311228	0.0337867	0.00177068	0.0429941	0.0368709	0.0148469	0.0615763	0.0775833	0.0394157	0.23123	0.0100243	0.0799696	0.678776
10	-50.94063	-78.85087	27.91024	0.0446153	0.00413815	0.00615768	0.0438839	0.0271453	0.0027484	0.0429941	0.0368709	0.0118116	0.0729546	0.108089	0.0563413	0.0667014	0.0121696	0.0970844	0.824045
11	-54.19096	-80.20221	26.01126	0.0592486	0.00290911	0.0037599	0.023291	0.0280792	0.0016958	0.0429941	0.0368709	0.0329259	0.116299	0.106248	0.0521875	0.111393	0.0317565	0.25334	0.60351
12	-50.78634	-77.97544	27.1891	0.0493007	0.00405037	0.00235921	0.0240752	0.0434289	0.0021967	0.0384552	0.0368709	0.0233398	0.124763	0.0702599	0.0571672	0.101186	0.120479	0.230126	0.548209
13	-49.23461	-77.48573	28.25113	0.0382395	0.00548828	0.00248957	0.0181979	0.0297232	0.00323071	0.036272	0.0298018	0.0240729	0.124763	0.0795521	0.0571672	0.137923	0.0918594	0.404971	0.365246
