Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
31	1	-74.39266	-76.95128	2.558625	0.02833536	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354
32	0	-73.18797	-76.07233	2.884354	0.01997189	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719
33	1	-75.48093	-77.88457	2.403646	0.03231464	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146
34	0	-73.18797	-76.07233	2.884354	0.01997189	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719
35	1	-73.18663	-76.08599	2.899354	0.01958674	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867
36	0	-73.52736	-76.25549	2.728137	0.02398296	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983
37	1	-74.12716	-77.24819	3.121028	0.01389501	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895
38	0	-73.39122	-76.15913	2.767913	0.02296165	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617
39	1	-73.35318	-76.35061	2.997433	0.01706846	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685
40	0	-73.33964	-76.33305	2.993407	0.01717182	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718
41	1	-73.94487	-76.58123	2.636364	0.02633933	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393
42	0	-73.3837	-76.38959	3.005889	0.01685133	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513
43	1	-73.22424	-76.16945	2.945207	0.01840942	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094
44	0	-73.62733	-76.68339	3.056057	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632
45	1	-73.28839	-76.26444	2.976051	0.01761746	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175
46	0	-73.6151	-76.6691	3.054	0.01561602	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616
47	1	-73.84125	-76.92883	3.087581	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538
48	0	-73.57391	-76.2901	2.71619	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897
49	1	-73.4811	-76.50988	3.028778	0.01626364	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636
50	0	-73.38297	-76.38867	3.005695	0.01685631	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563
51	1	-73.4811	-76.50988	3.028778	0.01626364	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636
52	0	-73.19087	-76.06798	2.877107	0.02015796	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158
53	1	-73.20944	-76.14386	2.934415	0.01868651	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865
54	0	-73.37336	-76.37648	3.003112	0.01692263	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226
55	1	-73.20985	-76.14461	2.934758	0.01867771	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777
56	0	-73.69287	-76.381	2.688127	0.02501027	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103
57	1	-73.33292	-76.32426	2.991336	0.01722499	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225
58	0	-73.23265	-76.06912	2.83647	0.02120137	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014
59	1	-73.86409	-76.95465	3.090553	0.01467748	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775
60	0	-74.13563	-76.73722	2.601591	0.02723218	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322
61	1	-73.86409	-76.95465	3.090553	0.01467748	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775
62	0	-73.68232	-76.37282	2.690497	0.02494939	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494
63	1	-73.80695	-76.88995	3.082997	0.01487148	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715
64	0	-73.68232	-76.37282	2.690497	0.02494939	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494
65	1	-73.20621	-76.13782	2.931606	0.01875864	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586
66	0	-73.792	-76.87295	3.080951	0.01492403	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924
67	1	-73.20621	-76.13782	2.931606	0.01875864	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586
68	0	-74.16329	-77.28806	3.124772	0.01379886	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989	0.0137989
69	1	-73.1871	-76.07493	2.887833	0.01988257	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826
70	0	-73.84791	-76.93637	3.088455	0.01473136	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314	0.0147314
71	1	-73.1871	-76.07493	2.887833	0.01988257	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826	0.0198826
72	0	-73.38676	-76.39345	3.006693	0.01683068	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307
73	1	-73.26117	-76.226	2.964827	0.01790566	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057	0.0179057
74	0	-73.38676	-76.39345	3.006693	0.01683068	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307	0.0168307
75	1	-73.23625	-76.18865	2.952401	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247	0.0182247
76	0	-73.28808	-76.09511	2.807028	0.02195733	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573	0.0219573
77	1	-73.46689	-76.21163	2.744747	0.02355647	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565	0.0235565
78	0	-74.65724	-77.17495	2.517705	0.02938605	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386	0.029386
79	1	-74.04402	-76.66194	2.617922	0.02681285	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129	0.0268129
80	0	-74.00645	-76.63126	2.624807	0.02663606	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361	0.0266361
81	1	-73.40753	-76.41952	3.011991	0.01669466	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947	0.0166947
82	0	-74.11198	-76.71773	2.605748	0.02712544	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254	0.0271254
83	1	-73.29396	-76.09837	2.804412	0.02202449	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245	0.0220245
84	0	-73.43248	-76.45047	3.017997	0.01654046	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405
85	1	-73.2495	-76.07581	2.826316	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621	0.0214621
86	0	-73.43248	-76.45047	3.017997	0.01654046	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405
87	1	-74.29202	-76.86703	2.575008	0.02791471	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147	0.0279147
88	0	-73.43248	-76.45047	3.017997	0.01654046	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405
89	1	-73.4237	-76.18128	2.757576	0.02322707	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271
90	0	-73.43248	-76.45047	3.017997	0.01654046	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405	0.0165405
91	1	-73.4237	-76.18128	2.757576	0.02322707	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271	0.0232271
92	0	-73.44708	-76.19759	2.750516	0.02340834	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083	0.0234083
93	1	-73.20811	-76.1414	2.933286	0.01871552	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155	0.0187155
94	0	-73.24305	-76.19911	2.956067	0.01813058	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306	0.0181306
95	1	-73.57582	-76.62297	3.047152	0.01579186	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919	0.0157919
96	0	-73.23942	-76.07163	2.832208	0.02131079	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108	0.0213108
97	1	-73.32629	-76.31552	2.989238	0.01727886	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789	0.0172789
98	0	-73.53042	-76.56913	3.038712	0.01600857	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086
99	1	-73.18888	-76.07054	2.881661	0.02004103	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041
100	0	-73.53042	-76.56913	3.038712	0.01600857	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086	0.0160086
101	1	-73.18888	-76.07054	2.881661	0.02004103	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041	0.020041
102	0	-73.89407	-76.54024	2.646172	0.02608751	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875	0.0260875
103	1	-73.25133	-76.07662	2.825289	0.02148845	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884	0.0214884
104	0	-73.18857	-76.07109	2.882528	0.02001878	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188	0.0200188
105	1	-73.60936	-76.31686	2.707494	0.02451298	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513	0.024513
106	0	-73.46733	-76.49316	3.025834	0.01633922	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392	0.0163392
107	1	-73.188	-76.09365	2.905654	0.01942499	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425	0.019425
108	0	-73.33487	-76.32681	2.991942	0.01720944	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094
109	1	-73.31951	-76.11324	2.793731	0.02229875	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987
110	0	-73.33487	-76.32681	2.991942	0.01720944	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094	0.0172094
111	1	-73.31951	-76.11324	2.793731	0.02229875	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987
112	0	-73.18651	-76.08476	2.898243	0.01961526	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153
113	1	-73.31951	-76.11324	2.793731	0.02229875	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987	0.0222987
114	0	-73.18651	-76.08476	2.898243	0.01961526	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153	0.0196153
115	1	-73.2538	-76.07773	2.823936	0.02152321	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232	0.0215232
116	0	-74.32615	-76.89555	2.569394	0.02805888	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589	0.0280589
117	1	-73.18903	-76.09761	2.908582	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498	0.0193498
118	0	-73.54629	-76.58802	3.041733	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931	0.015931
119	1	-73.28121	-76.25447	2.973265	0.01768899	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689	0.017689
120	0	-73.23961	-76.07171	2.832093	0.02131376	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138
121	1	-73.1902	-76.10147	2.911271	0.01928075	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808	0.0192808
122	0	-73.23961	-76.07171	2.832093	0.02131376	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138	0.0213138
123	1	-73.87696	-76.52649	2.649537	0.02600111	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011	0.0260011
124	0	-73.47856	-76.50679	3.028239	0.01627747	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775	0.0162775
125	1	-73.29429	-76.09855	2.804268	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282	0.0220282
126	0	-73.40569	-76.16891	2.763225	0.02308203	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082	0.023082
127	1	-73.73978	-76.4176	2.677822	0.02527484	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748	0.0252748
128	0	-73.3145	-76.11025	2.795747	0.02224697	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247
129	1	-77.40187	-79.57757	2.175698	0.03816749	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675	0.0381675
130	0	-73.3145	-76.11025	2.795747	0.02224697	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247	0.022247
131	1	-74.22365	-76.8101	2.586447	0.02762102	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621	0.027621
132	0	-74.7654	-77.26712	2.501721	0.02979646	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965	0.0297965
133	1	-73.73772	-76.41598	2.678268	0.02526341	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634	0.0252634
134	0	-73.18637	-76.0823	2.895924	0.01967481	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748
135	1	-73.5747	-76.62165	3.046951	0.01579702	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797	0.015797
136	0	-73.18637	-76.0823	2.895924	0.01967481	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748
137	1	-73.28766	-76.26344	2.975776	0.01762453	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245	0.0176245
138	0	-73.18637	-76.0823	2.895924	0.01967481	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748	0.0196748
139	1	-73.22316	-76.06614	2.842976	0.02103432	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343	0.0210343
140	0	-73.25017	-76.07611	2.825937	0.02147183	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718	0.0214718
