Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-29.0901	-48.96558	19.87547	0.0210055	0.00768084	0.00246112	0.00945561	0.0105313	0.0205232	0.224431	0.709927	0.065642
1	-40.64191	-58.22309	17.58118	0.00450804	0.00768084	0.0615455	0.0257774	0.0105313	0.0205232	0.0595612	0.860843	0.0795962
2	-37.25789	-57.33197	20.07408	0.00450804	0.00768084	0.0416336	0.00213069	0.00520822	0.00539669	0.600588	0.346585	0.0528273
3	-36.79888	-57.47337	20.6745	0.00450804	0.00749984	0.0124299	0.00213069	0.0191766	0.00539669	0.0451664	0.107115	0.847718
4	-35.41433	-54.70194	19.28761	0.00458702	0.0581132	0.00295665	0.000389252	0.0153088	0.00539669	0.37806	0.0674783	0.554462
5	-38.43377	-55.73598	17.30221	0.0392612	0.00159379	0.0426069	0.0252866	0.0192611	0.00971978	0.563065	0.100499	0.336437
6	-40.00573	-57.54741	17.54169	0.0392612	0.00159379	0.0426069	0.0303159	0.0080829	0.00971978	0.154919	0.335819	0.509262
7	-40.39026	-57.32609	16.93583	0.0392612	0.00159379	0.0426069	0.00745393	0.000210659	0.05601	0.638857	0.266598	0.0945452
8	-32.14191	-49.77969	17.63778	0.0408056	0.0288185	0.0426069	0.00897263	0.00550715	0.00240225	0.638857	0.266598	0.0945452
9	-32.433	-49.77762	17.34462	0.0408056	0.031747	0.0344237	0.0152327	0.00467394	0.0097574	0.824167	0.103607	0.0722259
10	-32.7362	-50.39526	17.65906	0.0408056	0.031747	0.0344237	0.0152327	0.00467394	0.00168378	0.427328	0.0537201	0.518952
11	-30.94818	-47.80873	16.86055	0.0408056	0.031747	0.0211222	0.00421496	0.00424364	0.0469359	0.697289	0.0876575	0.215053
12	-29.90054	-47.88845	17.9879	0.0167248	0.0346942	0.0116997	0.00421496	0.00585379	0.0469359	0.392011	0.176058	0.43193
