Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-30.27574	-48.40542	18.12968	0.0146845	0.0322442	0.0154923	0.00660162	0.0329415	0.0145189	0.495638	0.327969	0.176393
1	-30.30157	-48.58725	18.28568	0.0146845	0.0322442	0.0130346	0.0103011	0.0276943	0.0145189	0.516704	0.299406	0.18389
2	-28.60441	-46.76252	18.15811	0.014928	0.0195296	0.00194522	0.00878201	0.0276943	0.0428738	0.659781	0.188464	0.151755
3	-27.90917	-48.28491	20.37574	0.014928	0.0104125	0.00434578	0.00452895	0.0018067	0.0227907	0.493055	0.140839	0.366105
4	-26.31028	-45.27024	18.95996	0.0246632	0.0227322	0.00400203	0.00702642	0.0139498	0.0227907	0.967532	0.00902019	0.0234476
5	-30.08256	-49.72888	19.64632	0.0246632	0.00510907	0.00400203	0.00702642	0.0139498	0.0227907	0.232344	0.172913	0.594743
6	-37.34186	-51.60575	14.26389	0.0246632	0.0455247	0.0136399	0.0204346	0.0139498	0.0975296	0.0752252	0.562809	0.361965
7	-35.96317	-52.43204	16.46887	0.0266471	0.00765292	0.0136399	0.0204346	0.0139498	0.076802	0.0905577	0.677522	0.23192
8	-28.36691	-47.98571	19.6188	0.0471412	0.00760892	0.00120019	0.00376881	0.0162368	0.00229208	0.264999	0.0563331	0.678668
9	-31.94713	-49.35651	17.40938	0.0373174	0.00522657	0.00120019	0.00657965	0.0161183	0.0685355	0.533313	0.113371	0.353316
10	-31.23763	-47.18996	15.95233	0.0373174	0.0210429	0.00120019	0.0167997	0.0274932	0.0685355	0.539775	0.113957	0.346268
11	-29.84839	-46.7319	16.88351	0.0351933	0.0180989	0.00120019	0.0132787	0.0104255	0.0702833	0.727802	0.153653	0.118545
12	-27.04056	-46.52167	19.48111	0.0351933	0.0315596	0.00120019	0.00721438	0.00212099	0.00449487	0.312508	0.167696	0.519796
13	-28.08409	-48.62493	20.54084	0.0291712	0.0107968	0.00477999	0.00721438	0.00212099	0.000490172	0.0815166	0.584928	0.333556
14	-29.59081	-48.19486	18.60405	0.0187016	0.0350203	0.00477999	0.00721438	0.0380027	0.000583976	0.127652	0.350012	0.522336
15	-29.72525	-49.15891	19.43365	0.0187016	0.0104981	0.00477999	0.0078545	0.0405838	0.000583976	0.0773266	0.861111	0.0615627
