Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	-81.25862	-84.67181	3.413193	0.006393316	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332
1	-79.73223	-83.11153	3.379301	0.007263534	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353
2	-77.24313	-80.54761	3.304477	0.009184738	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474
3	-74.51915	-77.67677	3.15762	0.01295546	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555
4	-73.42492	-76.44114	3.016216	0.01658618	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862
5	-73.24031	-76.19494	2.954622	0.01816766	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677
6	-73.24031	-76.19494	2.954622	0.01816766	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677
7	-73.37434	-76.37771	3.003377	0.01691584	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158
8	-73.37434	-76.37771	3.003377	0.01691584	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158
9	-73.30243	-76.10318	2.800755	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184
