Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
26	0	-134.7661	-177.4608	42.69476	0.005218562	0.0001418123	0.006033034	0.004580762	0.01080012	0.0206923	0.01065383	0.002496819	0.01443145	0.008963276	0.01150721	0.04746439	0.0921318	0.487952	0.327302	0.0926148
27	1	-135.5912	-176.08	40.48875	0.01015152	0.005400914	0.005380065	0.006263572	0.008721122	0.004870021	0.01509316	0.02246733	0.03507502	0.01049945	0.03441601	0.006171182	0.332801	0.282328	0.134675	0.250197
28	0	-135.0405	-175.6426	40.60216	0.005580352	0.0001418123	0.007303454	0.003828004	0.01080012	0.02084897	0.01536497	0.002957501	0.02419782	0.01276395	0.008607488	0.05100828	0.178335	0.169481	0.472914	0.17927
29	1	-134.0156	-175.1766	41.16104	0.01015152	0.005828612	0.009511747	0.007855314	0.006263987	0.007838958	0.01820252	0.02246733	0.03078837	0.008976267	0.02389349	0.006171182	0.392386	0.257114	0.122647	0.227852
30	0	-134.3514	-174.702	40.35054	0.005580352	0.0001808946	0.008626573	0.005297344	0.007524385	0.02572883	0.01850468	0.001747023	0.01851075	0.01454143	0.008607488	0.05100828	0.114791	0.10586	0.667374	0.111975
31	1	-131.6745	-172.5286	40.85414	0.003190284	0.007933141	0.0102125	0.007605349	0.004446811	0.01399364	0.02659798	0.01919829	0.0247971	0.005458848	0.02987134	0.00763863	0.26097	0.171003	0.0815708	0.486457
32	0	-132.6912	-173.4516	40.76041	0.005580352	0.0002707719	0.009417145	0.00491182	0.008970292	0.01590669	0.01850468	0.004616143	0.02166088	0.01240395	0.008607488	0.05100828	0.138726	0.199058	0.30886	0.353355
33	1	-129.7703	-170.57	40.79971	0.001990081	0.008803048	0.005932341	0.008066833	0.004446811	0.01958226	0.0167216	0.01919829	0.0271193	0.002473127	0.02987134	0.01727002	0.22428	0.146961	0.210693	0.418066
34	0	-131.4386	-174.3269	42.88832	0.003994635	0.000442244	0.009417145	0.008058906	0.01168993	0.007125581	0.01850468	0.00320982	0.01794967	0.01240395	0.008915428	0.03938289	0.137321	0.218241	0.305733	0.338705
35	1	-129.9228	-168.8996	38.97678	0.001878521	0.005864735	0.004885146	0.009559758	0.003463137	0.02098345	0.02552084	0.01467924	0.04472255	0.003525085	0.02623606	0.01794432	0.35006	0.0960181	0.258831	0.295091
36	0	-133.1594	-173.717	40.55755	0.003994635	0.0004059556	0.009944994	0.01244296	0.01982486	0.00614425	0.01911755	0.002658387	0.01147173	0.0183896	0.00900398	0.05043915	0.137321	0.218241	0.305733	0.338705
37	1	-129.0898	-168.7735	39.68374	0.001878521	0.006590507	0.005052628	0.0138062	0.002492006	0.01725014	0.02980661	0.01399792	0.03074444	0.003095476	0.02623606	0.02141399	0.49879	0.0911456	0.245696	0.164368
38	0	-131.3014	-170.5764	39.27501	0.002882865	0.0002992686	0.01395636	0.01244296	0.01393277	0.004971204	0.0287717	0.002535372	0.01147173	0.0239934	0.01446293	0.04663223	0.137321	0.218241	0.305733	0.338705
39	1	-127.6848	-169.1762	41.49142	0.001878521	0.006590507	0.006355799	0.008673198	0.002492006	0.01725014	0.02980661	0.01521906	0.02909877	0.003750158	0.01997711	0.01363367	0.191743	0.201656	0.363454	0.243147
40	0	-131.1495	-168.6651	37.51564	0.003659291	0.0003460512	0.02098978	0.01245956	0.008635565	0.004971204	0.03601751	0.003778642	0.0140308	0.01670531	0.01446293	0.05746374	0.196704	0.336834	0.283614	0.182848
41	1	-128.7258	-167.2089	38.48307	0.003684814	0.006590507	0.01168013	0.008778295	0.002492006	0.01725014	0.0268554	0.01975911	0.02909877	0.003750158	0.02037921	0.0337618	0.089445	0.227179	0.409455	0.273921
42	0	-132.6687	-165.7203	33.0516	0.003659291	0.0002181801	0.02098978	0.01851852	0.007419466	0.005539637	0.0342972	0.008296531	0.0146495	0.01670531	0.02264491	0.08414122	0.149168	0.255434	0.215075	0.380324
