Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-31.25565	-52.06378	20.80813	0.0305072	0.00159251	0.00584672	0.000156375	0.00866207	0.000945664	0.75157	0.243875	0.00455425
1	-35.71191	-52.46663	16.75472	0.0818003	0.0462027	0.00398929	0.000195268	0.00866207	0.0109372	0.217682	0.767976	0.0143416
2	-34.15335	-52.30535	18.152	0.0874766	0.00973189	0.00398929	0.000808324	0.00296661	0.0109372	0.386192	0.00109895	0.612709
3	-28.79615	-49.21127	20.41512	0.0135306	0.00973189	0.00414742	0.00939368	0.0100608	0.0109372	0.386192	0.00109895	0.612709
4	-33.96243	-53.14774	19.18531	0.0135306	0.00973189	0.0407699	0.00834909	0.0100608	0.00693615	0.353732	0.515413	0.130855
5	-39.66859	-57.4145	17.74591	0.00866143	0.024534	0.0407699	0.0353745	0.0100608	0.00693615	0.284767	0.601014	0.114219
6	-34.95337	-54.13226	19.17889	0.00866143	0.024534	0.0079073	0.0353745	0.0100608	0.00300535	0.251098	0.447501	0.301401
7	-33.44349	-52.09094	18.64745	0.00866143	0.024534	0.0105546	0.0218345	0.0364879	0.00111609	0.412073	0.0933017	0.494626
8	-51.57112	-66.17791	14.60679	0.00866143	0.128283	0.0105546	0.0218345	0.0364879	0.00111609	0.22321	0.123274	0.653517
9	-60.77211	-72.0988	11.32669	0.0166122	0.128283	0.0127666	0.0958923	0.0364879	0.00111609	0.62922	0.100793	0.269987
10	-49.22575	-62.88519	13.65944	0.0332314	0.128283	0.0127666	0.0200182	0.0364879	0.000474808	0.128742	0.816017	0.0552409
11	-40.22585	-56.12139	15.89554	0.0123239	0.0884756	0.0127666	0.00803432	0.0500272	0.00221962	0.227934	0.674264	0.0978022
12	-33.39411	-49.74692	16.35281	0.0103219	0.0337314	0.0127666	0.00803432	0.0465638	0.0506883	0.227934	0.674264	0.0978022
13	-30.12195	-50.5673	20.44534	0.0103219	0.0150936	0.0127666	0.00951131	0.0059964	0.00333567	0.366587	0.476117	0.157296
14	-37.65419	-58.69667	21.04248	0.0103219	0.00166069	0.0127666	0.00768914	0.0059964	0.00325858	0.0753368	0.921583	0.00308021
15	-43.34528	-58.57368	15.2284	0.0103219	0.00166069	0.0127666	0.0370006	0.0564067	0.0728203	0.748843	0.22054	0.0306171
16	-43.60405	-61.79418	18.19013	0.0101017	0.000571866	0.0127666	0.0370006	0.018184	0.0363061	0.253161	0.744141	0.002698
17	-44.37857	-61.95598	17.57741	0.0101017	0.000571866	0.0127666	0.0370006	0.0339163	0.0363061	0.159998	0.298695	0.541307
18	-40.88367	-56.77508	15.89141	0.0504244	8.31908e-05	0.0213487	0.0370006	0.0339163	0.03118	0.222018	0.409646	0.368336
19	-43.89181	-60.22931	16.33751	0.0504244	8.31908e-05	0.0213487	0.00407729	0.0553857	0.03118	0.4079	0.372017	0.220083
20	-43.95437	-61.18069	17.22632	0.03034	4.67157e-05	0.0213487	0.00137662	0.0553857	0.03118	0.251906	0.470029	0.278066
21	-37.15239	-57.28712	20.13473	0.03034	0.000533418	0.00711852	0.00137662	0.0220267	0.00360575	0.147819	0.344347	0.507833
22	-35.2627	-54.78514	19.52244	0.03034	0.000533418	0.00711852	0.0198146	0.0220267	0.00088889	0.346173	0.13748	0.516347
23	-40.90152	-60.83402	19.9325	0.00940484	0.000533418	0.00711852	0.0198146	0.0330196	0.000302432	0.12557	0.0667576	0.807673
24	-35.55444	-55.37877	19.82434	0.00940484	0.00274906	0.00711852	0.00380185	0.0495938	0.000302432	0.10494	0.220076	0.674984
25	-41.82154	-60.57253	18.751	0.00326049	0.00274906	0.00711852	0.00380185	0.0495938	0.0340061	0.147894	0.702298	0.149809
26	-46.89923	-59.85813	12.9589	0.0286263	0.0953909	0.00480898	0.0566071	0.0298095	0.0340061	0.25047	0.495817	0.253713
