Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-28.11039	-47.10771	18.99732	0.013529	0.017627	0.00465627	0.0057081	0.0272323	0.0254525	0.631425	0.141861	0.226713
1	-28.39553	-48.23462	19.8391	0.013529	0.0118911	0.000606649	0.00650886	0.00297119	0.0370848	0.474071	0.0347145	0.491214
2	-30.8311	-48.67872	17.84762	0.0138991	0.0118911	0.000606649	0.00225106	0.0579923	0.0370848	0.115667	0.665434	0.218899
3	-30.29906	-47.47232	17.17326	0.0222363	0.0133494	0.00141319	0.00225106	0.0579923	0.0437978	0.115667	0.665434	0.218899
4	-31.58631	-46.91226	15.32595	0.032168	0.050177	0.00141319	0.00292378	0.0579923	0.0437978	0.330019	0.39601	0.273972
5	-35.58147	-49.07395	13.49249	0.032168	0.050177	0.0235901	0.00442919	0.0813864	0.0437978	0.275803	0.583003	0.141194
6	-36.6159	-51.39034	14.77445	0.0566645	0.050177	0.0235901	0.00411294	0.0242904	0.0437978	0.275803	0.583003	0.141194
7	-35.72242	-51.352	15.62958	0.0566645	0.0474407	0.00323246	0.0248595	0.0242904	0.0241886	0.393309	0.405341	0.20135
8	-32.96867	-50.61091	17.64224	0.0234005	0.0474407	0.000743623	0.0248595	0.0242904	0.00826378	0.142034	0.381525	0.476441
9	-31.90155	-50.3822	18.48065	0.0234005	0.0213253	0.0326288	0.0131941	0.01412	0.00280269	0.219381	0.589287	0.191332
10	-29.2488	-47.45653	18.20772	0.0358432	0.0291223	0.0326288	0.000215736	0.01412	0.00254908	0.731219	0.186083	0.0826985
11	-26.10815	-45.18698	19.07883	0.0231636	0.0243657	0.00425631	0.00236632	0.01412	0.0238406	0.689827	0.214739	0.0954337
12	-29.52366	-47.01293	17.48927	0.0231636	0.0134007	0.010885	0.00612145	0.0555149	0.0238406	0.524267	0.32936	0.146373
13	-26.65996	-46.69076	20.0308	0.035798	0.0134007	0.00481461	0.00673706	0.00439785	0.00252126	0.35187	0.549889	0.0982409
14	-29.0883	-47.84034	18.75204	0.035798	0.0134007	0.0231654	0.00335984	0.020549	0.00423017	0.35187	0.549889	0.0982409
15	-32.68093	-50.12566	17.44473	0.0393699	0.0134007	0.0231654	0.0315093	0.020549	0.00607578	0.795325	0.171898	0.0327774
16	-37.67824	-53.16764	15.48939	0.0393699	0.0134007	0.0272577	0.0315093	0.020549	0.052189	0.0850528	0.579175	0.335772
17	-32.18287	-50.35642	18.17355	0.0136142	0.0134007	0.0272577	0.00588785	0.020549	0.0346472	0.500583	0.449431	0.0499858
18	-29.06561	-47.90674	18.84112	0.0324545	0.0149508	0.00094872	0.0256853	0.00456574	0.0196106	0.564688	0.405018	0.0302938
19	-29.16915	-48.19039	19.02123	0.0324545	0.0149508	0.00150211	0.0234121	0.00456574	0.016706	0.339807	0.243724	0.416469
20	-29.5677	-47.54687	17.97918	0.0324545	0.0149508	0.0112619	0.0027695	0.0422046	0.016706	0.125569	0.456755	0.417676
