old_label,new_label
Psy_variegata,Psychotria_variegata
Pal_glabra,Palicourea_glabra
Psy_ulviformis,Psychotria_ulviformis
Pal_callithrix,Palicourea_callithrix
Pal_aeneofusca,Palicourea_aeneofusca
Pal_marcgravii,Palicourea_marcgravii
Pal_longiflora,Palicourea_longiflora
Pal_amapaensis,Palicourea_amapaensis
Pal_grandiflora,Palicourea_grandiflora
Pal_macarthurorum,Palicourea_macarthurorum
Pal_nigricans,Palicourea_nigricans
Pal_calophylla,Palicourea_calophylla
Pal_triphylla,Palicourea_triphylla
Pal_subspicata,Palicourea_subspicata
Pal_crocea,Palicourea_crocea
Pal_croceoides,Palicourea_croceoides
Pal_guianensis2,Palicourea_guianensis2
Pal_macrobotrys,Palicourea_macrobotrys
Pal_lachnantha,Palicourea_lachnantha
Pal_lasiantha,Palicourea_lasiantha
Pal_mansoana,Palicourea_mansoana
Pal_officinalis,Palicourea_officinalis
Pal_nitidella,Palicourea_nitidella
Pal_guianensis1,Palicourea_guianensis
Pal_rigida,Palicourea_rigida
Pal_aschersoniana,Palicourea_aschersoniana
Pal_petiolaris,Palicourea_petiolaris
Psy_everardii,Psychotria_everardii
Pal_laxivenulosa,Palicourea_laxivenulosa
Psy_bertieroides,Psychotria_bertieroides
Psy_venulosa,Psychotria_venulosa
Pal_deflexa,Palicourea_deflexa
Pal_egensis,Palicourea_egensis
Pal_polycephala,Palicourea_polycephala
Psy_limitanea,Psychotria_limitanea
Pal_woronovii,Palicourea_woronovii
Psy_oinochrophylla,Psychotria_oinochrophylla
Pal_bangii,Palicourea_bangii
Pal_flavifolia,Palicourea_flavifolia
Pal_reticulata,Palicourea_reticulata
Pal_boqueronensis,Palicourea_boqueronensis
Pal_topoensis,Palicourea_topoensis
Pal_valerioana,Palicourea_valerioana
Pal_brevicollis,Palicourea_brevicollis
Pal_minutiflora,Palicourea_minutiflora
Pal_racemosa,Palicourea_racemosa
Pal_stenostachya,Palicourea_stenostachya
Pal_subfusca,Palicourea_subfusca
Pal_obliquinervia,Palicourea_obliquinervia
Psy_pseudinundata,Psychotria_pseudinundata
Psy_stipulosa,Psychotria_stipulosa
