,spp1,spp2
124,Palicourea_apicata,Palicourea_justiciifolia
125,Palicourea_loxensis,Palicourea_justiciifolia
126,Palicourea_angustifolia,Palicourea_justiciifolia
127,Palicourea_tetragona,Palicourea_justiciifolia
128,Palicourea_domingensis,Palicourea_justiciifolia
129,Palicourea_pubescens,Palicourea_justiciifolia
130,Palicourea_correae,Palicourea_justiciifolia
131,Palicourea_elata,Palicourea_justiciifolia
132,Palicourea_berteroana,Palicourea_justiciifolia
133,Palicourea_petiolaris,Palicourea_justiciifolia
134,Palicourea_timbiquensis,Palicourea_justiciifolia
135,Palicourea_acanthacea,Palicourea_justiciifolia
136,Palicourea_brachiata,Palicourea_justiciifolia
137,Palicourea_glomerulata,Palicourea_justiciifolia
138,Palicourea_conephoroides,Palicourea_justiciifolia
139,Palicourea_tinctoria,Palicourea_justiciifolia
140,Palicourea_jelskii,Palicourea_justiciifolia
141,Palicourea_allenii,Palicourea_justiciifolia
142,Palicourea_cyanococca,Palicourea_justiciifolia
143,Palicourea_hazenii,Palicourea_justiciifolia
144,Palicourea_tomentosa,Palicourea_justiciifolia
145,Psychotria_rosea,Palicourea_justiciifolia
146,Psychotria_suterella,Palicourea_justiciifolia
147,Palicourea_brachypoda,Palicourea_justiciifolia
148,Palicourea_sessilis,Palicourea_justiciifolia
149,Palicourea_divaricata,Palicourea_justiciifolia
150,Palicourea_racemosa,Palicourea_justiciifolia
151,Palicourea_subfusca,Palicourea_justiciifolia
152,Palicourea_topoensis,Palicourea_justiciifolia
153,Palicourea_brevicollis,Palicourea_justiciifolia
154,Palicourea_ostreophora,Palicourea_ostreophora
155,Palicourea_quadrifolia,Palicourea_ostreophora
156,Palicourea_corymbifera,Palicourea_ostreophora
157,Palicourea_winkleri,Palicourea_ostreophora
158,Palicourea_dichotoma,Palicourea_ostreophora
159,Palicourea_gracilenta,Palicourea_ostreophora
160,Palicourea_obliquinervia,Palicourea_ostreophora
161,Palicourea_prunifolia,Palicourea_ostreophora
162,Palicourea_callithrix,Palicourea_ostreophora
163,Palicourea_glabra,Palicourea_ostreophora
164,Palicourea_acuminata,Palicourea_ostreophora
165,Palicourea_andina,Palicourea_ostreophora
166,Palicourea_didymocarpos,Palicourea_ostreophora
167,Palicourea_rhodothamna,Palicourea_ostreophora
168,Palicourea_triphylla,Palicourea_ostreophora
169,Palicourea_croceoides,Palicourea_ostreophora
170,Palicourea_crocea,Palicourea_ostreophora
171,Palicourea_lasiantha,Palicourea_ostreophora
172,Palicourea_nitidella,Palicourea_ostreophora
173,Palicourea_macrobotrys,Palicourea_ostreophora
174,Palicourea_guianensis,Palicourea_ostreophora
175,Palicourea_marcgravii,Palicourea_ostreophora
176,Palicourea_grandiflora,Palicourea_ostreophora
177,Palicourea_rigida,Palicourea_ostreophora
178,Palicourea_egensis,Palicourea_ostreophora
179,Palicourea_polycephala,Palicourea_ostreophora
180,Palicourea_deflexa,Palicourea_ostreophora
181,Palicourea_woronovii,Palicourea_ostreophora
182,Palicourea_bangii,Palicourea_ostreophora
183,Palicourea_flavifolia,Palicourea_ostreophora
184,Palicourea_reticulata,Palicourea_ostreophora
185,Palicourea_stipularis,Palicourea_ostreophora
186,Palicourea_flavescens,Palicourea_ostreophora
187,Palicourea_stenosepala,Palicourea_ostreophora
188,Palicourea_lineata,Palicourea_ostreophora
189,Palicourea_padifolia,Palicourea_ostreophora
190,Palicourea_lehmannii,Palicourea_ostreophora
191,Palicourea_thyrsiflora,Palicourea_ostreophora
192,Palicourea_demissa,Palicourea_ostreophora
193,Palicourea_amethystina,Palicourea_ostreophora
194,Palicourea_standleyana,Palicourea_ostreophora
195,Palicourea_seemannii,Palicourea_ostreophora
196,Palicourea_pyramidalis,Palicourea_ostreophora
197,Palicourea_luteonivea,Palicourea_ostreophora
198,Palicourea_sulphurea,Palicourea_ostreophora
199,Palicourea_apicata,Palicourea_ostreophora
200,Palicourea_loxensis,Palicourea_ostreophora
201,Palicourea_angustifolia,Palicourea_ostreophora
202,Palicourea_tetragona,Palicourea_ostreophora
203,Palicourea_domingensis,Palicourea_ostreophora
204,Palicourea_pubescens,Palicourea_ostreophora
205,Palicourea_correae,Palicourea_ostreophora
206,Palicourea_elata,Palicourea_ostreophora
207,Palicourea_berteroana,Palicourea_ostreophora
208,Palicourea_petiolaris,Palicourea_ostreophora
209,Palicourea_timbiquensis,Palicourea_ostreophora
210,Palicourea_acanthacea,Palicourea_ostreophora
211,Palicourea_brachiata,Palicourea_ostreophora
212,Palicourea_glomerulata,Palicourea_ostreophora
213,Palicourea_conephoroides,Palicourea_ostreophora
214,Palicourea_tinctoria,Palicourea_ostreophora
215,Palicourea_jelskii,Palicourea_ostreophora
216,Palicourea_allenii,Palicourea_ostreophora
217,Palicourea_cyanococca,Palicourea_ostreophora
218,Palicourea_hazenii,Palicourea_ostreophora
219,Palicourea_tomentosa,Palicourea_ostreophora
220,Psychotria_rosea,Palicourea_ostreophora
221,Psychotria_suterella,Palicourea_ostreophora
222,Palicourea_brachypoda,Palicourea_ostreophora
223,Palicourea_sessilis,Palicourea_ostreophora
224,Palicourea_divaricata,Palicourea_ostreophora
225,Palicourea_racemosa,Palicourea_ostreophora
226,Palicourea_subfusca,Palicourea_ostreophora
227,Palicourea_topoensis,Palicourea_ostreophora
228,Palicourea_brevicollis,Palicourea_ostreophora
229,Palicourea_quadrifolia,Palicourea_quadrifolia
230,Palicourea_corymbifera,Palicourea_quadrifolia
231,Palicourea_winkleri,Palicourea_quadrifolia
232,Palicourea_dichotoma,Palicourea_quadrifolia
233,Palicourea_gracilenta,Palicourea_quadrifolia
234,Palicourea_obliquinervia,Palicourea_quadrifolia
235,Palicourea_prunifolia,Palicourea_quadrifolia
236,Palicourea_callithrix,Palicourea_quadrifolia
237,Palicourea_glabra,Palicourea_quadrifolia
238,Palicourea_acuminata,Palicourea_quadrifolia
