"species","ID","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_12","elev"
"Palicourea_acanthacea",0,1.28738739100857,1.44916297573688,1.3792692486435,3.3406423775607,1370
"Palicourea_acanthacea",0.301029995663981,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
"Palicourea_acanthacea",0.477121254719662,1.37877707160725,1.48825662227159,1.46299662571981,3.38792346697344,346
"Palicourea_acanthacea",0.602059991327962,1.3968021211422,1.49173012697809,1.47677367765397,3.41979058610636,161
"Palicourea_acanthacea",0.698970004336019,1.38875671991541,1.48829020806125,1.47199541248008,3.46731206298055,223
"Palicourea_acanthacea",0.778151250383644,1.37912792726512,1.48498525428602,1.46408697335374,3.45270622651103,338
"Palicourea_acanthacea",0.845098040014257,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
"Palicourea_acanthacea",0.903089986991944,1.36978696603547,1.75247487580955,1.45347123139037,3.25261034056737,422
"Palicourea_acanthacea",0.954242509439325,1.38875671991541,1.48829020806125,1.47199541248008,3.46731206298055,223
"Palicourea_acanthacea",1,1.3968021211422,1.49173012697809,1.47677367765397,3.41979058610636,161
"Palicourea_acanthacea",1.04139268515823,1.3968021211422,1.49173012697809,1.47677367765397,3.41979058610636,161
"Palicourea_acanthacea",1.07918124604762,1.29037783780317,1.44696353240148,1.38131368797846,3.33264041038746,1343
"Palicourea_acanthacea",1.11394335230684,1.33727618570444,1.44915031304017,1.42360626022701,3.36172783601759,833
"Palicourea_acanthacea",1.14612803567824,1.29037783780317,1.44696353240148,1.38131368797846,3.33264041038746,1343
"Palicourea_acanthacea",1.17609125905568,0.909040956833578,1.5225058106933,1.12323078118923,3,3561
"Palicourea_acanthacea",1.20411998265592,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.23044892137827,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.25527250510331,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.27875360095283,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.30102999566398,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
"Palicourea_acanthacea",1.32221929473392,1.40686577895142,1.50628545615315,1.48291643775855,3.41480627950101,72
"Palicourea_acanthacea",1.34242268082221,1.40686577895142,1.50628545615315,1.48291643775855,3.41480627950101,72
"Palicourea_acanthacea",1.36172783601759,1.38628787015534,1.49317344113254,1.46658590663175,3.34537373055909,266
"Palicourea_acanthacea",1.38021124171161,1.4103806985196,1.50299059560959,1.48521020640528,3.40329214515825,40
"Palicourea_acanthacea",1.39794000867204,1.34539253353244,1.68529313853807,1.4355258551451,3.36097188372594,653
"Palicourea_acanthacea",1.41497334797082,1.40686577895142,1.50628545615315,1.48291643775855,3.41480627950101,72
"Palicourea_acanthacea",1.43136376415899,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.44715803134222,1.36290559331394,1.56161813096508,1.44731311237238,3.28780172993023,504
"Palicourea_acanthacea",1.46239799789896,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
"Palicourea_acanthacea",1.47712125471966,1.39334337047018,1.53136000803541,1.47304879505468,3.3384564936046,178
"Palicourea_acanthacea",1.49136169383427,1.40686577895142,1.50628545615315,1.48291643775855,3.41480627950101,72
"Palicourea_acanthacea",1.50514997831991,1.3968021211422,1.49173012697809,1.47677367765397,3.41979058610636,161
"Palicourea_acanthacea",1.51851393987789,1.2541148617223,1.55363684871616,1.37162193984947,3.37419825792908,1640
"Palicourea_acanthacea",1.53147891704226,1.36978696603547,1.75247487580955,1.45347123139037,3.25261034056737,422
"Palicourea_acanthacea",1.54406804435028,1.38737647746113,1.6761281493408,1.46667489693965,3.33685982091681,247
"Palicourea_acanthacea",1.55630250076729,1.30934355276107,1.55005336074275,1.40014065373552,3.3914644118391,1083
"Palicourea_acanthacea",1.568201724067,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
"Palicourea_acanthacea",1.57978359661681,1.39051780839098,1.48575453760255,1.47171698972763,3.40277706961035,229
