Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
1020	-223.7709	-225.213	1.442099	0.7776163	0.03915828
1030	-222.8939	-223.9155	1.021583	0.4825374	0.04786661
1040	-222.7352	-224.0795	1.344292	0.6545543	0.04430728
1050	-223.7824	-224.6998	0.9174392	0.9545892	0.05497656
1060	-222.7916	-224.0018	1.210174	0.5287032	0.04436266
1070	-224.2313	-225.3143	1.083053	0.7053096	0.05773202
1080	-223.0947	-224.1331	1.038338	0.949317	0.04906886
1090	-224.7773	-225.2761	0.4987935	1.179136	0.05789798
1100	-222.8793	-224.0896	1.210318	0.6459387	0.05051071
1110	-226.1437	-227.3466	1.202897	1.063997	0.03499875
1120	-223.0706	-224.1115	1.040934	0.5110745	0.05059
1130	-223.9856	-224.9283	0.9427486	1.110429	0.04197787
1140	-223.8418	-224.4163	0.5745498	1.239496	0.04794961
1150	-223.4454	-224.8915	1.446124	0.7188894	0.04004642
1160	-223.11	-224.1381	1.02815	0.9684189	0.0482734
1170	-224.1797	-225.1809	1.001191	0.8476132	0.05746014
1180	-222.8196	-224.0428	1.223202	0.7447354	0.04960617
1190	-222.8754	-224.2541	1.378747	0.6772137	0.04299231
1200	-223.3167	-224.4737	1.156998	0.7082549	0.05359203
1210	-225.281	-225.0036	-0.2774118	1.657902	0.0477925
1220	-223.2044	-223.9033	0.6988738	0.4002284	0.04730304
1230	-223.3948	-224.1274	0.7325699	0.4195582	0.0504229
1240	-223.9538	-225.4146	1.46082	0.7741524	0.03851534
1250	-223.1687	-224.1584	0.9897545	0.4934319	0.05094961
1260	-222.9293	-224.088	1.158738	0.887136	0.04704802
1270	-223.7103	-224.7196	1.009369	0.4276823	0.03967706
1280	-223.2805	-224.4021	1.121534	0.7997185	0.05313114
1290	-223.3216	-224.4248	1.103232	0.9813527	0.04395862
1300	-225.3815	-225.2793	-0.1021375	1.492427	0.0568173
1310	-224.7169	-224.8884	0.1714228	1.378132	0.05463658
1320	-226.1182	-225.8144	-0.3037698	1.725287	0.04250945
1330	-224.3324	-225.4749	1.142532	1.027779	0.03940216
1340	-223.9959	-224.552	0.5561138	1.26931	0.04612664
1350	-223.0228	-224.2278	1.204935	0.5050969	0.04233165
1360	-222.6837	-223.9469	1.263185	0.650268	0.04798495
1370	-223.0403	-224.3739	1.333666	0.565805	0.04171552
1380	-222.9695	-223.9133	0.9438661	0.4579612	0.0477851
1390	-227.3556	-227.9548	0.5991302	1.387951	0.03492275
1400	-222.7285	-224.04	1.311504	0.7371965	0.04555284
1410	-224.923	-224.9296	0.006507998	1.461933	0.05429181
1420	-223.3156	-224.4191	1.103484	0.8194892	0.05324054
1430	-223.1033	-224.2868	1.183509	0.6865794	0.05228413
1440	-223.2574	-224.5933	1.335888	0.8283368	0.0418725
1450	-222.9584	-224.0941	1.135761	0.5612787	0.05052158
1460	-222.7868	-223.9927	1.205922	0.6007201	0.04930541
1470	-226.0654	-225.1057	-0.9596508	0.2264858	0.03791439
1480	-222.8551	-224.2244	1.369283	0.6407093	0.04299445
1490	-222.7368	-224.0813	1.344437	0.6840005	0.04451034
1500	-223.3245	-224.4377	1.113189	0.5832069	0.05314816
1510	-222.8947	-223.9156	1.020888	0.4656073	0.04542361
1520	-223.6214	-224.8069	1.185492	0.4730837	0.03947762
1530	-222.6757	-223.9961	1.320417	0.6653798	0.04549888
1540	-223.0146	-223.8959	0.8813025	0.4317409	0.0459054
1550	-223.4787	-224.8354	1.3567	0.8340896	0.04079475
1560	-223.5816	-223.911	0.3293905	0.3441305	0.04717297
1570	-222.7231	-223.9797	1.256581	0.6977969	0.04857763
1580	-225.3826	-224.9983	-0.3842662	1.670966	0.05172573
1590	-225.3364	-225.0781	-0.2582913	1.659386	0.04673978
1600	-224.8947	-225.5347	0.6399469	1.291889	0.04059599
1610	-223.8232	-224.8657	1.04251	0.4321996	0.03914795
1620	-223.7168	-224.6693	0.9524863	0.9306654	0.05481287
1630	-223.2204	-224.2347	1.014299	0.5080556	0.0515885
1640	-222.9603	-224.0838	1.123468	0.8845492	0.04888168
1650	-224.3349	-224.6376	0.3027058	1.385983	0.04716003
1660	-222.8709	-224.0381	1.167246	0.5760589	0.04992997
1670	-223.6057	-225.0189	1.41323	0.7928666	0.03989034
1680	-223.2987	-224.2072	0.9085272	1.031956	0.04946494
1690	-223.6179	-225.0723	1.454335	0.6194352	0.03902722
1700	-224.7927	-224.9374	0.1447799	1.388285	0.05497133
1710	-222.6585	-223.9321	1.273654	0.6318217	0.04710546
1720	-225.0404	-224.9252	-0.1152735	1.527628	0.05349466
1730	-223.5019	-224.4051	0.9031813	0.9941005	0.05269805
1740	-222.664	-223.9728	1.308805	0.6736552	0.04609001
1750	-222.6915	-224.0185	1.326965	0.6482004	0.04498738
1760	-225.7148	-225.2049	-0.5098374	1.770016	0.04747736
1770	-222.7687	-223.8994	1.130717	0.514817	0.04664241
1780	-223.8829	-224.0256	0.1427192	0.31397	0.04337454
1790	-222.8726	-224.0719	1.199342	0.7784069	0.04989223
1800	-223.2394	-224.0339	0.7945247	0.4294295	0.04956673
1810	-223.2315	-224.4241	1.192627	0.489613	0.04116325
1820	-223.0935	-224.1893	1.095792	0.4677391	0.04244471
1830	-224.0288	-224.4672	0.4384406	1.288528	0.04998577
1840	-222.9928	-224.1152	1.122433	0.8657586	0.04995825
1850	-222.9525	-224.1332	1.180639	0.5014664	0.04298452
1860	-223.0562	-224.1302	1.073937	0.528319	0.05079875
1870	-223.6648	-224.548	0.8831999	1.114343	0.0442526
1880	-223.5552	-224.3423	0.7871046	1.083013	0.0513934
1890	-222.9167	-224.2455	1.328788	0.7818282	0.04373709
1900	-223.7319	-224.6873	0.9553196	0.5045853	0.05426613
1910	-224.3492	-224.7746	0.4253981	1.250158	0.05454102
1920	-223.3241	-224.0011	0.677064	0.3829416	0.04377174
1930	-222.9819	-224.1724	1.19051	0.7444892	0.05126009
1940	-226.5442	-226.4105	-0.1337104	1.675332	0.03988946
1950	-223.1861	-224.0856	0.8994809	0.4593427	0.05019783
1960	-222.9612	-224.0825	1.121265	0.8925103	0.04854068
1970	-225.5178	-226.1272	0.609324	1.329502	0.03886899
1980	-223.8824	-224.984	1.101562	0.7291977	0.05635299
1990	-224.3407	-224.6156	0.274874	1.393055	0.04780109
2000	-223.061	-224.208	1.146966	0.9252572	0.04544236
2010	-226.5815	-225.5029	-1.07869	2.006893	0.05051614
2020	-222.9707	-223.9748	1.004101	0.4538609	0.04433226
2030	-222.7729	-223.9778	1.20488	0.5945003	0.04907034
2040	-222.9008	-224.2843	1.383492	0.6775632	0.04279009
2050	-223.3935	-224.8352	1.44177	0.7158334	0.0402505
2060	-223.2682	-224.2329	0.9647109	1.032225	0.04674263
2070	-225.4677	-225.1889	-0.2788267	1.677653	0.04589199
2080	-224.8515	-225.5273	0.6758345	1.274414	0.04051981
2090	-224.7308	-225.3853	0.6545041	1.084638	0.05852061
2100	-222.8534	-224.0438	1.190426	0.8177497	0.04887985
2110	-223.4636	-224.2978	0.8341175	1.059439	0.05098641
2120	-225.4943	-225.5666	0.07229257	1.550971	0.042229
2130	-224.0966	-225.4311	1.334469	0.8981253	0.03896114
2140	-224.2602	-225.2031	0.9428694	0.5174677	0.05661313
2150	-223.2808	-224.203	0.9222061	1.021366	0.04960755
2160	-224.5575	-225.6311	1.073595	1.074747	0.039128
2170	-223.2224	-224.3793	1.156827	0.6294858	0.05287559
2180	-226.2981	-226.4068	0.1086469	1.568038	0.03928666
2190	-222.7717	-224.0118	1.240143	0.6806953	0.04939628
2200	-226.7766	-225.6821	-1.094466	1.970844	0.05542916
2210	-222.8367	-224.0392	1.202555	0.8344342	0.04757836
2220	-225.1808	-225.6161	0.4352309	1.198636	0.05951879
2230	-223.7982	-224.6886	0.8904406	0.9750578	0.05487872
2240	-223.9415	-224.442	0.500512	1.271658	0.04854308
2250	-223.1559	-224.1843	1.028427	0.9355387	0.05048101
2260	-224.4215	-224.727	0.3054876	1.395616	0.0461196
2270	-223.0634	-223.9977	0.9342762	0.4639477	0.04925724
2280	-223.9028	-224.9357	1.032967	0.8360873	0.0562847
2290	-222.6833	-223.919	1.235703	0.5899189	0.04736216
2300	-223.8756	-225.3457	1.470172	0.7512209	0.03863701
2310	-223.3394	-224.385	1.04556	0.445536	0.04121655
2320	-222.7106	-224.0434	1.332788	0.6419852	0.04461706
2330	-223.9234	-224.5598	0.6364195	0.3635954	0.04016422
2340	-222.7655	-224.0818	1.316231	0.5942697	0.04388965
2350	-223.4681	-224.3986	0.9305467	0.9750841	0.05271931
2360	-224.6427	-225.288	0.6453067	1.278059	0.04148154
2370	-223.9762	-224.49	0.5137427	1.278539	0.04727018
2380	-223.1111	-224.1807	1.069557	0.898938	0.05072947
2390	-223.5009	-224.4091	0.9082543	1.087652	0.04517526
2400	-222.8092	-224.024	1.214838	0.8121219	0.04792602
2410	-222.6552	-223.9517	1.29656	0.6597104	0.04653895
2420	-223.4847	-224.7686	1.283882	0.8899871	0.04137712
2430	-223.3652	-224.3034	0.9382852	0.9829967	0.05171797
2440	-224.9875	-225.086	0.09845467	1.512928	0.04454771
2450	-224.3224	-224.777	0.4545444	1.335596	0.04482945
2460	-223.0208	-224.1657	1.144939	0.8221045	0.05096315
2470	-223.1606	-223.9854	0.8247755	0.4337869	0.04900182
2480	-223.2295	-224.3789	1.149424	0.7612633	0.05297822
2490	-222.6615	-223.9392	1.277709	0.6502541	0.04729282
2500	-223.2443	-224.6391	1.394806	0.7668404	0.04132251
2510	-228.8549	-228.47	-0.3848687	1.528255	0.069956
2520	-224.8843	-225.7826	0.8982435	0.5139878	0.05873968
2530	-222.8639	-224.0682	1.204351	0.7707206	0.04987905
2540	-223.8077	-224.6077	0.8000297	1.161172	0.04426175
2550	-222.7613	-224.0344	1.273059	0.5636617	0.04419
2560	-223.9911	-224.8793	0.8881746	1.135967	0.04239581
2570	-223.3951	-224.4374	1.042299	0.8797998	0.0533006
2580	-225.0402	-224.9633	-0.07695035	1.502945	0.05420497
2590	-223.9181	-224.7044	0.7862858	0.448927	0.05411685
2600	-222.7792	-224.0127	1.233571	0.6550342	0.04950197
2610	-222.8618	-224.081	1.219152	0.8451674	0.04631831
2620	-223.5695	-224.4823	0.9128666	0.4807557	0.05308392
2630	-223.9898	-224.4651	0.475301	1.287295	0.04829282
2640	-223.7132	-224.4574	0.7441388	1.09404	0.05265937
2650	-223.2305	-224.3218	1.091296	0.9767	0.04478668
2660	-222.7342	-223.9065	1.172299	0.5420767	0.04723984
2670	-222.9831	-224.0775	1.094331	0.533859	0.05031165
2680	-222.7091	-223.9943	1.28513	0.7422142	0.04667707
2690	-223.3612	-224.3139	0.9527143	1.052551	0.04579469
2700	-224.0688	-223.9177	-0.1510809	0.2938284	0.04685713
2710	-223.252	-224.2479	0.9958799	0.5011336	0.05166398
2720	-225.0959	-226.6509	1.555022	0.6097308	0.03504063
2730	-224.8848	-225.7503	0.8654632	0.928529	0.05996279
2740	-224.0392	-224.3339	0.2947357	0.3243462	0.04116694
2750	-224.6622	-226.1918	1.529597	0.750827	0.03641465
2760	-223.0914	-224.4269	1.33544	0.5620132	0.04142055
2770	-222.7345	-224.0396	1.305102	0.7464855	0.04567039
2780	-223.0461	-224.2371	1.191047	0.6842134	0.05188955
2790	-222.8775	-224.1016	1.22415	0.8479103	0.04596307
2800	-223.9074	-224.5435	0.6360657	1.150735	0.05313643
2810	-224.2075	-225.0331	0.8255311	0.4681607	0.05569262
2820	-225.1729	-224.9082	-0.2647081	1.619905	0.05114964
2830	-223.9237	-225.1887	1.264975	0.9340225	0.03992665
2840	-223.2551	-224.1229	0.867751	0.4522728	0.05051243
2850	-222.9597	-224.1256	1.165942	0.8952421	0.04627088
2860	-223.1596	-224.1732	1.01354	0.9926739	0.04729178
2870	-225.6117	-225.0858	-0.5259314	1.741097	0.05132301
2880	-223.475	-224.3519	0.8768787	0.4643465	0.05223762
2890	-223.8448	-224.7045	0.8597087	0.9952272	0.0549474
