Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	-177.4574	-180.8402	3.382773	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715
1	-177.4574	-180.8402	3.382773	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715
2	-174.5973	-177.3918	2.794462	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776
3	-176.4713	-179.7522	3.280943	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079
4	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
5	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
6	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
7	-174.6638	-177.3294	2.665657	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462
8	-174.5965	-177.3589	2.762322	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138
9	-174.6307	-177.4835	2.852844	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809
10	-174.6307	-177.4835	2.852844	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809
11	-174.8391	-177.4023	2.563179	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457
12	-175.0998	-178.1529	3.053072	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431
13	-175.5901	-178.7457	3.155601	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384
14	-174.643	-177.3273	2.684288	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282
15	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
16	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
17	-174.6058	-177.3396	2.733845	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926
18	-174.5974	-177.3552	2.75776	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589
19	-174.7609	-177.7	2.93901	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729
20	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
21	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
22	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
23	-175.3388	-177.731	2.392203	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292
24	-174.6499	-177.3276	2.677755	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657
25	-174.6499	-177.3276	2.677755	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657
26	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
27	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
28	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
29	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
30	-174.7376	-177.3527	2.615127	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768
31	-176.811	-180.1302	3.319213	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736
32	-176.3894	-179.6605	3.271075	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707
33	-174.604	-177.4183	2.814344	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376
34	-174.7142	-177.3436	2.629372	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868
35	-174.5992	-177.4009	2.80172	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694
36	-174.5955	-177.368	2.772538	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169
37	-176.43	-178.577	2.146961	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594
38	-175.138	-178.2007	3.062717	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019
39	-175.138	-178.2007	3.062717	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019
40	-174.9981	-178.0233	3.025201	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626
41	-175.0749	-177.5472	2.472255	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518
42	-174.682	-177.577	2.895086	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589
43	-175.2432	-177.6627	2.419495	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661
44	-174.624	-177.4693	2.845306	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164
45	-174.7282	-177.3489	2.620742	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289
