Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	-142.8965	-182.3503	39.45378	0.008556701	0.01148923	0.02107523	0.005567668	0.02935954	0.001490938	0.04191415	0.02472781	0.01383441	0.007693624	0.001697605	0.007201489	0.0953266	0.28511	0.380764	0.238799
1	-138.1479	-178.9076	40.75962	0.005867256	0.0117662	0.02107523	0.005567668	0.02935954	0.001187645	0.02913305	0.02062654	0.01570438	0.006702503	0.00206262	0.0128136	0.144556	0.0769661	0.63939	0.139088
2	-139.2883	-179.618	40.32967	0.004509154	0.0235057	0.02107523	0.004336198	0.01693765	0.001892474	0.03986154	0.01724345	0.01570438	0.006591199	0.001591062	0.0128136	0.629554	0.0333298	0.276885	0.0602315
3	-138.185	-175.9135	37.72854	0.004597967	0.0235057	0.009556411	0.003568633	0.02024218	0.001612966	0.05202005	0.01591737	0.03927056	0.00715947	0.001178023	0.0128136	0.629554	0.0333298	0.276885	0.0602315
4	-133.2174	-172.7132	39.49584	0.003096379	0.02144724	0.006365702	0.003993514	0.02024218	0.001433288	0.03512793	0.01591737	0.03927056	0.007348695	0.001227852	0.01872729	0.351275	0.0664692	0.552188	0.0300675
5	-129.959	-171.5484	41.58944	0.004002732	0.01371428	0.006111353	0.002942331	0.008959829	0.001505401	0.03512793	0.01591737	0.03927056	0.005684251	0.001805743	0.01872729	0.183174	0.0346606	0.766487	0.0156788
6	-131.7991	-173.279	41.47991	0.002851523	0.007915419	0.004605077	0.002942331	0.01713642	0.001294148	0.03512793	0.02408925	0.03816052	0.008480368	0.001428456	0.01080635	0.145965	0.039832	0.797882	0.016321
7	-131.0188	-173.4187	42.39987	0.003450378	0.007915419	0.003017575	0.00438326	0.01713642	0.001353666	0.03112588	0.01870238	0.03628756	0.008480368	0.003201765	0.01080635	0.148674	0.0220082	0.812694	0.016624
8	-131.6705	-172.8521	41.18158	0.003433751	0.007915419	0.003017575	0.002671207	0.01295906	0.001393549	0.04523717	0.01502384	0.03418715	0.004437657	0.003702844	0.0237696	0.140152	0.0207466	0.766107	0.0729952
9	-131.1727	-171.4449	40.2722	0.002080201	0.01086976	0.004194395	0.001679471	0.008489458	0.001493115	0.04523717	0.0149844	0.03418715	0.005062924	0.00542945	0.03291492	0.365671	0.090611	0.353266	0.190452
