Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
27	-122.6581	-164.8191	42.16099	0.0009903028	0.01109253	0.01044177	0.001174319	0.0008105522	0.002176956	0.03471948	0.0129689	0.008062524	0.003231266	0.01818825	0.0443351	0.370346	0.0212462	0.55963	0.0487775
28	-126.5574	-164.7365	38.17915	0.0009172657	0.01109253	0.02113664	0.00158412	0.0004832911	0.01009319	0.0344865	0.01286681	0.005659763	0.005351995	0.021959	0.0614148	0.370346	0.0212462	0.55963	0.0487775
29	-125.1177	-166.4495	41.33177	0.0006315995	0.0077076	0.01486918	0.00165328	0.0003441209	0.008319805	0.0221595	0.01286681	0.007472912	0.005283646	0.02830324	0.04667165	0.728563	0.0417966	0.133682	0.0959576
30	-129.0992	-167.824	38.72476	0.001031935	0.008794431	0.02392532	0.002945909	0.0003441209	0.01062845	0.0221595	0.02032816	0.01347071	0.003118543	0.02830324	0.04667165	0.285756	0.0787334	0.251821	0.383689
31	-126.5347	-165.8902	39.35545	0.0006285965	0.01217637	0.01707636	0.002237134	0.0003772015	0.01062845	0.01963661	0.01309601	0.01347071	0.005882434	0.03936365	0.04099432	0.159591	0.0926411	0.296303	0.451465
32	-126.0756	-164.5904	38.51489	0.0007671842	0.01124842	0.01097915	0.002237134	0.0003772015	0.01062845	0.03244793	0.01680853	0.007890875	0.00349092	0.03936365	0.0475304	0.131654	0.129289	0.36662	0.372436
33	-125.2925	-164.5683	39.2758	0.0008035392	0.007101237	0.01511863	0.002237134	0.0003570201	0.006525687	0.02978407	0.01680853	0.0126679	0.005888979	0.0249937	0.05405866	0.274398	0.269469	0.220073	0.236059
34	-125.391	-166.9742	41.58322	0.00136058	0.009732065	0.01248958	0.002063087	0.0004834511	0.009474621	0.02978407	0.01424236	0.0126679	0.005888979	0.02196166	0.03368137	0.251756	0.28803	0.147609	0.312605
35	-124.9587	-168.452	43.49328	0.002007974	0.007782425	0.009933306	0.002458288	0.0005510526	0.009537698	0.02464449	0.01424236	0.01004735	0.005888979	0.01441648	0.03368137	0.26817	0.078032	0.320811	0.332987
36	-126.7048	-170.063	43.35818	0.003039662	0.00632153	0.009660902	0.001652147	0.0006823006	0.01065937	0.02464449	0.01424236	0.01494447	0.005778518	0.01441648	0.03046777	0.247231	0.347984	0.150821	0.253965
37	-124.3629	-166.0789	41.71599	0.001758937	0.006396962	0.008264722	0.001976452	0.0006823006	0.009246878	0.02464449	0.01424236	0.01494447	0.005778518	0.02056086	0.04403724	0.153917	0.061131	0.241242	0.543709
38	-125.1257	-167.588	42.46223	0.002106228	0.006396962	0.005848951	0.002943891	0.0008189419	0.006794399	0.02464449	0.01424236	0.01562999	0.005904371	0.01588468	0.04403724	0.559187	0.0269312	0.174352	0.23953
39	-125.0788	-166.5715	41.4927	0.002096027	0.01092539	0.003910869	0.004048774	0.0006889797	0.006613577	0.02464449	0.01169826	0.01276513	0.005021188	0.01667987	0.05562048	0.667715	0.032158	0.20819	0.0919373
40	-127.3202	-171.0891	43.76896	0.001562978	0.008153854	0.003824909	0.004373286	0.0007992306	0.0102005	0.01934674	0.01409253	0.01276513	0.005021188	0.01145197	0.0409094	0.811668	0.0182265	0.117998	0.0521082
41	-123.7236	-165.4105	41.68687	0.00208123	0.008153854	0.005433034	0.005979663	0.0005577219	0.00791627	0.03024995	0.01140742	0.01230835	0.007814102	0.0173333	0.04358341	0.246559	0.0675919	0.621411	0.0644379
42	-124.1077	-167.6776	43.56994	0.002160317	0.008446292	0.005217236	0.001732539	0.000504617	0.01010518	0.02220708	0.01212916	0.01066938	0.009208385	0.01367865	0.03838486	0.245007	0.0479894	0.617501	0.0895018
43	-127.3077	-170.3127	43.00509	0.002160317	0.005642175	0.007942138	0.004067531	0.0005874779	0.006751133	0.02220708	0.01431759	0.01423053	0.006271709	0.00552656	0.05025119	0.245007	0.0479894	0.617501	0.0895018
44	-126.8663	-169.4896	42.62328	0.003545798	0.004293535	0.005767456	0.004067531	0.0004280585	0.009713772	0.02904864	0.01330487	0.01423053	0.004650598	0.008029994	0.04660031	0.292418	0.0572756	0.543486	0.106821
45	-123.3242	-164.537	41.21284	0.003000059	0.006606978	0.007178744	0.00461202	0.0004280585	0.006811197	0.03003183	0.004786294	0.01255711	0.007180029	0.0276512	0.04660031	0.0964667	0.344013	0.329539	0.229981
46	-125.5516	-166.4837	40.93205	0.00443389	0.01063431	0.00743722	0.01566445	0.0004877747	0.006811197	0.03003183	0.005617962	0.01041155	0.00719778	0.0276512	0.03380455	0.0964667	0.344013	0.329539	0.229981
47	-124.7169	-165.807	41.09007	0.004024834	0.007973854	0.01123125	0.01176843	0.0004877747	0.003156266	0.03012261	0.005723082	0.01085446	0.01196186	0.0276512	0.03368621	0.0933622	0.195597	0.48846	0.22258
48	-125.7601	-165.6929	39.93274	0.00455215	0.01018054	0.006872773	0.009851781	0.0006128214	0.005048114	0.02446551	0.008968249	0.01682374	0.01325172	0.0325544	0.03675296	0.0686492	0.143823	0.359165	0.428363
49	-125.4062	-166.6639	41.25769	0.005325775	0.01570676	0.006482089	0.009851781	0.001292253	0.006747053	0.01551205	0.006891968	0.01682374	0.008849774	0.02676993	0.03675296	0.0561061	0.117545	0.740404	0.0859456
50	-127.7354	-165.0514	37.31603	0.004860702	0.02139746	0.004786438	0.02375802	0.001718434	0.006747053	0.02196273	0.005274077	0.01682374	0.008214665	0.02949249	0.05043228	0.0140344	0.0887092	0.832394	0.064862
51	-127.0952	-165.1993	38.10407	0.005235715	0.01859142	0.008493293	0.01915883	0.001668937	0.004156071	0.02196273	0.005431626	0.01682374	0.01471492	0.02110902	0.05043228	0.0140344	0.0887092	0.832394	0.064862
52	-128.189	-167.8054	39.61645	0.002067862	0.0166273	0.01080843	0.02130152	0.001668937	0.004156071	0.02384879	0.01057462	0.009881114	0.02011227	0.02232386	0.02965033	0.00179394	0.472245	0.493473	0.0324884
53	-131.222	-165.7597	34.53768	0.001713644	0.021432	0.01894539	0.02951731	0.001443992	0.003640247	0.02384879	0.01000546	0.009881114	0.02011227	0.03049214	0.05154632	0.00114246	0.300745	0.677423	0.0206899
54	-134.5802	-166.2974	31.71713	0.001784493	0.02828818	0.02064297	0.03366987	0.0006989158	0.002444161	0.02441782	0.008989481	0.01410784	0.02011227	0.02601478	0.06893025	0.00127867	0.217377	0.758188	0.0231567
55	-131.1582	-166.3417	35.18356	0.00197116	0.02526756	0.01761602	0.03446597	0.0003577545	0.002758543	0.01749857	0.008989481	0.01758853	0.009867248	0.02514165	0.05475386	0.00109805	0.327927	0.651089	0.0198856
56	-132.4125	-166.4691	34.05659	0.002544498	0.02017497	0.01314899	0.04087377	0.0003822968	0.003729504	0.0275477	0.01076068	0.02621275	0.01471771	0.02085568	0.04632444	0.00109805	0.327927	0.651089	0.0198856
57	-129.8228	-166.871	37.04821	0.004079955	0.01551366	0.008821582	0.02627217	0.000289237	0.003729504	0.02497793	0.01007991	0.02621275	0.01731151	0.01772044	0.04307275	0.00160526	0.296364	0.588422	0.113609
