Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
32	-174.6042	-177.4189	2.814713	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016
33	-174.6042	-177.4189	2.814713	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016
34	-174.7854	-177.7355	2.950166	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843
35	-174.6262	-177.4741	2.847877	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655
36	-174.6262	-177.4741	2.847877	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655
37	-174.6046	-177.4203	2.815661	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091
38	-174.879	-177.866	2.986997	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905
39	-174.9801	-177.4857	2.50565	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594
40	-174.9801	-177.4857	2.50565	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594
41	-174.8287	-177.3967	2.567994	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759
42	-174.7085	-177.3416	2.633059	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827
43	-176.205	-178.3961	2.191127	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498
44	-175.0147	-177.5078	2.493059	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879
45	-175.0147	-177.5078	2.493059	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879
46	-174.8091	-177.3864	2.577269	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709
47	-174.8091	-177.3864	2.577269	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709
48	-174.6007	-177.3468	2.746146	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923
49	-175.2898	-177.6958	2.405991	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838
50	-174.6981	-177.3381	2.639997	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415
51	-174.6	-177.4044	2.804315	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162
52	-175.2547	-177.6708	2.416119	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956
53	-174.833	-177.8029	2.969898	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959
54	-174.833	-177.8029	2.969898	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959
55	-175.2698	-178.3631	3.093321	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156
56	-174.6177	-177.3314	2.713708	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575
57	-174.6795	-177.3328	2.653297	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522
58	-174.6795	-177.3328	2.653297	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522
59	-174.9235	-177.9257	3.002165	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105
60	-174.9235	-177.9257	3.002165	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105
61	-174.6004	-177.3472	2.746756	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327
62	-174.9425	-177.4624	2.519884	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704
63	-174.7353	-177.3518	2.616505	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423
64	-175.0665	-177.5416	2.475079	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424
65	-174.8894	-177.4307	2.541251	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855
66	-174.8894	-177.4307	2.541251	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855
67	-174.744	-177.6748	2.930748	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792
68	-176.661	-178.7647	2.103774	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736
69	-174.5954	-177.3713	2.775888	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901	0.01808901
70	-174.7963	-177.3798	2.583572	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559
71	-174.7963	-177.3798	2.583572	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559
72	-174.7963	-177.3798	2.583572	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559	0.01996559
73	-175.6303	-177.9473	2.317067	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609
74	-175.6303	-177.9473	2.317067	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609	0.02256609
75	-175.0496	-177.5305	2.480839	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804	0.02096804
76	-174.5961	-177.3619	2.765807	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738	0.01818738
77	-174.6519	-177.5247	2.872756	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379
78	-174.6519	-177.5247	2.872756	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379
79	-175.5855	-177.9135	2.32796	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979	0.02245979
80	-174.9788	-177.9983	3.019486	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203	0.01571203
81	-175.2527	-178.3422	3.089559	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827	0.01502827
82	-174.9635	-177.4754	2.511843	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655
83	-174.9635	-177.4754	2.511843	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655
84	-174.9635	-177.4754	2.511843	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655
85	-174.9635	-177.4754	2.511843	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655	0.0206655
