Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
31	1	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
32	0	-175.9126	-179.1198	3.207222	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014
33	1	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
34	0	-174.6975	-177.6025	2.905033	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884
35	1	-174.6058	-177.3396	2.733845	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926	0.01849926
36	0	-176.1551	-178.3563	2.201256	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615	0.02369615
37	1	-174.5974	-177.3552	2.75776	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589	0.01826589
38	0	-175.5325	-177.8737	2.341122	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136	0.02233136
39	1	-174.7609	-177.7	2.93901	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729	0.01649729
40	0	-176.9508	-179.0029	2.052117	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141
41	1	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
42	0	-176.9508	-179.0029	2.052117	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141	0.02515141
43	1	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
44	0	-174.6063	-177.3391	2.732824	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922
45	1	-174.5954	-177.3708	2.775362	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414	0.01809414
46	0	-174.6063	-177.3391	2.732824	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922
47	1	-175.3388	-177.731	2.392203	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292	0.02183292
48	0	-174.6063	-177.3391	2.732824	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922	0.01850922
49	1	-174.6499	-177.3276	2.677755	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657
50	0	-177.1594	-179.1758	2.016409	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985	0.02549985
51	1	-174.6499	-177.3276	2.677755	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657	0.01904657
52	0	-175.9666	-179.1817	3.215107	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319	0.01380319
53	1	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
54	0	-174.6114	-177.3348	2.723393	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124
55	1	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
56	0	-174.6114	-177.3348	2.723393	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124	0.01860124
57	1	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
58	0	-174.6365	-177.3274	2.690958	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774
59	1	-174.6606	-177.5404	2.879767	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537	0.01707537
60	0	-174.6365	-177.3274	2.690958	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774	0.01891774
61	1	-174.7376	-177.3527	2.615127	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768	0.01965768
62	0	-174.8517	-177.4092	2.557522	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978	0.02021978
63	1	-176.811	-180.1302	3.319213	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736	0.01278736
64	0	-174.6042	-177.4189	2.814713	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016
65	1	-176.3894	-179.6605	3.271075	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707	0.01325707
66	0	-174.6042	-177.4189	2.814713	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016	0.01771016
