state	power	likelihood
260	0.0144583	-50.6852
270	0.0144583	-59.0293
280	0.0144583	-49.7826
290	0.0144583	-50.2931
300	0.0144583	-49.9018
310	0.0144583	-56.9558
320	0.0144583	-55.4943
330	0.0144583	-53.4094
340	0.0144583	-50.2904
350	0.0144583	-49.7835
360	0.0144583	-51
370	0.0144583	-50.1609
380	0.0144583	-55.3744
390	0.0144583	-50.0463
400	0.0144583	-55.5832
410	0.0144583	-65.9962
420	0.0144583	-63.7716
430	0.0144583	-53.2092
440	0.0144583	-68.9497
450	0.0144583	-49.9168
460	0.0144583	-51.9619
470	0.0144583	-56.9278
480	0.0144583	-66.8292
490	0.0144583	-51.4021
500	0.0144583	-50.8757
510	0.0144583	-53.0394
520	0.0144583	-50.1701
530	0.0144583	-50.5144
540	0.0144583	-61.8455
550	0.0144583	-58.3793
560	0.0144583	-57.2114
570	0.0144583	-50.8588
580	0.0144583	-50.1428
590	0.0144583	-51.9793
600	0.0144583	-49.8243
610	0.0144583	-50.3373
620	0.0144583	-50.3895
630	0.0144583	-53.3999
640	0.0144583	-51.3667
650	0.0144583	-56.0015
660	0.0144583	-49.8564
670	0.0144583	-52.1765
680	0.0144583	-49.8446
690	0.0144583	-50.3247
700	0.0144583	-52.1895
710	0.0144583	-50.1826
720	0.0144583	-53.2374
730	0.0144583	-84.3453
740	0.0144583	-53.6696
750	0.0144583	-50.7951
760	0.0144583	-51.0066
770	0.0144583	-50.1656
780	0.0144583	-51.4197
790	0.0144583	-49.7722
800	0.0144583	-59.0215
810	0.0144583	-66.6801
820	0.0144583	-49.8735
830	0.0144583	-49.7798
840	0.0144583	-53.754
850	0.0144583	-52.2784
860	0.0144583	-55.4881
870	0.0144583	-50.3592
880	0.0144583	-49.9529
890	0.0144583	-49.7565
900	0.0144583	-50.1712
910	0.0144583	-54.3984
920	0.0144583	-77.3405
930	0.0144583	-56.5921
940	0.0144583	-49.8595
950	0.0144583	-50.1196
960	0.0144583	-52.0177
970	0.0144583	-52.2072
980	0.0144583	-51.4745
990	0.0144583	-50.2558
1000	0.0144583	-52.3271
