state	power	likelihood
260	0.148129	-53.6082
270	0.148129	-49.7557
280	0.148129	-50.054
290	0.148129	-52.8508
300	0.148129	-53.2787
310	0.148129	-49.7821
320	0.148129	-49.7446
330	0.148129	-49.7436
340	0.148129	-50.0436
350	0.148129	-53.6332
360	0.148129	-50.86
370	0.148129	-51.4279
380	0.148129	-49.9981
390	0.148129	-50.3711
400	0.148129	-53.9244
410	0.148129	-49.7704
420	0.148129	-49.7483
430	0.148129	-50.0043
440	0.148129	-50.8804
450	0.148129	-49.8671
460	0.148129	-49.7453
470	0.148129	-50.9144
480	0.148129	-50.6271
490	0.148129	-50.6195
500	0.148129	-52.6704
510	0.148129	-53.0464
520	0.148129	-55.608
530	0.148129	-49.8509
540	0.148129	-49.7829
550	0.148129	-49.9095
560	0.148129	-50.446
570	0.148129	-51.3885
580	0.148129	-52.9852
590	0.148129	-60.3267
600	0.148129	-49.8757
610	0.148129	-57.375
620	0.148129	-49.7653
630	0.148129	-54.326
640	0.148129	-56.7297
650	0.148129	-49.9144
660	0.148129	-52.6057
670	0.148129	-50.4113
680	0.148129	-51.3367
690	0.148129	-50.6461
700	0.148129	-52.7904
710	0.148129	-50.7238
720	0.148129	-57.6549
730	0.148129	-53.5242
740	0.148129	-50.2003
750	0.148129	-52.0359
760	0.148129	-50.9219
770	0.148129	-52.7986
780	0.148129	-52.3794
790	0.148129	-52.3483
800	0.148129	-50.2514
810	0.148129	-49.8869
820	0.148129	-49.7464
830	0.148129	-50.6168
840	0.148129	-49.9464
850	0.148129	-50.1408
860	0.148129	-49.8236
870	0.148129	-51.202
880	0.148129	-52.2744
890	0.148129	-51.2813
900	0.148129	-49.7836
910	0.148129	-50.0665
920	0.148129	-56.6386
930	0.148129	-54.2047
940	0.148129	-50.219
950	0.148129	-52.58
960	0.148129	-49.762
970	0.148129	-50.0161
980	0.148129	-49.7567
990	0.148129	-49.9135
1000	0.148129	-49.9859
